set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;
9 44 42 40 42 44 40 41 40 41 0 42 46 43 44 44 39 42 43 41 
10 41 39 44 40 40 42 41 41 40 42 0 41 40 48 40 43 41 42 42 
11 43 45 44 42 39 46 47 44 47 46 41 0 41 47 40 50 44 44 44 
12 43 41 42 39 40 44 42 43 41 43 40 41 0 49 39 45 41 41 44 
13 43 47 45 44 46 39 42 40 43 44 48 47 49 0 46 39 44 45 40 
14 43 45 43 44 39 45 43 43 42 44 40 40 39 46 0 46 42 42 44 
15 43 43 40 44 45 39 45 40 46 39 43 50 45 39 46 0 43 44 41 
16 45 46 42 40 43 43 43 46 43 42 41 44 41 44 42 43 0 39 44 
17 46 47 43 40 44 48 44 43 40 43 42 44 41 45 42 44 39 0 45 
18 44 41 39 43 43 39 39 43 42 41 42 44 44 40 44 41 44 45 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18:=
0 0.0 0 0 0 1.36 0.38 0 0 3.01 1.25 1.23 1.09 1.13 2.82 0.48 2.92 0.65 4.05 0 
1 0 0.0 0 1.79 0.43 0.4 0.2 0 1.88 1.02 0.12 0 0.63 0 0 0.5 0 0 0 
2 0 0 0.0 0 3.29 0 0 0.18 0.28 0.8 0 2.03 1.48 0 0.47 0.59 1.42 0.48 0 
3 0 1.79 0 0.0 0.35 0 0.42 0 0.66 0.94 1.13 1.54 0.55 0 0 1.97 0.39 1.13 2.73 
4 1.36 0.43 3.29 0.35 0.0 1.37 0.9 3.67 0.43 3.39 0.2 0.27 1.65 0.73 0.85 1.6 2.92 1.97 3.8 
5 0.38 0.4 0 0 1.37 0.0 0.74 0.13 1.54 1.22 2.45 0.72 2.16 0 0 0 3.93 0 0 
6 0 0.2 0 0.42 0.9 0.74 0.0 0 0.86 0.78 0.99 0 1.02 0 1.72 0 0 0.58 0.1 
7 0 0 0.18 0 3.67 0.13 0 0.0 1.6 0.62 0.7 3.39 0 0 0 0.74 0 0.5 0 
8 3.01 1.88 0.28 0.66 0.43 1.54 0.86 1.6 0.0 0.63 0 0 0.63 0.52 0.86 0 0 0.2 0.42 
9 1.25 1.02 0.8 0.94 3.39 1.22 0.78 0.62 0.63 0.0 0.98 1.68 0.52 0 4.56 0.55 1.98 3.42 0 
10 1.23 0.12 0 1.13 0.2 2.45 0.99 0.7 0 0.98 0.0 0.3 0.62 0 0 1.17 0.78 0.94 0.37 
11 1.09 0 2.03 1.54 0.27 0.72 0 3.39 0 1.68 0.3 0.0 0.63 1.99 0.39 0 4.43 0.6 4.69 
12 1.13 0.63 1.48 0.55 1.65 2.16 1.02 0 0.63 0.52 0.62 0.63 0.0 0 0.23 1.49 0.74 0.33 1.97 
13 2.82 0 0 0 0.73 0 0 0 0.52 0 0 1.99 0 0.0 2.83 0.37 4.56 0.7 0.25 
14 0.48 0 0.47 0 0.85 0 1.72 0 0.86 4.56 0 0.39 0.23 2.83 0.0 2.65 0.98 0 2.09 
15 2.92 0.5 0.59 1.97 1.6 0 0 0.74 0 0.55 1.17 0 1.49 0.37 2.65 0.0 1.17 1.41 0.27 
16 0.65 0 1.42 0.39 2.92 3.93 0 0 0 1.98 0.78 4.43 0.74 4.56 0.98 1.17 0.0 0.76 1.25 
17 4.05 0 0.48 1.13 1.97 0 0.58 0.5 0.2 3.42 0.94 0.6 0.33 0.7 0 1.41 0.76 0.0 2.34 
18 0 0 0 2.73 3.8 0 0.1 0 0.42 0 0.37 4.69 1.97 0.25 2.09 0.27 1.25 2.34 0.0 

;
