set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
5 0.38 0.4 0.27 0 0.58 0.0 0.74 0.49 2.35 1.22 2.45 0 2.16 0.63 0.13 0 1.79 0 0.52 0.62 0.43 1.88 0.47 
6 0 0.2 0 0 0.38 0.74 0.0 0 0.37 0.78 0.99 0 1.02 0 1.29 0 0 0.33 1.79 2.16 0 0 0 
7 0 0 1.01 0 2.73 0.49 0 0.0 2.15 1.27 1.69 2.22 0.45 0.35 0.25 3.93 0 0.74 0 0 0.55 1.88 0.63 
8 3.01 2.53 0.47 0.89 0 2.35 0.37 2.15 0.0 0.99 0.25 0 0.27 0.39 1.91 0 0 0.98 0.27 1.13 0 0 1.29 
9 1.25 1.02 1.77 1.48 2.22 1.22 0.78 1.27 0.99 0.0 0.98 0.72 0.52 0 1.9 2.22 2.26 1.14 0.82 3.42 0 1.17 0.89 
10 1.23 0 0 1.52 0 2.45 0.99 1.69 0.25 0.98 0.0 0 0.62 0 0.57 0.22 0 0.5 1.23 3.04 0.37 0.78 2.26 
11 0.47 0 1.13 0.98 0.12 0 0 2.22 0 0.72 0 0.0 0.27 0.6 0.85 0 2.26 0 4.43 3.39 3.48 0 3.95 
12 1.13 0.63 2.28 0.35 1.22 2.16 1.02 0.45 0.27 0.52 0.62 0.27 0.0 0 1.64 0.23 0.82 0.63 2.41 1.23 0 1.85 0 
13 3.67 0 0 0.28 0 0.63 0 0.35 0.39 0 0 0.6 0 0.0 2.66 3.67 2.53 0.25 0.92 1.98 0.3 1.66 0.68 
14 0.5 0 1.42 0 2.71 0.13 1.29 0.25 1.91 1.9 0.57 0.85 1.64 2.66 0.0 2.83 1.66 0.1 4.56 0 0 2.63 0.94 
15 2.73 0 2.16 0.59 0.15 0 0 3.93 0 2.22 0.22 0 0.23 3.67 2.83 0.0 0 0 1.54 0 2.09 0 0 
16 0.17 0 1.39 1.36 1.05 1.79 0 0 0 2.26 0 2.26 0.82 2.53 1.66 0 0.0 2.45 2.73 4.18 0 0.85 0.33 
17 2.92 0 1.23 4.05 1.6 0 0.33 0.74 0.98 1.14 0.5 0 0.63 0.25 0.1 0 2.45 0.0 3.8 1.41 0 0 0.37 
18 0 0.45 0.32 1.27 3.93 0.52 1.79 0 0.27 0.82 1.23 4.43 2.41 0.92 4.56 1.54 2.73 3.8 0.0 0.56 4.05 0 0 
19 0.72 3.93 1.48 0.74 1.25 0.62 2.16 0 1.13 3.42 3.04 3.39 1.23 1.98 0 0 4.18 1.41 0.56 0.0 1.49 4.05 0.53 
20 0 0 0.86 0 2.82 0.43 0 0.55 0 0 0.37 3.48 0 0.3 0 2.09 0 0 4.05 1.49 0.0 0.51 0 
21 0.19 0 0.74 0 0.9 1.88 0 1.88 0 1.17 0.78 0 1.85 1.66 2.63 0 0.85 0 0 4.05 0.51 0.0 0.4 
22 1.02 0 1.65 0 3.29 0.47 0 0.63 1.29 0.89 2.26 3.95 0 0.68 0.94 0 0.33 0.37 0 0.53 0 0.4 0.0 

;
