set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
5 0.9 0 0 0 0 0.0 0.74 0.31 2.35 0.8 1.6 0 3.29 0.27 0 0 2.41 0 0.52 0 0.43 2.53 0.31 
6 0 0.2 0 0.42 0.9 0.74 0.0 0 1.36 1.23 0.99 0 1.6 0 1.29 0 0.23 0.33 1.79 1.37 0 0.39 0 
7 0 0 0.75 0 2.73 0.31 0 0.0 2.15 0.94 0.7 2.22 0 0.15 0 2.92 0 0.47 0 0 0.85 1.88 0.47 
8 4.05 2.53 0.47 0.89 0.43 2.35 1.36 2.15 0.0 0.99 0.25 0 0.99 0.39 1.91 0 0 0.98 0.27 1.13 0 0.52 1.29 
9 1.25 0 1.32 0.94 2.22 0.8 1.23 0.94 0.99 0.0 0 0.72 0 0 1.41 1.41 2.26 0.85 0.82 2.54 0.3 1.17 0.66 
10 0.78 0 0 0.74 0 1.6 0.99 0.7 0.25 0 0.0 0 0.94 0 0 0.51 0 0 1.23 1.48 0.37 0.33 1.48 
11 1.09 0 1.13 1.54 0.27 0 0 2.22 0 0.72 0 0.0 0.27 0.6 0 0 3.04 0 4.43 3.39 4.69 0.48 2.59 
12 1.13 0.99 1.69 0.55 1.22 3.29 1.6 0 0.99 0 0.94 0.27 0.0 0 2.59 0.37 1.29 1.49 2.41 0.78 0 1.85 0 
13 3.67 0 0 0 0 0.27 0 0.15 0.39 0 0 0.6 0 0.0 1.98 2.73 2.53 0 0.92 1.29 0.7 1.66 0.43 
14 1.17 0 0.9 0 1.72 0 1.29 0 1.91 1.41 0 0 2.59 1.98 0.0 4.33 2.54 0 4.56 0 0 3.55 0.62 
15 2.73 0.28 1.42 0.92 0.15 0 0 2.92 0 1.41 0.51 0 0.37 2.73 4.33 0.0 0.38 0.72 1.54 0 3.2 0 0.62 
16 0.39 0 1.39 1.36 1.6 2.41 0.23 0 0 2.26 0 3.04 1.29 2.53 2.54 0.38 0.0 3.29 2.73 4.18 0 1.14 0.78 
17 3.93 0 0.78 1.97 0.68 0 0.33 0.47 0.98 0.85 0 0 1.49 0 0 0.72 3.29 0.0 3.8 0 0 0.48 0.23 
18 0 0.45 0.32 1.27 3.93 0.52 1.79 0 0.27 0.82 1.23 4.43 2.41 0.92 4.56 1.54 2.73 3.8 0.0 0.56 4.05 0 0 
19 0.72 1.91 0.94 0.2 1.25 0 1.37 0 1.13 2.54 1.48 3.39 0.78 1.29 0 0 4.18 0 0.56 0.0 0.63 4.05 0 
20 0.59 0 1.32 0.48 3.8 0.43 0 0.85 0 0.3 0.37 4.69 0 0.7 0 3.2 0 0 4.05 0.63 0.0 1.22 0 
21 0.25 0 0.74 0 1.42 2.53 0.39 1.88 0.52 1.17 0.33 0.48 1.85 1.66 3.55 0 1.14 0.48 0 4.05 1.22 0.0 0.94 
22 1.6 0 1.22 0 2.16 0.31 0 0.47 1.29 0.66 1.48 2.59 0 0.43 0.62 0.62 0.78 0.23 0 0 0 0.94 0.0 

;
