set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44;
15 6701 13 39 72 5 4 9 13960 17 13 11 7 18 7106 7772 0 10 4 11 5 16609 11 19 25 25 8 18776 9 23 12 8666 21 8376 8 8376 19137 21 2 6 33 9 5773 14 15915 7 
16 8 5 2234 13 31 4467 11 11 10 9 9 2792 25 10880 36 10 0 8376 31 13402 5 2792 8 12 13 40 13 6422 10 3 5416 45 16 45 3350 27 17 15 10 10 18 15 15 14519 11 
17 4747 8 19 17332 3 4 13 23 18 7259 11 7 5 5 7 4 8376 0 3109 5 18 12 53 11 9493 5551 16 8 33 14 11 34 7 9 12 19137 26 1 5863 12 6 5 3109 13 2 
18 4 8 9 10214 1554 6 8 7 9 10 26 5773 3109 6 2220 11 31 3109 0 18 10436 10 8 5329 19 2 8 5 37 38 14804 9104 7 27 20 15 52 4 8 18 26 3775 5 8 4885 
19 10 12564 28 28 4 8 19 11 75 12006 13721 45 12 12 6 5 13402 5 18 0 17 63 21 10 8660 11 40 10610 24 32 19 22 13 24 16 16 17 5 42 21 9 1 2 11 3775 
20 11 7 3350 3 10658 11554 11 14443 9 9 27 6143 14 27 13 16609 5 18 10436 17 0 18 6 14804 22 11769 11193 7818 23 6 12 16 6143 35 28 3 5 62 28 16 65 28 13 18776 23 
21 8935 7 5 7 20 6980 14 55 14 5 17 6 36 26 11102 11 2792 12 10 63 18 0 11 17 17 24 62 36 11 2 6 14 7 12638 2513 5863 9 11 5026 9749 21 16 16 17 14 
22 11 2 3611 4 8438 9749 7 9027 9 9388 13360 5777 11 21 7328 19 8 53 8 21 6 11 0 9388 14 9 6 4188 4 13 12277 9 12 21 43 9 11 52 9 20 91 18 37 27 19 
23 8 23 18 14 7 20 3071 1332 5416 15 18054 17 9 7 4 25 12 11 5329 10 14804 17 9388 0 2 9 6 4467 13 11727 18415 8666 13 22 57 16609 22 13 20 22 13 36 42 6 49 
24 7 16 11448 20 8 21 4 3 10 13 19137 10 8376 6 9 25 13 9493 19 8660 22 17 14 2 0 3 17 6143 13721 17 20 15 10 25 16 19859 41 21 11168 45 41 10 38 11 13 
25 26 9214 11 11 5 8 5 6 29 12 34 10 5329 6 1 8 40 5551 2 11 11769 24 9 9 3 0 8 8 11 11324 19 19 11 35 11991 27 18 6439 11 20 7106 9 8 6 9 
26 9 5026 10 9027 9326 29 7 4 10 15526 21 11 26 10658 7 18776 13 16 8 40 11193 62 6 6 17 8 0 7 5777 52 18415 5 7 44 17 51 16 66 53 88 23470 24 42 7944 19137 
27 9 3 5305 7539 6701 6 3 21 4 7 15 5 4467 9214 5 9 6422 8 5 10610 7818 36 4188 4467 6143 8 7 0 6422 7818 16 6143 3 19 9493 20 10889 7259 5 62 13 11 12 10 18 
28 8097 6 26 3250 10436 53 10 38 5 16 16609 38 13 50 35 23 10 33 37 24 23 11 4 13 13721 11 5777 6422 0 35 30 2166 7 26 15 27 7 18 14 24 28 24 24 17 19137 
29 9 6 10 4747 9548 28 10331 15 11 4467 39 5 8655 13 10 12 3 14 38 32 6 2 13 11727 17 11324 52 7818 35 0 30 10 11 16 17 4188 7 11 5 13 37 64 18 61 13 
30 14 13 8 13 14 6499 15165 19498 15887 4 13 7583 10 19 19 8666 5416 11 14804 19 12 6 12277 18415 20 19 18415 16 30 30 0 17 39 7 9 52 61 19 11 17 23 20 29 26 43 
31 16 5 10 11 10214 18 8 7 4 14082 23 20 17 11991 7994 21 45 34 9104 22 16 14 9 8666 15 19 5 6143 2166 10 17 0 13 85 17 36 12 19 49 23 25275 42 28 46 24 
32 6 2 3 25 8 18 5 30 4747 5305 10110 7 5 12 29 8376 16 7 7 13 6143 7 12 13 10 11 7 3 7 11 39 13 0 13 15 8 10 8 4 13360 57 11 14 10331 18 
33 12277 15165 14082 78 11 7222 15887 87 39 33 17 11193 19 19 16609 8 45 9 27 24 35 12638 21 22 25 35 44 19 26 16 7 85 13 0 11 20 22026 6499 10 9 14804 12999 9027 24 6 
34 17 8376 11 36 9104 12 23 16 59 5 7 5584 34 16 10880 8376 3350 12 20 16 28 2513 43 57 16 11991 17 9493 15 17 9 17 15 11 0 10 13 10 18 26 17 30 51 71 20 
35 10889 8 5305 7 12 16 15 65 45 10 19 8097 31 19 48 19137 27 19137 15 16 3 5863 9 16609 19859 27 51 20 27 4188 52 36 8 20 10 0 9 36 9 17332 71 61 19 20581 21 
36 12006 8655 8 4333 17 65 13 16609 14 13 18 11 17 32 12657 21 17 26 52 17 5 9 11 22 41 18 16 10889 7 7 61 12 10 22026 13 9 0 25 10610 78 19 21 16 84 23 
37 5026 8376 11 21 3 3 7539 12006 18 6143 27 7 3 24 6 2 15 1 4 5 62 11 52 13 21 6439 66 7259 18 11 19 19 8 6499 10 36 25 0 5026 12 14 6 4 15 8 
38 17 10 3909 10 5773 2 9 22 11 1954 5416 2 8 18 8 6 10 5863 8 42 28 5026 9 20 11168 11 53 5 14 5 11 49 4 10 18 9 10610 5026 0 11 13681 12 9493 13681 28 
39 17 17 14 20 14443 10 35 23 19498 6860 3611 45 12 22 24 33 10 12 18 21 16 9749 20 22 45 20 88 62 24 13 17 23 13360 9 26 17332 78 12 11 0 19 35 13721 29 42 
40 47 15636 17 18 22 9326 25 12879 44 15077 19 28 9 4219 8 9 18 6 26 9 65 21 91 13 41 7106 23470 13 28 37 23 25275 57 14804 17 71 19 14 13681 19 0 2665 4 26 7 
41 17 25 17 17 2887 28 9 13 22 49 30 14 22 4 7 5773 15 5 3775 1 28 16 18 36 10 9 24 11 24 64 20 42 11 12999 30 61 21 6 12 35 2665 0 3 13 9 
42 8655 15 54 55 4 5995 10331 13 38 12 22 13 21 6 29 14 15 3109 5 2 13 16 37 42 38 8 42 12 24 18 29 28 14 9027 51 19 16 4 9493 13721 4 3 0 12 2 
43 12 9493 14 16971 18 27 6 3 19 20 22 24 11448 35 20 15915 14519 13 8 11 18776 17 27 6 11 6 7944 10 17 61 26 46 10331 24 71 20581 84 15 13681 29 26 13 12 0 19 
44 8 10331 42 19137 3 6 9 13681 21 7818 15 31 6 23 28 7 11 2 4885 3775 23 14 19 49 13 9 19137 18 19137 13 43 24 18 6 20 21 23 8 28 42 7 9 2 19 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44:=
0 0 44 45 47 41 40 44 46 42 42 43 40 39 43 41 42 42 41 44 43 44 44 41 42 46 42 43 39 43 43 43 43 40 44 43 45 46 41 40 45 45 43 43 44 42 
1 44 0 40 41 43 42 41 46 40 42 44 44 41 49 46 44 45 47 43 46 41 46 43 42 43 44 41 39 41 45 44 41 39 45 43 43 43 43 41 46 48 46 46 44 44 
2 45 40 0 44 44 42 47 44 42 41 47 40 42 51 44 44 39 44 44 47 40 40 40 44 45 46 47 41 41 39 46 42 44 45 41 41 42 43 40 44 53 47 46 46 45 
3 47 41 44 0 47 48 44 48 42 43 46 42 45 49 50 47 42 46 46 49 39 46 44 44 46 51 42 43 39 41 48 40 42 47 44 40 40 46 43 47 51 49 49 46 47 
4 41 43 44 47 0 41 42 44 44 44 43 42 40 40 41 41 44 39 39 40 46 46 45 47 43 41 45 42 46 46 48 46 42 47 45 51 49 44 42 45 42 40 44 45 44 
5 40 42 42 48 41 0 42 45 44 40 40 40 39 44 43 40 41 44 42 43 44 42 43 44 45 44 45 41 44 42 41 45 41 41 42 45 46 44 43 42 45 44 43 46 41 
6 44 41 47 44 42 42 0 41 41 44 45 45 41 43 40 48 43 42 40 44 44 45 42 40 40 41 42 39 43 44 45 46 45 46 45 46 50 43 42 47 46 47 44 46 48 
7 46 46 44 48 44 45 41 0 40 46 47 44 44 45 42 47 49 45 47 51 45 47 42 39 40 42 44 41 42 46 47 45 43 49 47 46 46 46 45 53 48 46 47 40 47 
8 42 40 42 42 44 44 41 40 0 44 46 46 43 46 43 50 47 45 44 47 46 44 40 40 42 44 39 44 44 47 46 39 41 47 45 43 44 45 47 47 49 47 47 42 46 
9 42 42 41 43 44 40 44 46 44 0 40 40 42 50 45 42 39 42 44 46 42 40 42 46 50 46 46 46 44 41 39 45 41 42 39 43 44 42 39 41 47 46 45 48 43 
10 43 44 47 46 43 40 45 47 46 40 0 42 42 50 46 40 41 42 44 45 44 42 44 47 47 46 47 44 46 43 39 47 43 40 40 46 50 41 40 40 46 45 43 53 42 
11 40 44 40 42 42 40 45 44 46 40 42 0 40 45 43 46 40 42 42 45 42 41 41 43 48 44 47 40 42 41 42 43 39 43 41 43 44 42 39 43 47 45 44 46 43 
12 39 41 42 45 40 39 41 44 43 42 42 40 0 46 42 41 42 39 40 42 44 44 43 43 43 42 44 41 48 43 46 44 40 42 43 46 50 43 40 47 44 42 42 45 41 
13 43 49 51 49 40 44 43 45 46 50 50 45 46 0 41 44 47 42 40 40 49 48 46 48 46 40 46 44 48 52 51 47 45 46 48 50 51 43 45 47 41 39 42 45 42 
14 41 46 44 50 41 43 40 42 43 45 46 43 42 41 0 44 45 42 40 47 46 47 44 40 40 43 47 45 45 50 46 44 42 46 47 47 48 47 44 47 48 42 44 42 44 
15 42 44 44 47 41 40 48 47 50 42 40 46 41 44 44 0 43 40 42 46 46 44 45 46 46 48 47 47 47 45 42 47 43 40 43 47 52 39 45 42 44 42 41 48 39 
16 42 45 39 42 44 41 43 49 47 39 41 40 42 47 45 43 0 43 44 46 45 40 41 45 50 46 48 42 46 43 40 43 40 43 40 42 43 43 39 42 48 46 46 47 44 
17 41 47 44 46 39 44 42 45 45 42 42 42 39 42 42 40 43 0 40 41 46 45 44 44 44 42 50 42 46 45 47 46 46 42 44 47 48 42 42 47 46 41 40 50 39 
18 44 43 44 46 39 42 40 47 44 44 44 42 40 40 40 42 44 40 0 41 46 50 48 42 42 44 48 45 45 46 45 45 46 44 46 47 48 41 43 46 43 41 46 44 42 
19 43 46 47 49 40 43 44 51 47 46 45 45 42 40 47 46 46 41 41 0 49 48 47 49 45 42 48 45 49 48 46 52 45 44 47 54 55 42 45 46 40 39 43 51 41 
20 44 41 40 39 46 44 44 45 46 42 44 42 44 49 46 46 45 46 46 49 0 41 40 45 47 47 43 43 41 40 43 42 42 47 42 43 40 46 42 49 51 49 52 47 47 
21 44 46 40 46 46 42 45 47 44 40 42 41 44 48 47 44 40 45 50 48 41 0 42 46 47 48 46 44 47 43 40 44 46 44 39 42 43 44 41 43 50 52 47 53 45 
22 41 43 40 44 45 43 42 42 40 42 44 41 43 46 44 45 41 44 48 47 40 42 0 42 44 49 45 40 40 41 44 40 40 46 43 41 42 44 42 46 49 51 47 44 46 
23 42 42 44 44 47 44 40 39 40 46 47 43 43 48 40 46 45 44 42 49 45 46 42 0 43 42 40 41 43 45 47 42 42 48 47 46 46 45 44 52 47 45 46 40 46 
24 46 43 45 46 43 45 40 40 42 50 47 48 43 46 40 46 50 44 42 45 47 47 44 43 0 40 42 42 45 47 51 44 43 48 52 48 48 45 45 49 46 44 46 40 46 
25 42 44 46 51 41 44 41 42 44 46 46 44 42 40 43 48 46 42 44 42 47 48 49 42 40 0 48 42 46 47 51 46 44 46 47 49 49 43 45 52 44 42 43 42 44 
26 43 41 47 42 45 45 42 44 39 46 47 47 44 46 47 47 48 50 48 48 43 46 45 40 42 48 0 41 41 44 47 40 42 49 50 44 44 46 44 49 49 47 48 42 47 
27 39 39 41 43 42 41 39 41 44 46 44 40 41 44 45 47 42 42 45 45 43 44 40 41 42 42 41 0 42 43 44 42 39 45 44 44 45 42 45 46 50 44 45 43 44 
28 43 41 41 39 46 44 43 42 44 44 46 42 48 48 45 47 46 46 45 49 41 47 40 43 45 46 41 42 0 42 45 39 42 48 45 41 45 46 44 47 51 48 49 45 47 
29 43 45 39 41 46 42 44 46 47 41 43 41 43 52 50 45 43 45 46 48 40 43 41 45 47 47 44 43 42 0 42 47 41 45 40 40 42 44 45 44 50 48 47 48 46 
30 43 44 46 48 48 41 45 47 46 39 39 42 46 51 46 42 40 47 45 46 43 40 44 47 51 51 47 44 45 42 0 50 43 45 39 44 45 42 40 40 48 47 45 49 43 
31 43 41 42 40 46 45 46 45 39 45 47 43 44 47 44 47 43 46 45 52 42 44 40 42 44 46 40 42 39 47 50 0 42 48 46 42 42 46 44 48 50 48 49 44 47 
32 40 39 44 42 42 41 45 43 41 41 43 39 40 45 42 43 40 46 46 45 42 46 40 42 43 44 42 39 42 41 43 42 0 48 42 47 44 42 44 44 47 49 45 44 44 
33 44 45 45 47 47 41 46 49 47 42 40 43 42 46 46 40 43 42 44 44 47 44 46 48 48 46 49 45 48 45 45 48 48 0 43 51 49 41 42 40 45 44 42 54 41 
34 43 43 41 44 45 42 45 47 45 39 40 41 43 48 47 43 40 44 46 47 42 39 43 47 52 47 50 44 45 40 39 46 42 43 0 43 44 43 41 41 53 47 46 49 44 
35 45 43 41 40 51 45 46 46 43 43 46 43 46 50 47 47 42 47 47 54 43 42 41 46 48 49 44 44 41 40 44 42 47 51 43 0 39 47 47 46 52 50 50 48 52 
36 46 43 42 40 49 46 50 46 44 44 50 44 50 51 48 52 43 48 48 55 40 43 42 46 48 49 44 45 45 42 45 42 44 49 44 39 0 48 45 47 57 51 55 48 53 
37 41 43 43 46 44 44 43 46 45 42 41 42 43 43 47 39 43 42 41 42 46 44 44 45 45 43 46 42 46 44 42 46 42 41 43 47 48 0 41 43 43 42 41 47 39 
38 40 41 40 43 42 43 42 45 47 39 40 39 40 45 44 45 39 42 43 45 42 41 42 44 45 45 44 45 44 45 40 44 44 42 41 47 45 41 0 42 47 45 44 47 42 
39 45 46 44 47 45 42 47 53 47 41 40 43 47 47 47 42 42 47 46 46 49 43 46 52 49 52 49 46 47 44 40 48 44 40 41 46 47 43 42 0 51 47 45 51 43 
40 45 48 53 51 42 45 46 48 49 47 46 47 44 41 48 44 48 46 43 40 51 50 49 47 46 44 49 50 51 50 48 50 47 45 53 52 57 43 47 51 0 40 41 48 42 
41 43 46 47 49 40 44 47 46 47 46 45 45 42 39 42 42 46 41 41 39 49 52 51 45 44 42 47 44 48 48 47 48 49 44 47 50 51 42 45 47 40 0 44 46 41 
42 43 46 46 49 44 43 44 47 47 45 43 44 42 42 44 41 46 40 46 43 52 47 47 46 46 43 48 45 49 47 45 49 45 42 46 50 55 41 44 45 41 44 0 52 40 
43 44 44 46 46 45 46 46 40 42 48 53 46 45 45 42 48 47 50 44 51 47 53 44 40 40 42 42 43 45 48 49 44 44 54 49 48 48 47 47 51 48 46 52 0 48 
44 42 44 45 47 44 41 48 47 46 43 42 43 41 42 44 39 44 39 42 41 47 45 46 46 46 44 47 44 47 46 43 47 44 41 44 52 53 39 42 43 42 41 40 48 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44:=
0 0.0 0 0 0 0.66 0.23 0 0 2.07 0.38 2.63 0.2 0.31 2.73 0.3 2.26 0.37 1.6 0 0 0.53 3.01 0.78 0.37 0 1.42 0 0.49 2.73 0 1.17 1.13 0.39 4.31 1.21 3.67 4.05 1.69 0.92 1.49 2.59 1.17 2.92 0.57 0 
1 0 0.0 0.2 1.79 0.52 0.37 0.63 0 1.04 0.4 1.33 0 1.23 0 0 0.6 0 0 0 4.23 0.33 0 0 1.29 1.13 3.11 1.69 0.13 0.27 0 0.53 0 0.1 5.32 2.82 0 2.92 2.82 0.7 0.72 5.27 1.72 0.73 3.2 3.48 
2 0 0.2 0.0 0 2.28 0 0 3.2 0.86 1.51 0 0.39 2.26 0 0.62 2.16 0.75 1.33 0 1.96 1.13 0.23 1.27 1.29 3.86 0 0 1.79 1.69 0.55 0 0.9 0 4.94 0.78 1.79 0.4 0.52 1.32 0.58 0 0.83 2.96 0 2.34 
3 0 1.79 0 0.0 0 0 0.58 0 2.66 1.21 5.45 0.98 3.58 0 0 4.71 0.9 6.08 2.83 1.07 0.27 0 0 0.6 1.76 0 3.17 2.54 1.14 1.6 0 0.92 1.36 5.08 1.97 0.62 1.52 1.8 0.48 0.82 0 0 2.42 5.95 6.72 
4 0.66 0.52 2.28 0 0.0 0 0.35 2.28 0 1.25 0.52 0 0.74 0 0.66 0 1.37 0.12 0.43 0 2.96 0.73 2.34 0 0 0 2.59 2.26 2.9 2.65 0 2.83 0 0 2.53 0 0 0 1.6 5.07 0.98 0.8 0 0.67 0 
5 0.23 0.37 0 0 0 0.0 2.35 1.56 3.11 0.74 1.77 0 0.85 0 0 0 1.51 0 0 0 4.05 2.35 3.42 1.41 1.49 0 2.46 0 3.48 1.54 2.28 1.52 0.99 2.53 0.82 0.65 4.23 0 0 0.4 2.59 1.25 1.66 1.88 0.3 
6 0 0.63 0 0.58 0.35 2.35 0.0 0 0.7 2.09 4.94 0 1.11 0 0.94 0 0.52 0.94 0.55 1.33 0 0.68 0 1.04 0 0 0.35 0.15 0.48 3.48 5.32 0 0 5.57 1.64 0.73 0 2.54 0.43 3.02 1.72 0 3.48 0 0 
7 0 0 3.2 0 2.28 1.56 0 0.0 1.77 4.33 5.08 2.03 0 0 0 4.71 0 1.6 0 0 5.07 3.02 3.17 0.37 0 0 0 1.17 2.45 0.72 6.84 0 1.66 5.65 0 4.23 5.83 4.05 1.52 0 3.57 0 0 0 4.61 
8 2.07 1.04 0.86 2.66 0 3.11 0.7 1.77 0.0 2.16 0.75 0 1.85 0 0.45 0 0 1.52 0 4.89 0 0.6 0.74 1.9 0.42 1.29 0.66 0 0 0 5.57 0.15 1.6 3.33 3.86 2.92 1.25 1.56 0 6.84 3.76 1.92 3.2 1.6 1.84 
9 0.38 0.4 1.51 1.21 1.25 0.74 2.09 4.33 2.16 0.0 0.47 0.2 0 0 2.53 0.9 0.49 2.45 0 4.05 0.42 0.22 3.29 0.72 0 0 5.45 0 1.37 1.51 0.31 4.94 1.79 2.16 0.35 0 0.62 2.07 0.66 2.41 5.08 2.71 0 0.94 2.63 
10 2.63 1.33 0 5.45 0.52 1.77 4.94 5.08 0.75 0.47 0.0 0.35 2.79 0 1.72 0.92 0.78 0.94 2.22 4.81 2.28 1.42 4.69 6.33 6.72 2.9 0.87 1.33 5.83 2.54 0.85 1.96 3.55 1.13 0.59 1.68 0 1.79 1.9 1.27 0.8 2.53 1.91 0 1.29 
11 0.2 0 0.39 0.98 0 0 0 2.03 0 0.2 0.35 0.0 0.23 0 0 0 0.94 0 1.6 2.46 2.07 0 2.03 1.17 0 0 0 0.22 2.45 0 2.66 1.72 0.37 3.93 1.88 2.73 0 0.35 0.1 2.92 1.96 0.67 0.62 1.68 1.72 
12 0.31 1.23 2.26 3.58 0.74 0.85 1.11 0 1.85 0 2.79 0.23 0.0 0 0.82 0.99 1.36 0.35 0.86 0.43 0.6 1.97 0.45 0 2.82 1.48 2.22 1.51 0 2.92 0 1.45 0.25 1.6 1.85 2.65 0 0 0.55 0 0 0.98 0.94 3.86 0.28 
13 2.73 0 0 0 0 0 0 0 0 0 0 0 0 0.0 1.11 1.97 3.02 0 0.23 0.55 1.02 0.99 0.8 0 0 0.22 2.96 3.11 2.19 0 0 3.33 0 1.68 0 0 1.2 1.06 0.68 0.9 1.17 0.15 0 1.52 1.02 
14 0.3 0 0.62 0 0.66 0 0.94 0 0.45 2.53 1.72 0 0.82 1.11 0.0 2.16 1.56 0 0.62 0 0 3.08 2.03 0 0.39 0 0 0 1.52 0 0.8 2.22 1.6 5.83 3.02 2.11 3.51 0 0 2.11 0 0 1.29 0.9 1.25 
15 2.26 0.6 2.16 4.71 0 0 0 4.71 0 0.9 0.92 0 0.99 1.97 2.16 0.0 0.48 0.18 0.42 0 5.83 0 1.6 1.76 1.76 0 6.59 0 1.99 0 3.04 0.89 2.82 0.68 2.82 6.72 0 0.12 0 2.16 0 1.6 0.63 5.36 0.37 
16 0.37 0 0.75 0.9 1.37 1.51 0.52 0 0 0.49 0.78 0.94 1.36 3.02 1.56 0.48 0.0 2.82 1.37 4.52 0 0.94 0.7 0 0 1.76 0 2.16 0 0 1.9 2.92 0.86 2.92 1.13 1.48 1.17 1.06 0.55 0.43 0 0 0.72 4.89 0 
17 1.6 0 1.33 6.08 0.12 0 0.94 1.6 1.52 2.45 0.94 0 0.35 0 0 0.18 2.82 0.0 0.86 0 0.77 0 3.48 0 3.2 1.54 0 0 2.83 0.65 0 2.9 0 0.38 0.58 6.72 2.27 0 1.98 0 0 0 0.86 0 0 
18 0 0 0 2.83 0.43 0 0.55 0 0 0 2.22 1.6 0.86 0.23 0.62 0.42 1.37 0.86 0.0 0.78 2.9 0 0 1.48 0.82 0 0 0 1.64 1.68 5.19 2.53 0 2.28 0.73 0 2.27 0 0 0.75 1.13 1.05 0 0 1.36 
19 0 4.23 1.96 1.07 0 0 1.33 0 4.89 4.05 4.81 2.46 0.43 0.55 0 0 4.52 0 0.78 0.0 0 3.45 0.87 0 2.4 0.42 3.45 3.58 1.02 2.23 0.78 0 0 2.03 0 0 0 0 2.34 1.8 0.39 0 0 0 1.05 
20 0.53 0.33 1.13 0.27 2.96 4.05 0 5.07 0 0.42 2.28 2.07 0.6 1.02 0 5.83 0 0.77 2.9 0 0.0 0.99 0.25 5.19 1.92 3.26 3.93 2.63 1.51 0.39 0.52 1.36 2.07 3.02 1.54 0 0.2 4.05 1.54 0 2.85 1.04 0 6.59 1.96 
21 3.01 0 0.23 0 0.73 2.35 0.68 3.02 0.6 0.22 1.42 0 1.97 0.99 3.08 0 0.94 0 0 3.45 0.99 0.0 0.98 0.8 0 0.92 4.05 1.97 0 0 0.25 0.6 0 4.43 0.85 1.98 0.45 0 1.69 3.42 0 0 0 0 0.68 
22 0.78 0 1.27 0 2.34 3.42 0 3.17 0.74 3.29 4.69 2.03 0.45 0.8 2.03 1.6 0.7 3.48 0 0.87 0.25 0.98 0.0 3.29 0.57 0 0 1.41 0.17 1.11 4.31 0.8 0.68 1.84 2.82 0.78 0.94 3.39 0.37 1.76 5.93 0 3.14 2.28 1.68 
23 0.37 1.29 1.29 0.6 0 1.41 1.04 0.37 1.9 0.72 6.33 1.17 0 0 0 1.76 0 0 1.48 0 5.19 0.8 3.29 0.0 0 0.35 0.25 1.51 1.09 3.95 6.46 3.04 0.94 0.92 3.14 5.83 1.88 0.63 1.41 0 0 1.56 1.84 0.22 2.71 
24 0 1.13 3.86 1.76 0 1.49 0 0 0.42 0 6.72 0 2.82 0 0.39 1.76 0 3.2 0.82 2.4 1.92 0 0.57 0 0.0 0 1.48 2.07 4.81 0.83 0 1.29 0.5 2.19 0 6.97 3.51 1.49 3.76 3.88 1.8 0 1.68 0.47 0 
25 1.42 3.11 0 0 0 0 0 0 1.29 0 2.9 0 1.48 0.22 0 0 1.76 1.54 0 0.42 3.26 0.92 0 0.35 0 0.0 0 0 0 3.14 0 0.72 0.53 2.96 3.33 1.0 0 1.79 0 0 1.97 0.35 0 0 0 
26 0 1.69 0 3.17 2.59 2.46 0.35 0 0.66 5.45 0.87 0 2.22 2.96 0 6.59 0 0 0 3.45 3.93 4.05 0 0.25 1.48 0 0.0 0.33 2.03 3.39 6.46 0.39 0 3.76 0 3.29 1.41 4.33 3.48 5.74 8.24 2.07 3.57 2.79 6.72 
27 0.49 0.13 1.79 2.54 2.26 0 0.15 1.17 0 0 1.33 0.22 1.51 3.11 0 0 2.16 0 0 3.58 2.63 1.97 1.41 1.51 2.07 0 0.33 0.0 2.16 2.63 1.37 2.07 0.13 1.6 3.2 1.37 3.67 2.45 0 4.05 0 0 0 0.48 1.29 
