set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
23 9 13 14 8 12 25 6143 12285 13123 9 16971 41 8 18 20 37 5 7 10110 15 15636 13 5863 0 5 16 8 15887 9 14804 8935 11546 12 5 58 13681 16 17 38 8 7 12 16 6 32 14082 11727 11448 41 3611 
24 7 18 9214 6 17 38 8 17 19 9 14443 19 6439 20 81 42 5 5773 19 19859 29 19 14 5 0 9 15 17332 10610 22 11 18 8 8 16 17332 41 43 16609 20 21 12 43 36 6 32 15887 74 18 2528 
25 29 9326 13 7 11 18 11 9 37 3 17 17 4885 24 10 13 40 5551 4 21 19545 32 11 16 9 0 7 12 16 11324 13 8 3 20 8882 18 23 18149 14 3 4219 21 12 11 7 13 9 18 14798 9388 
26 1 6661 6 4441 2443 13 5 2 12 4219 8 8 3 5107 5 6661 5 2 7 9 8882 29 8 8 15 7 0 5 8376 20 5584 9 5 12 2 12 11 32 29 15 2443 11 18 7994 4441 3997 4 7106 11 7 
27 14 16 5584 12638 3611 4 8 23 4 8 16 14 5773 2528 9 4 12277 6 18 5416 6143 26 12638 15887 17332 12 5 0 7259 2889 5 10658 11 10 2528 12 6701 5305 12 32 6 18 18 19 26 2166 6 5305 16 31 
28 6701 5 11 8935 5863 22 6 41 10 15 18054 75 10 37 55 10 7 16 52 13 35 3 3 9 10610 16 8376 7259 0 21 7 16752 12 5 9 44 5 8 23 15 11 7 6 7 9493 22 8376 8 15 9 
29 4 11 18 12999 3972 7 5584 11 7 9326 59 16 6661 5 12 4 12 7 75 17 10 4 21 14804 22 11324 20 2889 21 0 10 12 18 8 20 8666 5 4 14 10 14 59 17 52 15 1444 6 12 2 59 
30 5 7 2 8 3 3630 3350 6980 6143 13 58 14443 7 6 11 5305 6701 6 12564 9 8 4 5863 8935 11 13 5584 5 7 10 0 14 38 5 17 29 21 11 29 40 8 10 17 8 35 3 5 7 8 12 
31 16 13 17 23 9548 21 12 7 10 3775 6 19 7 11324 7994 15 59 14 10471 9 40 20 28 11546 18 8 9 10658 16752 12 14 0 11 52 10 31 24 21 26 4 5773 27 18 52 13 14 10 70 16 17 
32 10 9 8 12 7 51 6 25 7328 1554 7944 51 4 11 36 10880 25 3 5 10 16194 13 36 12 8 3 5 11 12 18 38 11 0 7 13 7 16 18 10 2220 7 8 11 7550 4 10 6883 13123 11448 7 
33 4747 2234 2792 18 5 8376 2234 35 18 34 56 16609 13 13 12564 20 9 5 17 22 23 6701 6 5 8 20 12 10 5 8 5 52 7 0 8 10 9214 10051 17 17 5863 5026 5026 4 6 27 9 8 6 5 
34 4 11915 11 42 2528 11 10 4 10 13 12 9027 16 6 7222 7222 10471 5 32 6 34 7539 52 58 16 8882 2 2528 9 20 17 10 13 8 0 5 10 8 38 25 5 32 62 56 22 7 3 6980 21 13721 
35 3997 13 8376 25 6 9 9 4 4 7 9 5416 9 7 8 9388 52 4885 21 2 10 10610 16 13681 17332 18 12 12 44 8666 29 31 7 10 5 0 45 20 6 5773 22 60 18 13681 12 7 2 12 16 16 
36 7328 9493 8 17332 9 11 9 11168 12 20 21 22 10 15 13123 4 30 11 92 11 4 3 10 16 41 23 11 6701 5 5 21 24 16 9214 10 45 0 2 20220 61 10 15 11 44 18 5584 10 1675 3350 18054 
37 7106 10610 9 22 7 2 9214 10051 10 15356 78 23 10 22 12 3 32 9 26 10 7 5 38 17 43 18149 32 5305 8 4 11 21 18 10051 8 20 2 0 18776 19 20 17 14 14 74 20 31 3 3630 19137 
38 38 36 14804 15 11193 17 15 12 8 7944 2528 4 14 25 7 16 56 9388 18 33 79 19137 23 38 16609 14 29 12 23 14 29 26 10 17 38 6 20220 18776 0 8 8305 24 22026 20220 45 12999 11 37 18 15887 
39 6 9 11 7 6439 15 15 5 6439 888 3972 36 2 10 9 43 10 4 8 9 16 13681 13 8 20 3 15 32 15 10 40 4 2220 17 25 5773 61 19 8 0 2 20 10658 11 22 7994 7 15 11727 11 
40 12 6439 7 2 19 8660 9 4441 11 1998 7 21 1 7772 7 11 4 1 19 28 44 10 33 7 21 4219 2443 6 11 14 8 5773 7 5863 5 22 10 20 8305 2 0 8216 11 15 2 25 4885 36 8 4663 
41 16 6 9 13 13360 48 8 17 18 39 40 29 36 38 22 18054 8 9 14082 18 30 9 4 12 12 21 11 18 7 59 10 27 8 5026 32 60 15 17 24 20 8216 0 1 1 23 14 14 10610 40 9 
42 7994 3 27 45 13 11168 7259 16 28 11 41 29 37 23 70 69 10 7550 15 16 14 9 6 16 43 12 18 18 6 17 17 18 11 5026 62 18 11 14 22026 10658 11 1 0 1 14 14 12564 20 9214 8666 
43 9 1675 7 9388 24 22 6 14 26 11 19 43 8216 69 66 16609 6138 7 15 15 13960 8 6 6 36 11 7994 19 7 52 8 52 7550 4 56 13681 44 14 20220 11 15 1 1 0 13 12638 11 9 8935 7 
44 5 9388 29 1083 10 20 5 10471 15 4333 19 55 4 62 59 68 5 3 5055 14804 25 19 16 32 6 7 4441 26 9493 15 35 13 4 6 22 12 18 74 45 22 2 23 14 13 0 12 11 31 17 4694 
45 3 12 3909 12 3 3 9 9 22 8216 13 12638 11 19 10471 4694 42 5 17332 9 7 6 21 14082 32 13 3997 2166 22 1444 3 14 10 27 7 7 5584 20 12999 7994 25 14 14 12638 12 0 17 4 3 13721 
46 2 39 6 14 4 7 6 2 1 7 10 10 4 5 3997 30 22 16 18 3 17 32 13 11727 15887 9 4 6 8376 6 5 10 6883 9 3 2 10 31 11 7 4885 14 12564 11 11 17 0 7539 23 56 
47 6 7818 19 59 11 2 6980 9772 8376 16 23 18 8660 6 12 4188 16 15 82 39 4 3 27 11448 74 18 7106 5305 8 12 7 70 13123 8 6980 12 1675 3 37 15 36 10610 20 9 31 4 7539 0 2 15887 
48 18 15 7 16 16 1954 5305 32 6980 24 18 18 8 21 13 4 10832 7 23 34 7 4 6422 41 18 14798 11 16 15 2 8 16 11448 6 21 16 3350 3630 18 11727 8 40 9214 8935 17 3 23 2 0 28 
49 7 6499 15 4 24 21 5863 56 17 9027 16 72 6 18 21 74 6 19 6 20 21 18 11 3611 2528 9388 7 31 9 59 12 17 7 5 13721 16 18054 19137 15887 11 4663 9 8666 7 4694 13721 56 15887 28 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0 46 44 45 39 42 43 44 40 42 42 43 40 42 43 43 41 39 48 42 44 43 43 43 48 44 39 41 42 41 40 44 42 41 40 41 44 44 42 42 40 44 44 43 41 40 44 42 41 43 
1 46 0 40 42 42 44 41 49 45 44 46 51 43 49 51 45 44 46 44 46 46 46 43 40 42 45 43 44 40 47 42 47 43 39 44 46 44 45 47 45 43 40 40 39 42 43 44 43 42 41 
2 44 40 0 46 40 41 43 43 42 44 49 46 42 46 45 42 41 41 45 44 44 40 41 42 44 45 45 41 40 41 43 47 47 40 41 43 42 42 45 44 46 42 42 42 42 40 45 41 40 42 
3 45 42 46 0 42 49 41 47 44 40 43 45 40 45 49 46 39 40 41 45 47 49 47 41 40 45 41 44 44 44 47 44 39 41 43 44 46 47 44 41 40 43 43 42 38 47 43 45 44 44 
4 39 42 40 42 0 41 40 40 40 43 43 43 41 41 43 41 42 40 45 42 43 42 43 48 45 45 40 40 42 40 43 46 43 45 39 45 42 46 43 43 42 44 48 44 46 39 39 41 40 44 
5 42 44 41 49 41 0 42 43 42 46 46 46 44 41 44 39 44 47 48 43 40 40 43 46 47 48 43 40 41 39 40 49 46 43 41 43 40 43 50 46 45 46 45 45 46 44 42 39 39 46 
6 43 41 43 41 40 42 0 42 42 42 44 48 41 43 44 47 40 40 44 44 45 42 42 42 43 44 40 42 41 41 40 49 45 39 41 43 47 44 44 42 41 46 42 46 45 41 41 42 41 42 
7 44 49 43 47 40 43 42 0 39 42 41 40 40 41 40 43 47 41 49 44 45 44 46 46 46 44 43 41 44 42 42 47 43 43 40 39 45 44 41 46 41 47 47 46 43 41 39 44 43 45 
8 40 45 42 44 40 42 42 39 0 44 42 45 41 40 40 46 48 42 46 39 47 44 46 46 46 45 40 44 48 45 42 45 44 44 39 39 44 43 46 43 42 47 47 46 44 40 42 43 42 46 
9 42 44 44 40 43 46 42 42 44 0 40 43 40 49 44 47 42 41 41 44 49 47 46 44 46 40 41 48 46 45 44 41 39 43 43 43 48 48 42 38 39 46 46 45 40 44 47 47 46 42 
10 42 46 49 43 43 46 44 41 42 40 0 40 40 48 42 46 44 42 44 43 48 47 47 46 45 42 41 44 47 45 45 40 42 45 43 42 52 47 39 40 41 48 48 51 42 48 42 47 46 45 
11 43 51 46 45 43 46 48 40 45 43 40 0 42 43 40 49 46 43 46 41 47 47 48 48 51 45 46 43 47 45 45 42 44 46 42 40 48 47 39 42 43 49 49 49 45 44 42 51 46 47 
12 40 43 42 40 41 44 41 40 41 40 40 42 0 47 43 45 41 39 42 43 46 45 45 44 43 42 39 42 48 43 46 42 40 42 41 41 50 49 41 43 39 45 45 44 40 42 45 45 44 42 
13 42 49 46 45 41 41 43 41 40 49 48 43 47 0 42 40 45 43 48 40 42 43 45 51 51 47 42 39 44 44 45 47 46 44 40 41 42 41 44 45 44 47 47 46 46 40 40 46 41 51 
14 43 51 45 49 43 44 44 40 40 44 42 40 43 42 0 44 46 43 47 43 46 46 48 48 48 50 46 46 47 47 44 44 45 46 41 39 46 49 41 44 47 49 49 48 45 43 41 49 45 47 
15 43 45 42 46 41 39 47 43 46 47 46 49 45 40 44 0 45 44 49 46 40 42 44 47 48 52 43 44 43 40 41 49 47 44 41 42 44 39 49 46 45 47 46 46 46 40 42 40 44 47 
16 41 44 41 39 42 44 40 47 48 42 44 46 41 45 46 45 0 40 42 45 51 44 42 40 44 43 46 44 46 47 42 45 41 39 43 44 45 46 45 42 41 42 42 41 40 43 43 44 43 39 
17 39 46 41 40 40 47 40 41 42 41 42 43 39 43 43 44 40 0 42 43 46 44 43 43 42 42 43 42 43 42 45 44 44 41 41 42 45 49 42 44 43 44 44 47 40 42 41 44 43 42 
18 48 44 45 41 45 48 44 49 46 41 44 46 42 48 47 49 42 42 0 47 50 51 50 43 40 44 48 51 46 47 46 43 44 43 46 46 49 49 45 42 42 45 49 44 40 46 46 48 47 45 
19 42 46 44 45 42 43 44 44 39 44 43 41 43 40 43 46 45 43 47 0 44 45 47 51 48 46 42 40 45 42 43 49 45 45 40 43 48 44 42 44 44 48 52 51 45 42 40 44 43 47 
20 44 46 44 47 43 40 45 45 47 49 48 47 46 42 46 40 51 46 50 44 0 42 45 48 49 50 45 42 43 41 42 51 48 45 43 48 40 39 48 52 47 47 51 47 48 42 43 44 41 52 
21 43 46 40 49 42 40 42 44 44 47 47 47 45 43 46 42 44 44 51 45 42 0 41 44 46 48 44 42 43 44 40 49 50 42 43 45 40 41 47 47 45 47 43 47 45 41 43 39 39 45 
22 43 43 41 47 43 43 42 46 46 46 47 48 45 45 48 44 42 43 50 47 45 41 0 42 44 51 48 44 39 43 42 49 45 41 44 46 43 44 48 46 44 44 40 40 44 43 45 42 42 43 
23 43 40 42 41 48 46 42 46 46 44 46 48 44 51 48 47 40 43 43 51 48 44 42 0 44 44 44 46 42 45 44 47 43 40 45 47 46 47 47 48 43 40 40 40 42 45 45 45 44 40 
24 48 42 44 40 45 47 43 46 46 46 45 51 43 51 48 48 44 42 40 48 49 46 44 44 0 42 44 46 45 46 49 45 41 42 49 46 48 48 46 43 42 42 43 42 40 46 46 47 46 39 
25 44 45 45 45 45 48 44 44 45 40 42 45 42 47 50 52 43 42 44 46 50 48 51 44 42 0 47 46 47 47 50 41 40 44 45 45 49 49 43 44 41 46 47 46 41 46 49 48 47 42 
26 39 43 45 41 40 43 40 43 40 41 41 46 39 42 46 43 46 43 48 42 45 44 48 44 44 47 0 41 43 42 41 43 41 42 43 40 45 44 41 41 40 45 45 44 41 41 40 44 42 47 
27 41 44 41 44 40 40 42 41 44 48 44 43 42 39 46 44 44 42 51 40 42 42 44 46 46 46 41 0 42 39 40 46 45 43 39 41 42 41 47 44 47 46 46 45 44 39 39 41 40 46 
28 42 40 40 44 42 41 41 44 48 46 47 47 48 44 47 43 46 43 46 45 43 43 39 42 45 47 43 42 0 41 40 49 45 40 43 45 45 42 47 46 44 42 41 41 44 41 43 40 40 47 
29 41 47 41 44 40 39 41 42 45 45 45 45 43 44 47 40 47 42 47 42 41 44 43 45 46 47 42 39 41 0 39 51 45 42 40 42 41 40 49 45 44 45 45 44 45 38 44 40 43 45 
30 40 42 43 47 43 40 40 42 42 44 45 45 46 45 44 41 42 45 46 43 42 40 42 44 49 50 41 40 40 39 0 51 44 45 40 42 41 41 45 44 43 44 43 43 43 39 41 40 39 44 
31 44 47 47 44 46 49 49 47 45 41 40 42 42 47 44 49 45 44 43 49 51 49 49 47 45 41 43 46 49 51 51 0 42 46 45 44 50 50 41 41 42 49 49 48 43 47 45 49 52 45 
32 42 43 47 39 43 46 45 43 44 39 42 44 40 46 45 47 41 44 44 45 48 50 45 43 41 40 41 45 45 45 44 42 0 46 43 48 47 47 47 40 39 48 45 44 39 44 43 46 45 41 
33 41 39 40 41 45 43 39 43 44 43 45 46 42 44 46 44 39 41 43 45 45 42 41 40 42 44 42 43 40 42 45 46 46 0 42 48 44 44 45 43 42 41 41 44 41 42 43 46 46 41 
34 40 44 41 43 39 41 41 40 39 43 43 42 41 40 41 41 43 41 46 40 43 43 44 45 49 45 43 39 43 40 40 45 43 42 0 40 43 42 42 43 46 46 46 45 43 40 38 42 41 45 
35 41 46 43 44 45 43 43 39 39 43 42 40 41 41 39 42 44 42 46 43 48 45 46 47 46 45 40 41 45 42 42 44 48 48 40 0 45 44 45 42 42 47 47 47 48 45 43 44 43 49 
36 44 44 42 46 42 40 47 45 44 48 52 48 50 42 46 44 45 45 49 48 40 40 43 46 48 49 45 42 45 41 41 50 47 44 43 45 0 39 48 48 50 45 49 45 51 41 44 39 40 47 
37 44 45 42 47 46 43 44 44 43 48 47 47 49 41 49 39 46 49 49 44 39 41 44 47 48 49 44 41 42 40 41 50 47 44 42 44 39 0 47 47 46 46 46 46 47 41 43 40 40 47 
38 42 47 45 44 43 50 44 41 46 42 39 39 41 44 41 49 45 42 45 42 48 47 48 47 46 43 41 47 47 49 45 41 47 45 42 45 48 47 0 41 42 49 49 48 43 44 42 47 46 46 
39 42 45 44 41 43 46 42 46 43 38 40 42 43 45 44 46 42 44 42 44 52 47 46 48 43 44 41 44 46 45 44 41 40 43 43 42 48 47 41 0 43 46 46 46 40 44 43 47 45 43 
40 40 43 46 40 42 45 41 41 42 39 41 43 39 44 47 45 41 43 42 44 47 45 44 43 42 41 40 47 44 44 43 42 39 42 46 42 50 46 42 43 0 44 45 44 39 43 42 45 48 42 
41 44 40 42 43 44 46 46 47 47 46 48 49 45 47 49 47 42 44 45 48 47 47 44 40 42 46 45 46 42 45 44 49 48 41 46 47 45 46 49 46 44 0 42 38 44 49 46 45 44 42 
42 44 40 42 43 48 45 42 47 47 46 48 49 45 47 49 46 42 44 49 52 51 43 40 40 43 47 45 46 41 45 43 49 45 41 46 47 49 46 49 46 45 42 0 42 44 48 46 44 44 42 
43 43 39 42 42 44 45 46 46 46 45 51 49 44 46 48 46 41 47 44 51 47 47 40 40 42 46 44 45 41 44 43 48 44 44 45 47 45 46 48 46 44 38 42 0 43 44 49 48 44 45 
44 41 42 42 38 46 46 45 43 44 40 42 45 40 46 45 46 40 40 40 45 48 45 44 42 40 41 41 44 44 45 43 43 39 41 43 48 51 47 43 40 39 44 44 43 0 48 47 46 45 40 
45 40 43 40 47 39 44 41 41 40 44 48 44 42 40 43 40 43 42 46 42 42 41 43 45 46 46 41 39 41 38 39 47 44 42 40 45 41 41 44 44 43 49 48 44 48 0 40 44 39 45 
46 44 44 45 43 39 42 41 39 42 47 42 42 45 40 41 42 43 41 46 40 43 43 45 45 46 49 40 39 43 44 41 45 43 43 38 43 44 43 42 43 42 46 46 49 47 40 0 43 42 45 
47 42 43 41 45 41 39 42 44 43 47 47 51 45 46 49 40 44 44 48 44 44 39 42 45 47 48 44 41 40 40 40 49 46 46 42 44 39 40 47 47 45 45 44 48 46 44 43 0 39 46 
48 41 42 40 44 40 39 41 43 42 46 46 46 44 41 45 44 43 43 47 43 41 39 42 44 46 47 42 40 40 43 39 52 45 46 41 43 40 40 46 45 48 44 44 44 45 39 42 39 0 45 
49 43 41 42 44 44 46 42 45 46 42 45 47 42 51 47 47 39 42 45 47 52 45 43 40 39 42 47 46 47 45 44 45 41 41 45 49 47 47 46 43 42 42 42 45 40 45 45 46 45 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49:=
0 0.0 0 0 0 0.12 0 0 0 0.92 0 2.45 1.13 0.2 1.36 0 1.66 0 0.49 0 0 0 1.66 0.5 0 0 1.29 0 0.63 2.26 0 0.23 0.62 0.37 1.6 0.17 1.11 2.03 1.97 2.45 0 0.55 0.6 2.22 0 0 0 0 0 0.78 0 
1 0 0.0 0.23 2.91 1.02 0.55 0.63 0 3.76 0 1.84 0 1.21 0 0 1.56 0 0 0.6 4.42 0.73 0 0 0.74 1.54 2.59 1.85 1.37 0.23 0 0 0 0 0.75 4.18 0 3.2 3.58 3.08 0 1.79 0.43 0.17 0.56 3.29 0.48 2.16 2.63 1.02 2.28 
2 0 0.23 0.0 0 1.13 0 0 2.54 0.43 3.2 0 2.65 2.35 0 1.56 1.6 1.69 0.7 0 1.33 3.01 0.25 1.51 0.98 3.11 0 0 1.88 0.62 0.99 0 0.83 0 0.94 0.74 2.82 0.4 0.43 5.19 0 0 0.42 1.48 0 1.6 1.32 0 1.05 0.51 1.02 
3 0 2.91 0 0.0 0.43 0 0.27 0 4.31 0.86 3.55 2.4 0.59 0.7 0 4.33 0.55 0.74 2.03 2.53 2.11 0 0 0.32 0.55 0 1.23 4.43 3.01 4.56 0 1.97 0.75 0.99 2.73 2.09 6.08 1.92 1.29 0.28 0 1.13 2.92 3.29 0.38 0 1.17 3.86 1.41 0 
4 0.12 1.02 1.13 0.43 0.0 0.3 0.2 1.9 0.23 1.17 0.52 1.21 1.11 0.28 2.54 0.78 2.26 0.25 5.19 0.82 2.73 0.86 3.67 0 1.49 0 0.68 1.27 1.98 1.39 0 2.65 0 0 0.89 0 0.43 0 3.93 1.79 0.82 4.69 0 2.03 0 0.12 0.15 0.78 0.86 2.03 
5 0 0.55 0 0 0.3 0.0 2.45 1.17 1.54 2.96 6.08 0.75 2.22 0.27 0.62 0 4.69 0 0.97 0 1.13 1.22 2.73 1.72 3.26 0 0.48 0 1.23 0.37 1.22 1.0 2.83 2.82 0.78 0 0.62 0 0 0 2.4 2.65 3.76 1.52 1.72 0 0 0 0.66 1.8 
6 0 0.63 0 0.27 0.2 2.45 0.0 0 0.94 1.54 4.05 0 1.05 0 3.48 0 0.2 0.39 1.25 1.25 0 0.38 0 2.07 0 0 0.23 0.37 0.3 1.88 1.13 0 0 0.75 0.7 0.45 0 3.11 1.33 1.02 0.63 0 2.45 0 0 0.66 0 2.35 1.79 1.98 
7 0 0 2.54 0 1.9 1.17 0 0.0 0.43 1.54 1.69 1.41 0 0.74 0 3.55 0 0.3 0 0 3.67 2.28 4.14 4.14 0.72 0 0 1.51 2.28 0.94 2.35 0 1.09 1.91 0.17 0.2 3.76 3.39 0.99 0 1.23 0.83 0 0 3.67 0.78 0 3.29 1.79 3.67 
8 0.92 3.76 0.43 4.31 0.23 1.54 0.94 0.43 0.0 0.53 0.42 0 0.33 0.47 0.22 0 0 0 1.84 0.27 0 0 1.68 4.42 0.8 1.64 0.55 0 0 0 2.07 0 2.03 1.29 0.66 0.2 0.58 0.5 0 1.79 0.42 0.85 1.96 1.8 1.33 1.41 0 2.82 2.35 0.72 
9 0 0 3.2 0.86 1.17 2.96 1.54 1.54 0.53 0.0 0.59 1.13 0 0 2.22 0.83 2.16 0.99 0.66 2.28 1.0 0.82 2.83 0 0 0 1.17 0 0.72 2.59 0.62 1.05 0.43 1.85 0.5 0 0.94 5.18 2.79 0.25 0.55 1.72 0 0 1.52 2.28 0 0 1.68 3.17 
10 2.45 1.84 0 3.55 0.52 6.08 4.05 1.69 0.42 0.59 0.0 0.25 1.9 0 0.9 2.9 1.37 0.9 1.97 3.55 3.57 3.26 6.84 5.95 5.07 1.42 0.33 1.37 6.33 3.86 3.76 0.51 2.79 3.67 1.06 0.82 0 5.08 0.89 1.39 0.3 3.45 3.51 0 1.6 0 0.43 1.99 0.75 0.65 
11 1.13 0 2.65 2.4 1.21 0.75 0 1.41 0 1.13 0.25 0.0 0.94 1.17 0.39 0 5.57 0.5 5.83 1.69 6.59 0.89 7.48 3.51 0 1.49 0 1.21 4.89 0.65 5.07 1.6 3.29 5.83 3.17 1.9 0.92 1.96 0.31 2.35 1.79 2.5 2.5 3.7 3.58 4.43 0.9 0 0.73 4.71 
12 0.2 1.21 2.35 0.59 1.11 2.22 1.05 0 0.33 0 1.9 0.94 0.0 0 1.06 1.49 0.78 0.12 1.6 0.45 0 1.52 0 0 1.79 1.36 0.12 1.6 0 1.85 0 0 0 0.9 0.7 0.33 0 0 1.17 0 0 1.6 1.64 2.28 0 0.42 0 2.4 0 0 
