set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 41 43 44 39 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 44 42 47 43 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 46 39 40 42 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 39 42 43 41 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 43 41 42 42 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 46 44 44 44 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 45 41 41 44 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 40 40 42 41 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 39 44 45 44 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 46 42 42 48 
16 43 47 41 44 45 39 41 44 46 39 43 46 45 40 39 46 0 43 44 41 
17 45 46 41 40 43 47 43 42 39 42 41 44 41 40 44 42 43 0 39 44 
18 49 43 42 40 44 44 44 47 40 43 42 44 41 42 45 42 44 39 0 45 
19 40 41 40 43 43 39 39 43 42 41 42 44 44 41 44 48 41 44 45 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19:=
0 0.0 0 0 0 1.36 0.38 0 0 3.01 1.25 1.23 1.09 1.13 3.67 0.5 2.73 0.52 3.67 0 0 
1 0 0.0 0 2.41 0.43 0.94 0.2 0 2.53 1.02 0.27 0 0.63 0 0 0 0 0 0 1.11 
2 0 0 0.0 0 2.79 0 0 0.49 0 0.86 0 1.79 1.11 0 0.38 0.9 1.23 0.74 0 0.23 
3 0 2.41 0 0.0 0.35 0 0 0 0.43 1.48 1.52 1.54 0.35 0.28 0 0.59 1.25 0.94 1.13 0.48 
4 1.36 0.43 2.79 0.35 0.0 1.37 0.9 3.67 0.43 3.39 0.2 0.27 1.65 0.5 4.14 0.35 3.86 1.91 4.05 1.17 
5 0.38 0.94 0 0 1.37 0.0 0.74 0.13 1.54 1.22 3.29 0.72 2.16 0.63 0.13 0 0.85 0 0 0 
6 0 0.2 0 0 0.9 0.74 0.0 0 0.37 0.78 0.99 0 1.02 0 1.29 0 0 1.13 1.37 0.1 
7 0 0 0.49 0 3.67 0.13 0 0.0 1.05 0.62 0.7 3.39 0 0 0 1.91 0 0.94 0 0 
8 3.01 2.53 0 0.43 0.43 1.54 0.37 1.05 0.0 0.99 0.25 0 0.27 0.39 1.21 0 0 0.12 0.2 0.98 
9 1.25 1.02 0.86 1.48 3.39 1.22 0.78 0.62 0.99 0.0 0.98 1.68 0.52 0 1.9 2.22 0.85 1.98 0.45 1.11 
10 1.23 0.27 0 1.52 0.2 3.29 0.99 0.7 0.25 0.98 0.0 0.3 0.62 0 1.33 0.22 1.17 0.33 0.94 1.36 
11 1.09 0 1.79 1.54 0.27 0.72 0 3.39 0 1.68 0.3 0.0 0.63 1.41 1.99 0 6.08 0.58 4.56 3.48 
12 1.13 0.63 1.11 0.35 1.65 2.16 1.02 0 0.27 0.52 0.62 0.63 0.0 0 1.64 0.23 1.49 0.74 1.88 0.53 
13 3.67 0 0 0.28 0.5 0.63 0 0 0.39 0 0 1.41 0 0.0 2.66 3.67 1.9 0 0.82 0.7 
14 0.5 0 0.38 0 4.14 0.13 1.29 0 1.21 1.9 1.33 1.99 1.64 2.66 0.0 2.83 0.37 0.6 3.95 0 
15 2.73 0 0.9 0.59 0.35 0 0 1.91 0 2.22 0.22 0 0.23 3.67 2.83 0.0 0 0.42 1.02 0 
16 0.52 0 1.23 1.25 3.86 0.85 0 0 0 0.85 1.17 6.08 1.49 1.9 0.37 0 0.0 2.82 2.22 0.99 
17 3.67 0 0.74 0.94 1.91 0 1.13 0.94 0.12 1.98 0.33 0.58 0.74 0 0.6 0.42 2.82 0.0 0.56 0.53 
18 0 0 0 1.13 4.05 0 1.37 0 0.2 0.45 0.94 4.56 1.88 0.82 3.95 1.02 2.22 0.56 0.0 2.34 
19 0 1.11 0.23 0.48 1.17 0 0.1 0 0.98 1.11 1.36 3.48 0.53 0.7 0 0 0.99 0.53 2.34 0.0 

;
