set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39;
17 4747 8 19 13402 4 4 13 30 14 7259 11 7 5 5 8 4 8376 0 3909 5 14 12 41 14 12277 6980 13 8 26 14 9 26 7 9 12 14798 20 1 5863 12 
18 4 8 14 12844 1954 7 8 11 9 16 26 7259 3909 6 2792 14 51 3909 0 18 13123 16 8 8666 30 3 8 5 37 62 14804 9104 7 27 32 19 65 6 13 18 
19 10 12564 22 28 4 8 15 18 46 9548 8438 45 12 12 6 5 10658 5 18 0 17 50 13 16 14082 11 25 10610 15 25 12 13 13 15 13 16 17 5 34 13 
20 11 7 4333 2 13402 8935 11 14443 6 11 27 6143 11 27 16 12844 6 14 13123 17 0 23 4 14804 22 14798 6883 7818 14 7 12 10 6143 35 36 2 3 48 36 16 
21 8935 7 6 9 25 6980 19 71 9 6 17 6 36 26 18054 11 3611 12 16 50 23 0 7 22 22 40 38 36 7 3 6 9 7 12638 3250 7583 12 11 6499 9749 
22 11 2 2220 3 10610 7539 6 9027 5 5773 13360 4467 8 21 7328 14 5 41 8 13 4 7 0 9388 14 9 4 4188 2 8 7550 6 12 21 27 6 7 40 5 20 
23 10 30 24 14 11 26 3972 2166 5416 19 18054 22 12 12 7 32 16 14 8666 16 14804 22 9388 0 3 15 6 5777 13 15165 18415 8666 17 22 74 16609 22 17 26 22 
24 9 21 14804 20 13 27 5 6 10 17 19137 13 10832 10 14 32 16 12277 30 14082 22 22 14 3 0 6 17 7944 13721 23 20 15 14 25 20 19859 41 27 14443 45 
25 26 9214 17 14 6 10 5 10 29 20 34 12 6701 6 2 10 65 6980 3 11 14798 40 9 15 6 0 8 8 11 18415 19 19 11 35 19498 34 22 8097 17 20 
26 9 5026 6 5551 11727 22 6 4 6 9548 21 8 20 10658 7 14519 8 13 8 25 6883 38 4 6 17 8 0 7 3553 32 11324 3 7 44 11 31 10 51 33 88 
27 9 3 5305 7539 6701 6 3 27 4 7 12 5 4467 9214 5 9 6422 8 5 10610 7818 36 4188 5777 7944 8 7 0 6422 7818 12 6143 3 14 9493 20 10889 7259 5 48 
28 8097 6 16 1998 13123 41 8 38 3 10 16609 29 10 50 35 18 6 26 37 15 14 7 2 13 13721 11 3553 6422 0 21 19 1332 7 26 9 17 4 14 9 24 
29 9 6 13 6138 12006 28 13360 19 7 5777 39 5 8655 13 17 12 3 14 62 25 7 3 8 15165 23 18415 32 7818 21 0 30 6 11 16 22 5416 8 11 6 13 
30 10 10 8 13 11 5026 15165 19498 9770 4 13 5863 8 12 19 6701 5416 9 14804 12 12 6 7550 18415 20 19 11324 12 19 30 0 10 30 7 9 52 61 15 11 17 
31 16 5 6 7 12844 14 6 7 2 8660 23 16 13 11991 7994 16 28 26 9104 13 10 9 6 8666 15 19 3 6143 1332 6 10 0 13 85 11 22 7 15 30 23 
32 6 2 3 25 8 18 5 39 4747 5305 7818 7 5 12 29 8376 16 7 7 13 6143 7 12 17 14 11 7 3 7 11 30 13 0 10 15 8 10 8 4 10331 
33 9493 11727 14082 78 11 7222 15887 87 39 33 17 8655 19 12 16609 8 45 9 27 15 35 12638 21 22 25 35 44 14 26 16 7 85 10 0 11 20 22026 6499 10 9 
34 17 8376 14 46 11448 12 30 21 36 6 7 5584 34 16 17693 8376 4333 12 32 13 36 3250 27 74 20 19498 11 9493 9 22 9 11 15 11 0 14 16 10 23 26 
35 10889 8 6860 4 15 12 15 65 28 12 19 8097 24 19 60 14798 35 14798 19 16 2 7583 6 16609 19859 34 31 20 17 5416 52 22 8 20 14 0 5 28 12 17332 
36 12006 8655 11 2665 21 50 13 16609 9 17 18 11 13 32 15915 16 22 20 65 17 3 12 7 22 41 22 10 10889 4 8 61 7 10 22026 16 5 0 20 13721 78 
37 5026 8376 11 16 3 3 7539 15526 14 6143 27 7 3 24 8 2 15 1 6 5 48 11 40 17 27 8097 51 7259 14 11 15 15 8 6499 10 28 20 0 5026 12 
38 17 10 5055 13 7259 2 12 28 7 2528 5416 2 8 18 13 6 13 5863 13 34 36 6499 5 26 14443 17 33 5 9 6 11 30 4 10 23 12 13721 5026 0 11 
39 13 13 14 20 14443 10 35 23 19498 6860 3611 35 12 13 24 33 10 12 18 13 16 9749 20 22 45 20 88 48 24 13 17 23 10331 9 26 17332 78 12 11 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39:=
0 0 44 45 47 41 40 44 46 42 42 43 40 39 43 41 42 42 41 44 43 44 44 41 42 46 42 43 39 43 43 43 43 40 44 43 45 46 41 40 45 
1 44 0 40 41 43 42 41 46 40 42 44 44 41 49 46 44 45 47 43 46 41 46 43 42 43 44 41 39 41 45 44 41 39 45 43 43 43 43 41 46 
2 45 40 0 44 44 42 47 44 42 41 47 40 42 51 44 44 39 44 44 47 40 40 40 44 45 46 47 41 41 39 46 42 44 45 41 41 42 43 40 44 
3 47 41 44 0 47 48 44 48 42 43 46 42 45 49 50 47 42 46 46 49 39 46 44 44 46 51 42 43 39 41 48 40 42 47 44 40 40 46 43 47 
4 41 43 44 47 0 41 42 44 44 44 43 42 40 40 41 41 44 39 39 40 46 46 45 47 43 41 45 42 46 46 48 46 42 47 45 51 49 44 42 45 
5 40 42 42 48 41 0 42 45 44 40 40 40 39 44 43 40 41 44 42 43 44 42 43 44 45 44 45 41 44 42 41 45 41 41 42 45 46 44 43 42 
6 44 41 47 44 42 42 0 41 41 44 45 45 41 43 40 48 43 42 40 44 44 45 42 40 40 41 42 39 43 44 45 46 45 46 45 46 50 43 42 47 
7 46 46 44 48 44 45 41 0 40 46 47 44 44 45 42 47 49 45 47 51 45 47 42 39 40 42 44 41 42 46 47 45 43 49 47 46 46 46 45 53 
8 42 40 42 42 44 44 41 40 0 44 46 46 43 46 43 50 47 45 44 47 46 44 40 40 42 44 39 44 44 47 46 39 41 47 45 43 44 45 47 47 
9 42 42 41 43 44 40 44 46 44 0 40 40 42 50 45 42 39 42 44 46 42 40 42 46 50 46 46 46 44 41 39 45 41 42 39 43 44 42 39 41 
10 43 44 47 46 43 40 45 47 46 40 0 42 42 50 46 40 41 42 44 45 44 42 44 47 47 46 47 44 46 43 39 47 43 40 40 46 50 41 40 40 
11 40 44 40 42 42 40 45 44 46 40 42 0 40 45 43 46 40 42 42 45 42 41 41 43 48 44 47 40 42 41 42 43 39 43 41 43 44 42 39 43 
12 39 41 42 45 40 39 41 44 43 42 42 40 0 46 42 41 42 39 40 42 44 44 43 43 43 42 44 41 48 43 46 44 40 42 43 46 50 43 40 47 
13 43 49 51 49 40 44 43 45 46 50 50 45 46 0 41 44 47 42 40 40 49 48 46 48 46 40 46 44 48 52 51 47 45 46 48 50 51 43 45 47 
14 41 46 44 50 41 43 40 42 43 45 46 43 42 41 0 44 45 42 40 47 46 47 44 40 40 43 47 45 45 50 46 44 42 46 47 47 48 47 44 47 
15 42 44 44 47 41 40 48 47 50 42 40 46 41 44 44 0 43 40 42 46 46 44 45 46 46 48 47 47 47 45 42 47 43 40 43 47 52 39 45 42 
16 42 45 39 42 44 41 43 49 47 39 41 40 42 47 45 43 0 43 44 46 45 40 41 45 50 46 48 42 46 43 40 43 40 43 40 42 43 43 39 42 
17 41 47 44 46 39 44 42 45 45 42 42 42 39 42 42 40 43 0 40 41 46 45 44 44 44 42 50 42 46 45 47 46 46 42 44 47 48 42 42 47 
18 44 43 44 46 39 42 40 47 44 44 44 42 40 40 40 42 44 40 0 41 46 50 48 42 42 44 48 45 45 46 45 45 46 44 46 47 48 41 43 46 
19 43 46 47 49 40 43 44 51 47 46 45 45 42 40 47 46 46 41 41 0 49 48 47 49 45 42 48 45 49 48 46 52 45 44 47 54 55 42 45 46 
20 44 41 40 39 46 44 44 45 46 42 44 42 44 49 46 46 45 46 46 49 0 41 40 45 47 47 43 43 41 40 43 42 42 47 42 43 40 46 42 49 
21 44 46 40 46 46 42 45 47 44 40 42 41 44 48 47 44 40 45 50 48 41 0 42 46 47 48 46 44 47 43 40 44 46 44 39 42 43 44 41 43 
22 41 43 40 44 45 43 42 42 40 42 44 41 43 46 44 45 41 44 48 47 40 42 0 42 44 49 45 40 40 41 44 40 40 46 43 41 42 44 42 46 
23 42 42 44 44 47 44 40 39 40 46 47 43 43 48 40 46 45 44 42 49 45 46 42 0 43 42 40 41 43 45 47 42 42 48 47 46 46 45 44 52 
24 46 43 45 46 43 45 40 40 42 50 47 48 43 46 40 46 50 44 42 45 47 47 44 43 0 40 42 42 45 47 51 44 43 48 52 48 48 45 45 49 
25 42 44 46 51 41 44 41 42 44 46 46 44 42 40 43 48 46 42 44 42 47 48 49 42 40 0 48 42 46 47 51 46 44 46 47 49 49 43 45 52 
26 43 41 47 42 45 45 42 44 39 46 47 47 44 46 47 47 48 50 48 48 43 46 45 40 42 48 0 41 41 44 47 40 42 49 50 44 44 46 44 49 
27 39 39 41 43 42 41 39 41 44 46 44 40 41 44 45 47 42 42 45 45 43 44 40 41 42 42 41 0 42 43 44 42 39 45 44 44 45 42 45 46 
28 43 41 41 39 46 44 43 42 44 44 46 42 48 48 45 47 46 46 45 49 41 47 40 43 45 46 41 42 0 42 45 39 42 48 45 41 45 46 44 47 
29 43 45 39 41 46 42 44 46 47 41 43 41 43 52 50 45 43 45 46 48 40 43 41 45 47 47 44 43 42 0 42 47 41 45 40 40 42 44 45 44 
30 43 44 46 48 48 41 45 47 46 39 39 42 46 51 46 42 40 47 45 46 43 40 44 47 51 51 47 44 45 42 0 50 43 45 39 44 45 42 40 40 
31 43 41 42 40 46 45 46 45 39 45 47 43 44 47 44 47 43 46 45 52 42 44 40 42 44 46 40 42 39 47 50 0 42 48 46 42 42 46 44 48 
32 40 39 44 42 42 41 45 43 41 41 43 39 40 45 42 43 40 46 46 45 42 46 40 42 43 44 42 39 42 41 43 42 0 48 42 47 44 42 44 44 
33 44 45 45 47 47 41 46 49 47 42 40 43 42 46 46 40 43 42 44 44 47 44 46 48 48 46 49 45 48 45 45 48 48 0 43 51 49 41 42 40 
34 43 43 41 44 45 42 45 47 45 39 40 41 43 48 47 43 40 44 46 47 42 39 43 47 52 47 50 44 45 40 39 46 42 43 0 43 44 43 41 41 
35 45 43 41 40 51 45 46 46 43 43 46 43 46 50 47 47 42 47 47 54 43 42 41 46 48 49 44 44 41 40 44 42 47 51 43 0 39 47 47 46 
36 46 43 42 40 49 46 50 46 44 44 50 44 50 51 48 52 43 48 48 55 40 43 42 46 48 49 44 45 45 42 45 42 44 49 44 39 0 48 45 47 
37 41 43 43 46 44 44 43 46 45 42 41 42 43 43 47 39 43 42 41 42 46 44 44 45 45 43 46 42 46 44 42 46 42 41 43 47 48 0 41 43 
38 40 41 40 43 42 43 42 45 47 39 40 39 40 45 44 45 39 42 43 45 42 41 42 44 45 45 44 45 44 45 40 44 44 42 41 47 45 41 0 42 
39 45 46 44 47 45 42 47 53 47 41 40 43 47 47 47 42 42 47 46 46 49 43 46 52 49 52 49 46 47 44 40 48 44 40 41 46 47 43 42 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39:=
0 0.0 0 0 0 0.66 0.23 0 0 2.07 0.38 1.72 0.2 0.31 2.73 0.3 2.26 0.37 1.6 0 0 0.53 3.01 0.78 0.86 0 1.42 0 0.49 2.73 0 0.5 1.13 0.39 3.2 1.21 3.67 4.05 1.69 0.92 0.63 
1 0 0.0 0.2 1.79 0.52 0.37 0.63 0 1.04 0.4 0.57 0 1.23 0 0 0.6 0 0 0 4.23 0.33 0 0 1.98 1.79 3.11 1.69 0.13 0.27 0 0 0 0.1 3.95 2.82 0 2.92 2.82 0.7 0 
2 0 0.2 0.0 0 3.48 0 0 4.31 0 2.03 0 0.39 2.26 0 2.28 2.16 1.01 1.33 0.58 0.83 1.52 0.55 0.62 2.03 5.19 0.72 0 1.79 0.7 0.85 0 0 0 4.94 1.23 2.41 0.94 0.52 1.77 0.58 
3 0 1.79 0 0.0 0 0 0.58 0 1.29 1.91 5.45 0.98 2.34 0 0 3.08 1.42 4.52 4.33 1.07 0 0 0 0.6 1.76 0 1.54 2.54 0.55 2.15 0 0.25 1.36 5.08 3.01 0.17 0.74 0.77 1.13 0.82 
4 0.66 0.52 3.48 0 0.0 0.33 0.35 4.69 0 1.97 0.52 0.43 1.13 0 1.05 0.3 2.16 0.27 0.66 0 4.52 1.72 3.58 0 1.09 0.28 3.95 2.26 4.42 4.05 0 4.33 0 0 3.86 0 1.0 0 2.45 5.07 
5 0.23 0.37 0 0 0.33 0.0 2.35 2.46 2.03 0.74 1.77 0 0.85 0 0.5 0 1.51 0 0 0 3.01 2.35 2.54 2.22 2.34 0 1.56 0 2.28 1.54 1.69 0.65 0.99 2.53 0.82 0 2.77 0 0 0.4 
6 0 0.63 0 0.58 0.35 2.35 0.0 0.27 0.3 3.2 4.94 0 1.11 0 0.94 0 1.21 0.94 0.55 0.57 0 1.6 0 1.39 0.22 0 0 0.15 0 4.69 5.32 0 0 5.57 2.59 0.73 0 2.54 1.02 3.02 
7 0 0 4.31 0 4.69 2.46 0.27 0.0 1.77 5.83 5.08 3.11 0.57 1.52 0.35 6.33 0 2.53 0 0 5.07 4.61 3.17 0.76 0.23 0.43 0 1.79 2.45 1.68 6.84 0 2.54 5.65 0.89 4.23 5.83 5.45 2.4 0 
8 2.07 1.04 0 1.29 0 2.03 0.3 1.77 0.0 0.58 0.75 0 1.17 0 0.45 0 0 0.65 0 2.03 0 0 0.2 1.9 0.42 1.29 0.27 0 0 0 2.71 0 1.6 3.33 1.6 1.21 0 0.67 0 6.84 
9 0.38 0.4 2.03 1.91 1.97 0.74 3.2 5.83 0.58 0.0 0.47 0.2 0 0 5.19 0.9 0.75 2.45 1.37 2.65 0.98 0.51 1.6 1.68 0 1.76 2.65 0 0 2.03 0.31 2.4 1.79 2.16 0.55 0.52 1.45 2.07 0.89 2.41 
10 1.72 0.57 0 5.45 0.52 1.77 4.94 5.08 0.75 0.47 0.0 0 2.79 0 1.72 0.92 0.78 0.94 2.22 2.34 2.28 1.42 4.69 6.33 6.72 2.9 0.87 0.57 5.83 2.54 0.85 1.96 2.63 1.13 0.59 1.68 0 1.79 1.9 1.27 
11 0.2 0 0.39 0.98 0.43 0 0 3.11 0 0.2 0 0.0 0.23 0.67 0.5 0 0.94 0 2.45 2.46 2.07 0 1.51 1.85 0 0.58 0 0.22 1.6 0 1.98 1.09 0.37 2.92 1.88 2.73 0 0.35 0.1 1.91 
12 0.31 1.23 2.26 2.34 1.13 0.85 1.11 0.57 1.17 0 2.79 0.23 0.0 0 1.29 0.99 1.36 0.35 1.32 0.43 0 1.97 0 0.48 3.8 2.26 1.41 1.51 0 2.92 0 0.62 0.25 1.6 1.85 1.68 0 0 0.55 0 
13 2.73 0 0 0 0 0 0 1.52 0 0 0 0.67 0 0.0 1.11 1.97 3.02 0 0.23 0.55 1.02 0.99 0.8 0 0 0.22 2.96 3.11 2.19 0 0 3.33 0 0 0 0 1.2 1.06 0.68 0 
14 0.3 0 2.28 0 1.05 0.5 0.94 0.35 0.45 5.19 1.72 0.5 1.29 1.11 0.0 3.29 3.76 0.4 0.94 0 0.78 6.33 2.03 0.59 0.94 0 0 0 1.52 0 0.8 2.22 1.6 5.83 6.21 3.33 5.36 0 0.55 2.11 
15 2.26 0.6 2.16 3.08 0.3 0 0 6.33 0 0.9 0.92 0 0.99 1.97 3.29 0.0 0.48 0.18 0.98 0 4.33 0 0.68 2.77 2.77 0 4.89 0 0.85 0 2.26 0 2.82 0.68 2.82 4.99 0 0.12 0 2.16 
16 0.37 0 1.01 1.42 2.16 1.51 1.21 0 0 0.75 0.78 0.94 1.36 3.02 3.76 0.48 0.0 2.82 3.29 2.96 0 1.27 0 0.65 0 4.23 0 2.16 0 0 1.9 1.21 0.86 2.92 1.52 2.26 1.85 1.06 0.85 0.43 
17 1.6 0 1.33 4.52 0.27 0 0.94 2.53 0.65 2.45 0.94 0 0.35 0 0.4 0.18 2.82 0.0 1.32 0 0 0 2.28 0.58 4.31 2.35 0 0 1.8 0.65 0 1.84 0 0.38 0.58 4.99 0.97 0 1.98 0 
18 0 0 0.58 4.33 0.66 0 0.55 0 0 1.37 2.22 2.45 1.32 0.23 0.94 0.98 3.29 1.32 0.0 0.78 4.42 0 0 3.04 1.98 0 0 0 1.64 4.05 5.19 2.53 0 2.28 2.71 0.9 3.57 0 1.09 0.75 
19 0 4.23 0.83 1.07 0 0 0.57 0 2.03 2.65 2.34 2.46 0.43 0.55 0 0 2.96 0 0.78 0.0 0 2.19 0 0 4.94 0.42 0.94 3.58 0 0.95 0 0 0 0.55 0 0 0 0 1.49 0 
20 0.53 0.33 1.52 0 4.52 3.01 0 5.07 0 0.98 2.28 2.07 0 1.02 0.78 4.33 0 0 4.42 0 0.0 1.51 0 5.19 1.92 4.99 1.91 2.63 0.63 0.62 0.52 0.37 2.07 3.02 2.35 0 0 2.65 2.35 0 
21 3.01 0 0.55 0 1.72 2.35 1.6 4.61 0 0.51 1.42 0 1.97 0.99 6.33 0 1.27 0 0 2.19 1.51 0.0 0 1.88 0.9 3.39 1.68 1.97 0 0 0.25 0 0 4.43 1.14 2.66 1.06 0 2.28 3.42 
22 0.78 0 0.62 0 3.58 2.54 0 3.17 0.2 1.6 4.69 1.51 0 0.8 2.03 0.68 0 2.28 0 0 0 0 0.0 3.29 0.57 0 0 1.41 0 0.3 2.09 0.22 0.68 1.84 1.17 0 0 2.22 0 1.76 
23 0.86 1.98 2.03 0.6 0 2.22 1.39 0.76 1.9 1.68 6.33 1.85 0.48 0 0.59 2.77 0.65 0.58 3.04 0 5.19 1.88 3.29 0.0 0 1.29 0.25 2.03 1.09 5.32 6.46 3.04 1.48 0.92 4.8 5.83 1.88 1.49 2.22 0 
24 0 1.79 5.19 1.76 1.09 2.34 0.22 0.23 0.42 0 6.72 0 3.8 0 0.94 2.77 0 4.31 1.98 4.94 1.92 0.9 0.57 0 0.0 0.23 1.48 2.79 4.81 1.96 0 1.29 1.17 2.19 0 6.97 3.51 2.34 5.07 3.88 
25 1.42 3.11 0.72 0 0.28 0 0 0.43 1.29 1.76 2.9 0.58 2.26 0.22 0 0 4.23 2.35 0 0.42 4.99 3.39 0 1.29 0.23 0.0 0 0 0 6.46 0 0.72 0.53 2.96 6.84 2.35 1.07 2.73 1.49 0 
26 0 1.69 0 1.54 3.95 1.56 0 0 0.27 2.65 0.87 0 1.41 2.96 0 4.89 0 0 0 0.94 1.91 1.68 0 0.25 1.48 0 0.0 0.33 0.99 1.41 3.14 0 0 3.76 0 1.37 0 2.83 1.45 5.74 
27 0.49 0.13 1.79 2.54 2.26 0 0.15 1.79 0 0 0.57 0.22 1.51 3.11 0 0 2.16 0 0 3.58 2.63 1.97 1.41 2.03 2.79 0 0.33 0.0 2.16 2.63 0.58 2.07 0.13 0.68 3.2 1.37 3.67 2.45 0 2.65 
28 2.73 0.27 0.7 0.55 4.42 2.28 0 2.45 0 0 5.83 1.6 0 2.19 1.52 0.85 0 1.8 1.64 0 0.63 0 0 1.09 4.81 0 0.99 2.16 0.0 0.94 0.7 0.37 0 2.23 0 0.74 0 0 0 2.11 
29 0 0 0.85 2.15 4.05 1.54 4.69 1.68 0 2.03 2.54 0 2.92 0 0 0 0 0.65 4.05 0.95 0.62 0 0.3 5.32 1.96 6.46 1.41 2.63 0.94 0.0 1.98 0 0.78 0.65 1.41 1.9 0.35 0 0 0.55 
30 0.5 0 0 0 0 1.69 5.32 6.84 2.71 0.31 0.85 1.98 0 0 0.8 2.26 1.9 0 5.19 0 0.52 0.25 2.09 6.46 0 0 3.14 0.58 0.7 1.98 0.0 0 1.66 0 0.56 3.39 3.95 1.02 0.92 1.13 
31 1.13 0 0 0.25 4.33 0.65 0 0 0 2.4 1.96 1.09 0.62 3.33 2.22 0 1.21 1.84 2.53 0 0.37 0 0.22 3.04 1.29 0.72 0 2.07 0.37 0 0 0.0 0.9 5.55 0 0.98 0 0 1.33 0.97 
32 0.39 0.1 0 1.36 0 0.99 0 2.54 1.6 1.79 2.63 0.37 0.25 0 1.6 2.82 0.86 0 0 0 2.07 0 0.68 1.48 1.17 0.53 0 0.13 0 0.78 1.66 0.9 0.0 0 1.02 0 0 0.4 0 3.48 
33 3.2 3.95 4.94 5.08 0 2.53 5.57 5.65 3.33 2.16 1.13 2.92 1.6 0 5.83 0.68 2.92 0.38 2.28 0.55 3.02 4.43 1.84 0.92 2.19 2.96 3.76 0.68 2.23 0.65 0 5.55 0 0.0 0.45 0 7.73 2.28 0.42 0.8 
34 1.21 2.82 1.23 3.01 3.86 0.82 2.59 0.89 1.6 0.55 0.59 1.88 1.85 0 6.21 2.82 1.52 0.58 2.71 0 2.35 1.14 1.17 4.8 0 6.84 0 3.2 0 1.41 0.56 0 1.02 0.45 0.0 1.17 1.41 0 1.51 1.69 
35 3.67 0 2.41 0.17 0 0 0.73 4.23 1.21 0.52 1.68 2.73 1.68 0 3.33 4.99 2.26 4.99 0.9 0 0 2.66 0 5.83 6.97 2.35 1.37 1.37 0.74 1.9 3.39 0.98 0 0 1.17 0.0 0.23 1.96 0 6.08 
36 4.05 2.92 0.94 0.74 1.0 2.77 0 5.83 0 1.45 0 0 0 1.2 5.36 0 1.85 0.97 3.57 0 0 1.06 0 1.88 3.51 1.07 0 3.67 0 0.35 3.95 0 0 7.73 1.41 0.23 0.0 0.94 4.81 5.08 
37 1.69 2.82 0.52 0.77 0 0 2.54 5.45 0.67 2.07 1.79 0.35 0 1.06 0 0.12 1.06 0 0 0 2.65 0 2.22 1.49 2.34 2.73 2.83 2.45 0 0 1.02 0 0.4 2.28 0 1.96 0.94 0.0 1.69 1.06 
38 0.92 0.7 1.77 1.13 2.45 0 1.02 2.4 0 0.89 1.9 0.1 0.55 0.68 0.55 0 0.85 1.98 1.09 1.49 2.35 2.28 0 2.22 5.07 1.49 1.45 0 0 0 0.92 1.33 0 0.42 1.51 0 4.81 1.69 0.0 0.94 
39 0.63 0 0.58 0.82 5.07 0.4 3.02 0 6.84 2.41 1.27 1.91 0 0 2.11 2.16 0.43 0 0.75 0 0 3.42 1.76 0 3.88 0 5.74 2.65 2.11 0.55 1.13 0.97 3.48 0.8 1.69 6.08 5.08 1.06 0.94 0.0 

;
