set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39;
17 4747 8 15 17332 4 4 17 30 14 5773 11 7 5 7 11 4 6661 0 3909 6 18 10 41 14 12277 6980 13 8 26 11 11 26 7 9 10 19137 26 1 4663 12 
18 4 8 11 16609 1954 7 10 11 11 10 20 7259 3909 8 3611 14 31 3909 0 22 16971 10 9 8666 30 3 10 5 47 48 11448 11448 7 21 20 24 84 6 8 14 
19 10 12564 28 46 5 10 25 18 58 9548 10610 45 15 16 10 6 10658 6 22 0 28 50 16 16 14082 14 31 10610 19 32 15 17 13 18 13 25 27 7 34 16 
20 14 9 4333 3 17332 11554 15 14443 9 11 27 7944 14 44 21 16609 6 18 16971 28 0 23 6 14804 22 19137 11193 10110 23 7 12 16 7944 35 36 3 5 62 36 16 
21 7106 6 4 9 20 5551 11 44 11 4 10 5 28 26 11102 9 2220 10 10 50 23 0 7 13 13 24 48 28 9 2 4 11 5 7772 1998 7583 12 9 3997 5995 
22 9 2 2220 4 10610 7539 9 9027 7 5773 13360 3553 8 27 11915 14 5 41 9 16 6 7 0 9388 14 11 5 3331 3 8 12277 7 10 21 27 9 11 40 5 20 
23 10 30 24 14 11 26 3972 2166 4188 12 18054 22 12 12 7 32 10 14 8666 16 14804 13 9388 0 3 15 5 5777 10 15165 18415 6701 17 22 45 16609 22 17 16 22 
24 9 21 14804 20 13 27 5 6 8 10 19137 13 10832 10 14 32 10 12277 30 14082 22 13 14 3 0 6 13 7944 10610 23 20 12 14 25 12 19859 41 27 8882 45 
25 26 9214 13 18 6 10 6 10 37 12 26 12 6701 7 2 10 40 6980 3 14 19137 24 11 15 6 0 10 8 14 14240 15 24 11 27 11991 43 29 8097 11 16 
26 9 5026 8 9027 11727 22 7 3 8 12006 16 8 20 13402 8 14519 10 13 10 31 11193 48 5 5 13 10 0 7 4467 40 14240 3 7 34 13 51 16 51 41 68 
27 7 2 4219 9749 6701 6 4 27 4 6 15 4 4467 9214 6 9 5107 8 5 10610 10110 28 3331 5777 7944 8 7 0 6422 6217 16 6143 2 19 7550 25 14082 7259 4 62 
28 8097 6 20 3250 13123 41 10 29 4 12 12844 29 10 63 44 18 8 26 47 19 23 9 3 10 10610 14 4467 6422 0 27 23 1675 7 20 12 27 7 14 11 19 
29 7 5 8 6138 12006 22 13360 19 8 3553 24 4 6883 16 17 9 2 11 48 32 7 2 8 15165 23 14240 40 6217 27 0 19 8 9 10 13 5416 8 9 4 8 
30 14 13 5 13 11 6499 15165 19498 12285 2 13 7583 10 15 19 8666 3331 11 11448 15 12 4 12277 18415 20 15 14240 16 23 19 0 13 39 7 5 52 61 19 7 17 
31 16 5 8 11 12844 14 8 6 3 10889 17 16 13 15077 10051 16 35 26 11448 17 16 11 7 6701 12 24 3 6143 1675 8 13 0 13 66 13 36 12 15 38 18 
32 4 2 2 32 8 18 6 39 4747 4219 10110 5 5 12 38 8376 12 7 7 13 7944 5 10 17 14 11 7 2 7 9 39 13 0 13 12 10 13 8 3 13360 
33 12277 15165 8660 78 8 7222 15887 87 30 20 17 11193 19 15 16609 8 28 9 21 18 35 7772 21 22 25 27 34 19 20 10 7 66 13 0 7 20 22026 6499 6 9 
34 14 6661 9 46 9104 9 19 13 46 4 4 4441 27 16 10880 6661 2665 10 20 13 36 1998 27 45 12 11991 13 7550 12 13 5 13 12 7 0 14 16 8 14 16 
35 14082 11 6860 7 20 16 20 65 45 12 19 10471 31 31 78 19137 35 19137 24 25 3 7583 9 16609 19859 43 51 25 27 5416 52 36 10 20 14 0 9 36 12 17332 
36 15526 11193 11 4333 27 65 17 16609 14 17 18 14 17 52 20581 21 22 26 84 27 5 12 11 22 41 29 16 14082 7 8 61 12 13 22026 16 9 0 25 13721 78 
37 5026 8376 9 21 3 3 9749 15526 14 4885 27 7 3 30 10 2 12 1 6 7 62 9 40 17 27 8097 51 7259 14 9 19 15 8 6499 8 36 25 0 3997 12 
38 13 8 3109 13 5773 2 7 17 8 1554 3331 2 6 18 8 5 8 4663 8 34 36 3997 5 16 8882 11 41 4 11 4 7 38 3 6 14 12 13721 3997 0 7 
39 17 17 9 20 11168 10 35 23 15077 4219 3611 45 12 17 24 33 6 12 14 16 16 5995 20 22 45 16 68 62 19 8 17 18 13360 9 16 17332 78 12 7 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39:=
0 0 44 45 47 41 40 44 46 42 42 43 40 39 43 41 42 42 41 44 43 44 44 41 42 46 42 43 39 43 43 43 43 40 44 43 45 46 41 40 45 
1 44 0 40 41 43 42 41 46 40 42 44 44 41 49 46 44 45 47 43 46 41 46 43 42 43 44 41 39 41 45 44 41 39 45 43 43 43 43 41 46 
2 45 40 0 44 44 42 47 44 42 41 47 40 42 51 44 44 39 44 44 47 40 40 40 44 45 46 47 41 41 39 46 42 44 45 41 41 42 43 40 44 
3 47 41 44 0 47 48 44 48 42 43 46 42 45 49 50 47 42 46 46 49 39 46 44 44 46 51 42 43 39 41 48 40 42 47 44 40 40 46 43 47 
4 41 43 44 47 0 41 42 44 44 44 43 42 40 40 41 41 44 39 39 40 46 46 45 47 43 41 45 42 46 46 48 46 42 47 45 51 49 44 42 45 
5 40 42 42 48 41 0 42 45 44 40 40 40 39 44 43 40 41 44 42 43 44 42 43 44 45 44 45 41 44 42 41 45 41 41 42 45 46 44 43 42 
6 44 41 47 44 42 42 0 41 41 44 45 45 41 43 40 48 43 42 40 44 44 45 42 40 40 41 42 39 43 44 45 46 45 46 45 46 50 43 42 47 
7 46 46 44 48 44 45 41 0 40 46 47 44 44 45 42 47 49 45 47 51 45 47 42 39 40 42 44 41 42 46 47 45 43 49 47 46 46 46 45 53 
8 42 40 42 42 44 44 41 40 0 44 46 46 43 46 43 50 47 45 44 47 46 44 40 40 42 44 39 44 44 47 46 39 41 47 45 43 44 45 47 47 
9 42 42 41 43 44 40 44 46 44 0 40 40 42 50 45 42 39 42 44 46 42 40 42 46 50 46 46 46 44 41 39 45 41 42 39 43 44 42 39 41 
10 43 44 47 46 43 40 45 47 46 40 0 42 42 50 46 40 41 42 44 45 44 42 44 47 47 46 47 44 46 43 39 47 43 40 40 46 50 41 40 40 
11 40 44 40 42 42 40 45 44 46 40 42 0 40 45 43 46 40 42 42 45 42 41 41 43 48 44 47 40 42 41 42 43 39 43 41 43 44 42 39 43 
12 39 41 42 45 40 39 41 44 43 42 42 40 0 46 42 41 42 39 40 42 44 44 43 43 43 42 44 41 48 43 46 44 40 42 43 46 50 43 40 47 
13 43 49 51 49 40 44 43 45 46 50 50 45 46 0 41 44 47 42 40 40 49 48 46 48 46 40 46 44 48 52 51 47 45 46 48 50 51 43 45 47 
14 41 46 44 50 41 43 40 42 43 45 46 43 42 41 0 44 45 42 40 47 46 47 44 40 40 43 47 45 45 50 46 44 42 46 47 47 48 47 44 47 
15 42 44 44 47 41 40 48 47 50 42 40 46 41 44 44 0 43 40 42 46 46 44 45 46 46 48 47 47 47 45 42 47 43 40 43 47 52 39 45 42 
16 42 45 39 42 44 41 43 49 47 39 41 40 42 47 45 43 0 43 44 46 45 40 41 45 50 46 48 42 46 43 40 43 40 43 40 42 43 43 39 42 
17 41 47 44 46 39 44 42 45 45 42 42 42 39 42 42 40 43 0 40 41 46 45 44 44 44 42 50 42 46 45 47 46 46 42 44 47 48 42 42 47 
18 44 43 44 46 39 42 40 47 44 44 44 42 40 40 40 42 44 40 0 41 46 50 48 42 42 44 48 45 45 46 45 45 46 44 46 47 48 41 43 46 
19 43 46 47 49 40 43 44 51 47 46 45 45 42 40 47 46 46 41 41 0 49 48 47 49 45 42 48 45 49 48 46 52 45 44 47 54 55 42 45 46 
20 44 41 40 39 46 44 44 45 46 42 44 42 44 49 46 46 45 46 46 49 0 41 40 45 47 47 43 43 41 40 43 42 42 47 42 43 40 46 42 49 
21 44 46 40 46 46 42 45 47 44 40 42 41 44 48 47 44 40 45 50 48 41 0 42 46 47 48 46 44 47 43 40 44 46 44 39 42 43 44 41 43 
22 41 43 40 44 45 43 42 42 40 42 44 41 43 46 44 45 41 44 48 47 40 42 0 42 44 49 45 40 40 41 44 40 40 46 43 41 42 44 42 46 
23 42 42 44 44 47 44 40 39 40 46 47 43 43 48 40 46 45 44 42 49 45 46 42 0 43 42 40 41 43 45 47 42 42 48 47 46 46 45 44 52 
24 46 43 45 46 43 45 40 40 42 50 47 48 43 46 40 46 50 44 42 45 47 47 44 43 0 40 42 42 45 47 51 44 43 48 52 48 48 45 45 49 
25 42 44 46 51 41 44 41 42 44 46 46 44 42 40 43 48 46 42 44 42 47 48 49 42 40 0 48 42 46 47 51 46 44 46 47 49 49 43 45 52 
26 43 41 47 42 45 45 42 44 39 46 47 47 44 46 47 47 48 50 48 48 43 46 45 40 42 48 0 41 41 44 47 40 42 49 50 44 44 46 44 49 
27 39 39 41 43 42 41 39 41 44 46 44 40 41 44 45 47 42 42 45 45 43 44 40 41 42 42 41 0 42 43 44 42 39 45 44 44 45 42 45 46 
28 43 41 41 39 46 44 43 42 44 44 46 42 48 48 45 47 46 46 45 49 41 47 40 43 45 46 41 42 0 42 45 39 42 48 45 41 45 46 44 47 
29 43 45 39 41 46 42 44 46 47 41 43 41 43 52 50 45 43 45 46 48 40 43 41 45 47 47 44 43 42 0 42 47 41 45 40 40 42 44 45 44 
30 43 44 46 48 48 41 45 47 46 39 39 42 46 51 46 42 40 47 45 46 43 40 44 47 51 51 47 44 45 42 0 50 43 45 39 44 45 42 40 40 
31 43 41 42 40 46 45 46 45 39 45 47 43 44 47 44 47 43 46 45 52 42 44 40 42 44 46 40 42 39 47 50 0 42 48 46 42 42 46 44 48 
32 40 39 44 42 42 41 45 43 41 41 43 39 40 45 42 43 40 46 46 45 42 46 40 42 43 44 42 39 42 41 43 42 0 48 42 47 44 42 44 44 
33 44 45 45 47 47 41 46 49 47 42 40 43 42 46 46 40 43 42 44 44 47 44 46 48 48 46 49 45 48 45 45 48 48 0 43 51 49 41 42 40 
34 43 43 41 44 45 42 45 47 45 39 40 41 43 48 47 43 40 44 46 47 42 39 43 47 52 47 50 44 45 40 39 46 42 43 0 43 44 43 41 41 
35 45 43 41 40 51 45 46 46 43 43 46 43 46 50 47 47 42 47 47 54 43 42 41 46 48 49 44 44 41 40 44 42 47 51 43 0 39 47 47 46 
36 46 43 42 40 49 46 50 46 44 44 50 44 50 51 48 52 43 48 48 55 40 43 42 46 48 49 44 45 45 42 45 42 44 49 44 39 0 48 45 47 
37 41 43 43 46 44 44 43 46 45 42 41 42 43 43 47 39 43 42 41 42 46 44 44 45 45 43 46 42 46 44 42 46 42 41 43 47 48 0 41 43 
38 40 41 40 43 42 43 42 45 47 39 40 39 40 45 44 45 39 42 43 45 42 41 42 44 45 45 44 45 44 45 40 44 44 42 41 47 45 41 0 42 
39 45 46 44 47 45 42 47 53 47 41 40 43 47 47 47 42 42 47 46 46 49 43 46 52 49 52 49 46 47 44 40 48 44 40 41 46 47 43 42 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39:=
0 0.0 0 0 0 0.66 0.23 0 0 2.07 0 2.63 0 0.31 2.73 0.7 2.26 0 1.6 0 0 1.25 1.97 0.33 0.86 0 1.42 0 0.31 2.73 0 1.17 1.13 0.17 4.31 0.52 4.94 5.45 1.69 0.59 1.49 
1 0 0.0 0 2.41 0.52 0.37 0.99 0 1.04 0 1.33 0 1.23 0 0 0.6 0 0 0 4.23 0.78 0 0 1.98 1.79 3.11 1.69 0 0.27 0 0.53 0 0 5.32 1.85 0.45 3.93 2.82 0.3 0.72 
2 0 0 0.0 0 3.48 0 0 4.31 0.37 0.99 0 0.17 1.48 0 2.28 1.37 0.49 0.57 0 1.96 1.52 0 0.62 2.03 5.19 0 0 1.17 1.11 0.35 0 0.38 0 2.4 0.33 2.41 0.94 0 0.86 0 
3 0 2.41 0 0.0 0.82 0 1.37 0 2.66 1.91 5.45 1.54 3.58 1.02 0 4.71 1.42 6.08 5.83 3.94 0.27 0 0 0.6 1.76 0 3.17 3.42 1.14 2.15 0 0.92 2.07 5.08 3.01 0.62 1.52 1.8 1.13 0.82 
4 0.66 0.52 3.48 0.82 0.0 0.33 0.82 4.69 0 1.25 0 0.43 1.13 0 1.6 0.3 1.37 0.27 0.66 0.23 6.08 0.73 3.58 0 1.09 0.28 3.95 2.26 4.42 4.05 0 4.33 0 0 2.53 0 2.35 0 1.6 3.76 
5 0.23 0.37 0 0 0.33 0.0 3.17 2.46 2.03 0.47 1.77 0 0.85 0.58 1.17 0 0.99 0 0 0 4.05 1.54 2.54 2.22 2.34 0 1.56 0 2.28 0.98 2.28 0.65 0.99 2.53 0.35 0.65 4.23 0 0 0.4 
6 0 0.99 0 1.37 0.82 3.17 0.0 0.27 0.7 1.33 4.94 0 1.69 0.45 1.27 0 0 1.48 0.86 2.09 0.62 0 0.38 1.39 0.22 0.27 0.35 0.35 0.48 4.69 5.32 0 0 5.57 0.7 1.72 0 3.42 0 3.02 
7 0 0 4.31 0 4.69 2.46 0.27 0.0 1.32 2.83 5.08 3.11 0.57 1.52 0.35 6.33 0 2.53 0 0 5.07 1.92 3.17 0.76 0.23 0.43 0 1.79 1.6 1.68 6.84 0 2.54 5.65 0 4.23 5.83 5.45 0.65 0 
8 2.07 1.04 0.37 2.66 0 2.03 0.7 1.32 0.0 1.37 0 0 1.17 0.75 1.06 0 0 0.65 0.53 3.2 0 0 0.47 1.41 0 2.03 0.43 0 0 0 4.14 0 1.6 2.11 2.53 2.92 1.25 0.67 0 5.08 
9 0 0 0.99 1.91 1.25 0.47 1.33 2.83 1.37 0.0 0 0 0 0 2.53 0.38 0.31 1.6 0 2.65 0.98 0 1.6 0 0 0 4.05 0 0.58 0.99 0 3.67 1.17 0.9 0.15 0.52 1.45 1.36 0.43 1.17 
10 2.63 1.33 0 5.45 0 1.77 4.94 5.08 0 0 0.0 0.35 2.79 0 1.72 0.92 0 0.94 1.41 3.58 2.28 0.38 4.69 6.33 6.72 1.84 0 1.33 4.33 1.06 0.85 0.83 3.55 1.13 0 1.68 0 1.79 0.92 1.27 
11 0 0 0.17 1.54 0.43 0 0 3.11 0 0 0.35 0.0 0.23 0.67 1.17 0 0.62 0 2.45 2.46 2.79 0 0.99 1.85 0 0.58 0 0 1.6 0 2.66 1.09 0.23 3.93 1.23 3.67 0.58 0.35 0 2.92 
12 0.31 1.23 1.48 3.58 1.13 0.85 1.69 0.57 1.17 0 2.79 0.23 0.0 0 1.98 0.99 0.86 0.35 1.32 1.02 0.6 1.25 0 0.48 3.8 2.26 1.41 1.51 0 1.91 0 0.62 0.25 1.6 1.17 2.65 0 0 0.23 0 
13 2.73 0 0 1.02 0 0.58 0.45 1.52 0.75 0 0 0.67 0 0.0 2.28 3.01 3.02 0 0.55 0.86 3.76 0.99 1.88 0 0 0.51 4.52 3.11 3.45 0 0 5.08 0 0.72 0 2.66 4.44 1.66 0.68 0 
14 0.7 0 2.28 0 1.6 1.17 1.27 0.35 1.06 2.53 1.72 1.17 1.98 2.28 0.0 4.43 1.56 0.94 1.27 0 1.84 3.08 4.18 0.59 0.94 0 0 0 2.4 0 0.8 3.39 2.45 5.83 3.02 5.08 7.22 0 0 2.11 
15 2.26 0.6 1.37 4.71 0.3 0 0 6.33 0 0.38 0.92 0 0.99 3.01 4.43 0.0 0 0.18 0.98 0 5.83 0 0.68 2.77 2.77 0 4.89 0 0.85 0 3.04 0 2.82 0.68 1.85 6.72 0 0.12 0 2.16 
16 0 0 0.49 1.42 1.37 0.99 0 0 0 0.31 0 0.62 0.86 3.02 1.56 0 0.0 1.85 1.37 2.96 0 0.62 0 0 0 1.76 0 1.42 0 0 0.92 1.91 0.55 1.21 0.74 2.26 1.85 0.45 0.35 0 
17 1.6 0 0.57 6.08 0.27 0 1.48 2.53 0.65 1.6 0.94 0 0.35 0 0.94 0.18 1.85 0.0 1.32 0.28 0.77 0 2.28 0.58 4.31 2.35 0 0 1.8 0 0 1.84 0 0.38 0 6.72 2.27 0 1.29 0 
18 0 0 0 5.83 0.66 0 0.86 0 0.53 0 1.41 2.45 1.32 0.55 1.27 0.98 1.37 1.32 0.0 1.23 5.95 0 0 3.04 1.98 0 0 0 2.59 2.65 3.86 3.86 0 1.45 0.73 2.11 5.46 0 0 0 
19 0 4.23 1.96 3.94 0.23 0 2.09 0 3.2 2.65 3.58 2.46 1.02 0.86 0 0 2.96 0.28 1.23 0.0 2.42 2.19 0 0 4.94 0.98 2.19 3.58 0 2.23 0 0 0 1.29 0 0 0 0 1.49 0.77 
20 1.25 0.78 1.52 0.27 6.08 4.05 0.62 5.07 0 0.98 2.28 2.79 0.6 3.76 1.84 5.83 0 0.77 5.95 2.42 0.0 1.51 0.25 5.19 1.92 6.72 3.93 3.55 1.51 0.62 0.52 1.36 2.79 3.02 2.35 0 0.2 4.05 2.35 0 
21 1.97 0 0 0 0.73 1.54 0 1.92 0 0 0.38 0 1.25 0.99 3.08 0 0.62 0 0 2.19 1.51 0.0 0 0 0 0.92 2.65 1.25 0 0 0 0 0 2.16 0.55 2.66 1.06 0 1.11 1.66 
22 0.33 0 0.62 0 3.58 2.54 0.38 3.17 0.47 1.6 4.69 0.99 0 1.88 4.18 0.68 0 2.28 0 0 0.25 0 0.0 3.29 0.57 0 0 0.92 0 0.3 4.31 0.51 0.43 1.84 1.17 0.78 0.94 2.22 0 1.76 
23 0.86 1.98 2.03 0.6 0 2.22 1.39 0.76 1.41 0 6.33 1.85 0.48 0 0.59 2.77 0 0.58 3.04 0 5.19 0 3.29 0.0 0 1.29 0 2.03 0.47 5.32 6.46 2.26 1.48 0.92 1.99 5.83 1.88 1.49 0.6 0 
24 0 1.79 5.19 1.76 1.09 2.34 0.22 0.23 0 0 6.72 0 3.8 0 0.94 2.77 0 4.31 1.98 4.94 1.92 0 0.57 0 0.0 0.23 0.94 2.79 3.58 1.96 0 0.55 1.17 2.19 0 6.97 3.51 2.34 2.46 3.88 
25 1.42 3.11 0 0 0.28 0 0.27 0.43 2.03 0 1.84 0.58 2.26 0.51 0 0 1.76 2.35 0 0.98 6.72 0.92 0 1.29 0.23 0.0 0 0 0 4.8 0 1.68 0.53 1.88 3.33 3.7 2.5 2.73 0 0 
26 0 1.69 0 3.17 3.95 1.56 0.35 0 0.43 4.05 0 0 1.41 4.52 0 4.89 0 0 0 2.19 3.93 2.65 0 0 0.94 0 0.0 0.33 1.51 2.22 4.8 0.17 0 2.39 0 3.29 1.41 2.83 2.28 3.76 
27 0.31 0 1.17 3.42 2.26 0 0.35 1.79 0 0 1.33 0 1.51 3.11 0 0 1.42 0 0 3.58 3.55 1.25 0.92 2.03 2.79 0 0.33 0.0 2.16 1.72 1.37 2.07 0 1.6 2.09 2.16 4.94 2.45 0 4.05 
28 2.73 0.27 1.11 1.14 4.42 2.28 0.48 1.6 0 0.58 4.33 1.6 0 3.45 2.4 0.85 0 1.8 2.59 0 1.51 0 0 0.47 3.58 0 1.51 2.16 0.0 1.48 1.64 0.56 0 0.95 0 1.79 0 0 0.53 0.9 
29 0 0 0.35 2.15 4.05 0.98 4.69 1.68 0 0.99 1.06 0 1.91 0 0 0 0 0 2.65 2.23 0.62 0 0.3 5.32 1.96 4.8 2.22 1.72 1.48 0.0 0.82 0 0.33 0 0.59 1.9 0.35 0 0 0 
30 1.17 0.53 0 0 0 2.28 5.32 6.84 4.14 0 0.85 2.66 0 0 0.8 3.04 0.92 0 3.86 0 0.52 0 4.31 6.46 0 0 4.8 1.37 1.64 0.82 0.0 0 2.54 0 0.23 3.39 3.95 1.6 0.25 1.13 
31 1.13 0 0.38 0.92 4.33 0.65 0 0 0 3.67 0.83 1.09 0.62 5.08 3.39 0 1.91 1.84 3.86 0 1.36 0 0.51 2.26 0.55 1.68 0.17 2.07 0.56 0 0 0.0 0.9 3.63 0 2.35 1.02 0 2.09 0 
32 0.17 0 0 2.07 0 0.99 0 2.54 1.6 1.17 3.55 0.23 0.25 0 2.45 2.82 0.55 0 0 0 2.79 0 0.43 1.48 1.17 0.53 0 0 0 0.33 2.54 0.9 0.0 0 0.43 0 0.55 0.4 0 4.69 
33 4.31 5.32 2.4 5.08 0 2.53 5.57 5.65 2.11 0.9 1.13 3.93 1.6 0.72 5.83 0.68 1.21 0.38 1.45 1.29 3.02 2.16 1.84 0.92 2.19 1.88 2.39 1.6 0.95 0 0 3.63 0 0.0 0 0 7.73 2.28 0 0.8 
34 0.52 1.85 0.33 3.01 2.53 0.35 0.7 0 2.53 0.15 0 1.23 1.17 0 3.02 1.85 0.74 0 0.73 0 2.35 0.55 1.17 1.99 0 3.33 0 2.09 0 0.59 0.23 0 0.43 0 0.0 1.17 1.41 0 0.63 0.7 
35 4.94 0.45 2.41 0.62 0 0.65 1.72 4.23 2.92 0.52 1.68 3.67 2.65 2.66 5.08 6.72 2.26 6.72 2.11 0 0 2.66 0.78 5.83 6.97 3.7 3.29 2.16 1.79 1.9 3.39 2.35 0 0 1.17 0.0 0.56 3.08 0 6.08 
36 5.45 3.93 0.94 1.52 2.35 4.23 0 5.83 1.25 1.45 0 0.58 0 4.44 7.22 0 1.85 2.27 5.46 0 0.2 1.06 0.94 1.88 3.51 2.5 1.41 4.94 0 0.35 3.95 1.02 0.55 7.73 1.41 0.56 0.0 2.19 4.81 5.08 
37 1.69 2.82 0 1.8 0 0 3.42 5.45 0.67 1.36 1.79 0.35 0 1.66 0 0.12 0.45 0 0 0 4.05 0 2.22 1.49 2.34 2.73 2.83 2.45 0 0 1.6 0 0.4 2.28 0 3.08 2.19 0.0 1.11 1.06 
38 0.59 0.3 0.86 1.13 1.6 0 0 0.65 0 0.43 0.92 0 0.23 0.68 0 0 0.35 1.29 0 1.49 2.35 1.11 0 0.6 2.46 0 2.28 0 0.53 0 0.25 2.09 0 0 0.63 0 4.81 1.11 0.0 0 
39 1.49 0.72 0 0.82 3.76 0.4 3.02 0 5.08 1.17 1.27 2.92 0 0 2.11 2.16 0 0 0 0.77 0 1.66 1.76 0 3.88 0 3.76 4.05 0.9 0 1.13 0 4.69 0.8 0.7 6.08 5.08 1.06 0 0.0 

;
