set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18;
9 44 42 40 42 44 40 41 40 41 0 42 46 43 44 44 39 42 43 41 
10 41 39 44 40 40 42 41 41 40 42 0 41 40 48 40 43 41 42 42 
11 43 45 44 42 39 46 47 44 47 46 41 0 41 47 40 50 44 44 44 
12 43 41 42 39 40 44 42 43 41 43 40 41 0 49 39 45 41 41 44 
13 43 47 45 44 46 39 42 40 43 44 48 47 49 0 46 39 44 45 40 
14 43 45 43 44 39 45 43 43 42 44 40 40 39 46 0 46 42 42 44 
15 43 43 40 44 45 39 45 40 46 39 43 50 45 39 46 0 43 44 41 
16 45 46 42 40 43 43 43 46 43 42 41 44 41 44 42 43 0 39 44 
17 46 47 43 40 44 48 44 43 40 43 42 44 41 45 42 44 39 0 45 
18 44 41 39 43 43 39 39 43 42 41 42 44 44 40 44 41 44 45 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18:=
0 0.0 0 0 0 0.86 0.38 0 0 3.01 0.53 1.23 0.47 1.13 2.82 0.48 2.92 1.52 5.45 0 
1 0 0.0 0.25 2.41 0.43 0.4 0.47 0 2.53 0 0 0 0.63 0 0 0.5 0 0 0 
2 0 0.25 0.0 0 3.29 0 0 0.28 0.66 0.8 0 2.03 1.48 0 0.47 0.92 2.91 1.79 0 
3 0 2.41 0 0.0 0.35 0 0.98 0 0.89 0.4 1.52 1.54 0.35 0 0 1.97 0.62 1.52 3.67 
4 0.86 0.43 3.29 0.35 0.0 1.37 0.9 3.67 0.43 3.39 0.2 0.27 0.8 0.73 0.35 1.6 2.92 1.97 3.8 
5 0.38 0.4 0 0 1.37 0.0 1.13 0.31 2.35 0.51 2.45 0.72 2.16 0.13 0 0 3.93 0 0 
6 0 0.47 0 0.98 0.9 1.13 0.0 0 1.36 0.78 1.51 0 1.02 0 1.72 0 1.13 2.16 0.23 
7 0 0 0.28 0 3.67 0.31 0 0.0 2.15 0.62 1.11 3.39 0 0.25 0 1.13 0 1.85 0 
8 3.01 2.53 0.66 0.89 0.43 2.35 1.36 2.15 0.0 0.27 0.25 0 0.27 0.52 0.37 0 0 0.47 0.98 
9 0.53 0 0.8 0.4 3.39 0.51 0.78 0.62 0.27 0.0 0 1.68 0 0 2.22 0.35 1.98 3.42 0 
10 1.23 0 0 1.52 0.2 2.45 1.51 1.11 0.25 0 0.0 0.3 0.62 0 0 1.17 0.78 0.94 0.86 
11 0.47 0 2.03 1.54 0.27 0.72 0 3.39 0 1.68 0.3 0.0 0 1.99 0 0 4.43 0.6 4.69 
12 1.13 0.63 1.48 0.35 0.8 2.16 1.02 0 0.27 0 0.62 0 0.0 0 0.23 1.49 1.79 1.23 1.97 
13 2.82 0 0 0 0.73 0.13 0 0.25 0.52 0 0 1.99 0 0.0 2.83 0.56 4.56 0.7 0.59 
14 0.48 0 0.47 0 0.35 0 1.72 0 0.37 2.22 0 0 0.23 2.83 0.0 2.65 2.35 1.02 2.09 
15 2.92 0.5 0.92 1.97 1.6 0 0 1.13 0 0.35 1.17 0 1.49 0.56 2.65 0.0 1.17 1.41 0.63 
16 1.52 0 2.91 0.62 2.92 3.93 1.13 0 0 1.98 0.78 4.43 1.79 4.56 2.35 1.17 0.0 0.76 3.01 
17 5.45 0 1.79 1.52 1.97 0 2.16 1.85 0.47 3.42 0.94 0.6 1.23 0.7 1.02 1.41 0.76 0.0 4.81 
18 0 0 0 3.67 3.8 0 0.23 0 0.98 0 0.86 4.69 1.97 0.59 2.09 0.63 3.01 4.81 0.0 

;
