set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 43 47 43 43 41 46 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 40 41 41 42 40 40 
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 42 44 40 40 43 46 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 41 45 43 44 43 44 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 41 43 43 44 39 39 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 39 41 43 44 39 40 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 44 40 46 47 39 39 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 46 42 39 40 46 42 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 42 39 42 43 41 39 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 40 43 41 42 42 42 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 42 46 44 44 44 45 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 42 45 41 41 44 44 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 41 40 40 42 41 40 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 43 39 44 49 40 40 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 42 46 42 46 44 44 
16 40 43 40 42 41 41 39 44 46 42 40 42 42 41 43 42 0 42 43 44 44 41 
17 43 47 41 44 45 43 41 40 42 39 43 46 45 40 39 46 42 0 43 44 41 39 
18 49 43 41 40 43 43 43 46 39 42 41 44 41 40 44 42 43 43 0 39 44 46 
19 46 43 42 40 44 44 44 47 40 43 42 44 41 42 49 46 44 44 39 0 45 44 
20 40 41 40 43 43 39 39 39 46 41 42 44 44 41 40 44 44 41 44 45 0 40 
21 42 46 40 46 44 39 40 39 42 39 42 45 44 40 40 44 41 39 46 44 40 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0.0 0 0 0 0.86 0.9 0 0 4.05 1.25 1.88 0.47 1.79 1.79 1.17 3.67 0.39 3.93 0 0.72 0.59 3.29 
1 0 0.0 0 1.79 0.18 0.94 0.74 0 1.88 0.43 0.12 0 0.63 0 0 0 0 0 0 2.92 0.7 0 
2 0 0 0.0 0 2.07 0 0 0.49 0 0.86 0 1.13 1.11 0 0.38 0.9 0.68 0.33 0 0.4 1.77 0 
3 0 1.79 0 0.0 0 0 0.98 0 0.43 0.94 1.13 0.98 0.35 0 0 0.59 0.86 3.01 0.62 0.2 1.13 0 
4 0.86 0.18 2.07 0 0.0 0.58 0.9 2.73 0 2.22 0 0.12 1.22 0 2.71 0.15 1.05 1.6 2.92 0.53 3.8 1.37 
5 0.9 0.94 0 0 0.58 0.0 1.52 0.49 2.35 0.8 3.29 0 2.16 0 0.13 0 2.41 0 0.52 0.62 0.89 0.63 
6 0 0.74 0 0.98 0.9 1.52 0.0 0.17 1.36 1.88 2.03 0 2.45 0.28 2.66 0 0.23 1.23 1.79 2.16 0.1 0.55 
7 0 0 0.49 0 2.73 0.49 0.17 0.0 2.15 0.94 1.69 2.22 0 0 0 1.91 0 0.47 0 0 1.14 0.47 
8 4.05 1.88 0 0.43 0 2.35 1.36 2.15 0.0 0.63 0 0 0.27 0 1.21 0 0 0.42 0 0.47 0 0.35 
9 1.25 0.43 0.86 0.94 2.22 0.8 1.88 0.94 0.63 0.0 0.42 0.72 0 0 1.41 1.41 1.48 0.85 0.35 2.54 0.7 0.12 
10 1.88 0.12 0 1.13 0 3.29 2.03 1.69 0 0.42 0.0 0 0.62 0 0.57 0.22 0.18 0.5 0.78 2.26 1.36 1.48 
11 0.47 0 1.13 0.98 0.12 0 0 2.22 0 0.72 0 0.0 0.27 0.6 0.85 0 2.26 0 3.29 2.22 4.69 0 
12 1.79 0.63 1.11 0.35 1.22 2.16 2.45 0 0.27 0 0.62 0.27 0.0 0 2.59 0.23 0.82 1.49 1.17 0.33 0.53 1.25 
13 1.79 0 0 0 0 0 0.28 0 0 0 0 0.6 0 0.0 1.29 1.79 1.23 0 0.25 0.82 1.11 0.18 
14 1.17 0 0.38 0 2.71 0.13 2.66 0 1.21 1.41 0.57 0.85 2.59 1.29 0.0 4.33 1.66 0.1 3.39 0 0.59 0.94 
15 3.67 0 0.9 0.59 0.15 0 0 1.91 0 1.41 0.22 0 0.23 1.79 4.33 0.0 0 0.72 0.42 0 4.31 0 
16 0.39 0 0.68 0.86 1.05 2.41 0.23 0 0 1.48 0.18 2.26 0.82 1.23 1.66 0 0.0 2.45 1.79 3.11 0 2.53 
17 3.93 0 0.33 3.01 1.6 0 1.23 0.47 0.42 0.85 0.5 0 1.49 0 0.1 0.72 2.45 0.0 2.82 0.6 0.27 0 
18 0 0 0 0.62 2.92 0.52 1.79 0 0 0.35 0.78 3.29 1.17 0.25 3.39 0.42 1.79 2.82 0.0 0.23 4.05 0 
19 0.72 2.92 0.4 0.2 0.53 0.62 2.16 0 0.47 2.54 2.26 2.22 0.33 0.82 0 0 3.11 0.6 0.23 0.0 1.49 3.01 
20 0.59 0.7 1.77 1.13 3.8 0.89 0.1 1.14 0 0.7 1.36 4.69 0.53 1.11 0.59 4.31 0 0.27 4.05 1.49 0.0 1.04 
21 3.29 0 0 0 1.37 0.63 0.55 0.47 0.35 0.12 1.48 0 1.25 0.18 0.94 0 2.53 0 0 3.01 1.04 0.0 

;
