set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 42 44 40 40 43 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 41 45 43 44 43 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 41 43 43 44 39 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 39 41 43 44 39 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 44 40 46 47 39 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 46 42 39 40 46 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 42 39 42 43 41 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 40 43 41 42 42 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 42 46 44 44 44 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 42 45 41 41 44 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 41 40 40 42 41 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 43 39 44 49 40 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 42 46 42 46 44 
16 40 43 40 42 41 41 39 44 46 42 40 42 42 41 43 42 0 42 43 44 44 
17 43 47 41 44 45 43 41 40 42 39 43 46 45 40 39 46 42 0 43 44 41 
18 49 43 41 40 43 43 43 46 39 42 41 44 41 40 44 42 43 43 0 39 44 
19 46 43 42 40 44 44 44 47 40 43 42 44 41 42 49 46 44 44 39 0 45 
20 40 41 40 43 43 39 39 39 46 41 42 44 44 41 40 44 44 41 44 45 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
0 0.0 0 0 0 0.37 0 0 0 4.05 0.53 1.88 0 1.79 2.73 0.5 3.67 0 2.92 0 0 0 
1 0 0.0 0.47 2.41 0 0 0.2 0 2.53 0.43 0.27 0 1.51 0 0 0.66 0 0 0 2.92 0 
2 0 0.47 0.0 0 2.79 0.27 0 1.01 0.47 1.77 0 1.79 2.28 0 1.42 2.16 1.39 1.23 0.32 1.48 1.77 
3 0 2.41 0 0.0 0 0 0.98 0 0.89 1.48 1.52 0.42 0.85 0.28 0 1.41 1.36 3.01 1.27 0.74 1.13 
4 0.37 0 2.79 0 0.0 0 0 1.79 0 1.41 0.2 0 0.8 0 2.71 0 0.66 1.6 1.91 0 1.85 
5 0 0 0.27 0 0 0.0 0.74 0.13 2.35 0.51 3.29 0 2.16 0 0.13 0 1.17 0 0 0 0.43 
6 0 0.2 0 0.98 0 0.74 0.0 0 1.36 1.23 2.03 0 2.45 0 1.98 0 0 0.78 1.13 1.37 0 
7 0 0 1.01 0 1.79 0.13 0 0.0 2.15 0.62 1.69 1.41 0 0 0 1.91 0 0.47 0 0 0.55 
8 4.05 2.53 0.47 0.89 0 2.35 1.36 2.15 0.0 0.99 0.25 0 0.99 0.39 1.21 0 0 0.42 0.27 1.13 0 
9 0.53 0.43 1.77 1.48 1.41 0.51 1.23 0.62 0.99 0.0 0.98 0 0.52 0 1.41 2.22 1.48 0.85 0.35 2.54 0 
10 1.88 0.27 0 1.52 0.2 3.29 2.03 1.69 0.25 0.98 0.0 0.3 1.27 0 1.33 0.8 0.43 1.17 1.23 3.04 1.36 
11 0 0 1.79 0.42 0 0 0 1.41 0 0 0.3 0.0 0 0 0.85 0 1.48 0 2.16 1.41 2.28 
12 1.79 1.51 2.28 0.85 0.8 2.16 2.45 0 0.99 0.52 1.27 0 0.0 0 2.59 0.56 1.98 1.49 1.79 0.78 0 
13 2.73 0 0 0.28 0 0 0 0 0.39 0 0 0 0 0.0 1.98 3.67 1.88 0 0.59 1.29 0.3 
14 0.5 0 1.42 0 2.71 0.13 1.98 0 1.21 1.41 1.33 0.85 2.59 1.98 0.0 4.33 1.66 0.1 3.39 0 0.25 
15 3.67 0.66 2.16 1.41 0 0 0 1.91 0 2.22 0.8 0 0.56 3.67 4.33 0.0 0.9 0.72 0.98 0 2.09 
16 0 0 1.39 1.36 0.66 1.17 0 0 0 1.48 0.43 1.48 1.98 1.88 1.66 0.9 0.0 2.45 1.79 3.11 0 
17 2.92 0 1.23 3.01 1.6 0 0.78 0.47 0.42 0.85 1.17 0 1.49 0 0.1 0.72 2.45 0.0 2.82 0.6 0 
18 0 0 0.32 1.27 1.91 0 1.13 0 0.27 0.35 1.23 2.16 1.79 0.59 3.39 0.98 1.79 2.82 0.0 0.37 3.01 
19 0 2.92 1.48 0.74 0 0 1.37 0 1.13 2.54 3.04 1.41 0.78 1.29 0 0 3.11 0.6 0.37 0.0 0.63 
20 0 0 1.77 1.13 1.85 0.43 0 0.55 0 0 1.36 2.28 0 0.3 0.25 2.09 0 0 3.01 0.63 0.0 

;
