set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
8 2.26 2.45 0.45 2.41 0.32 1.36 0.31 1.79 0.0 0.82 0 0 1.6 0.47 1.21 0 0 0 0 3.14 0 0 
9 1.06 0 1.54 2.28 3.58 0.43 1.17 0.37 0.82 0.0 0.25 0.58 0.33 0 4.05 1.72 3.48 2.77 0 5.46 0 0.99 
10 1.05 0.53 0 3.55 0.47 1.98 1.32 0.99 0 0.25 0.0 0 2.15 0 0.4 1.72 0.43 0 0.7 4.42 0.78 1.96 
11 0.38 0 1.68 0.9 0.35 0 0 2.09 0 0.58 0 0.0 1.21 0.28 0.48 0 2.63 0 4.89 2.59 4.99 0 
12 0.68 4.42 5.57 4.23 5.57 3.8 2.82 0.42 1.6 0.33 2.15 1.21 0.0 0 1.22 1.13 1.69 1.54 3.17 2.34 0.53 3.58 
13 1.51 0 0 0 0 0.78 0 0.7 0.47 0 0 0.28 0 0.0 1.69 4.43 1.32 0 1.56 1.54 1.49 1.29 
14 0.27 0 0.9 0 4.42 1.64 3.58 0.62 1.21 4.05 0.4 0.48 1.22 1.69 0.0 2.28 0.47 0 1.42 0 0 3.29 
15 2.53 2.23 4.99 5.36 2.19 0.65 0 4.31 0 1.72 1.72 0 1.13 4.43 2.28 0.0 0.9 0.86 0.92 0 3.04 0.6 
16 0.35 0 3.51 3.02 4.42 5.83 0.67 0 0 3.48 0.43 2.63 1.69 1.32 0.47 0.9 0.0 0.86 1.02 2.53 0 3.04 
17 1.36 0 1.15 3.88 1.02 0 0.89 0.83 0 2.77 0 0 1.54 0 0 0.86 0.86 0.0 1.05 0 0 0 
18 0 0 0 4.25 4.25 0 0.92 0 0 0 0.7 4.89 3.17 1.56 1.42 0.92 1.02 1.05 0.0 1.37 0.74 0 
19 0.5 4.8 1.3 4.0 2.46 0 2.31 0 3.14 5.46 4.42 2.59 2.34 1.54 0 0 2.53 0 1.37 0.0 0 0.74 
20 0 0 4.68 0 4.44 3.82 0 3.51 0 0 0.78 4.99 0.53 1.49 0 3.04 0 0 0.74 0 0.0 0.63 
21 4.18 0 0 0 4.31 6.49 1.07 3.88 0 0.99 1.96 0 3.58 1.29 3.29 0.6 3.04 0 0 0.74 0.63 0.0 

;
