set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
8 3.04 2.45 0.45 1.79 0 0.86 0.31 1.17 0.0 0.35 0 0 1.6 0 1.91 0 0 0.77 0.83 4.8 0 0.95 
9 0 0 1.54 1.45 2.34 0.43 0.74 0.37 0.35 0.0 0 0 0 0 1.97 0.47 1.45 2.77 0 7.35 0 2.31 
10 1.6 0.53 0 2.63 0 1.29 1.32 0.63 0 0 0.0 0 2.15 0 0.94 1.72 1.02 0.65 1.64 5.95 1.84 3.08 
11 0.9 0 1.68 0.9 0.35 0 0 1.33 0 0 0 0.0 0 0 1.13 0 3.55 0 3.2 3.95 3.26 0.83 
12 0.68 2.9 4.14 2.77 4.14 1.85 2.82 0 1.6 0 2.15 0 0.0 0 1.22 1.13 1.69 1.54 3.17 2.34 0.53 3.58 
13 2.03 0 0 0 0 0 0 0 0 0 0 0 0 0.0 2.28 2.16 1.77 0 0.67 2.35 0.63 2.03 
14 0.27 0 3.33 0 2.9 0 4.81 0 1.91 1.97 0.94 1.13 1.22 2.28 0.0 2.28 0.47 0.59 2.91 0 0.94 3.29 
15 2.53 0.95 3.26 3.51 0.94 0 0 2.09 0 0.47 1.72 0 1.13 2.16 2.28 0.0 0.9 0.86 0.92 0 3.04 0.6 
16 0.35 0 7.22 1.92 2.9 2.83 1.56 0 0 1.45 1.02 3.55 1.69 1.77 0.47 0.9 0.0 1.77 2.45 2.53 0 3.04 
17 2.79 0 2.7 5.93 2.39 0 2.07 0.83 0.77 2.77 0.65 0 1.54 0 0.59 0.86 1.77 0.0 1.05 0.7 0 0.22 
18 0 0 0 6.49 6.49 0 2.15 0 0.83 0 1.64 3.2 3.17 0.67 2.91 0.92 2.45 1.05 0.0 3.29 0.74 0 
19 0.5 9.88 4.8 4.0 2.46 1.12 3.63 0 4.8 7.35 5.95 3.95 2.34 2.35 0 0 2.53 0.7 3.29 0.0 1.02 1.13 
20 1.21 1.32 7.15 1.22 6.78 3.82 0 3.51 0 0 1.84 3.26 0.53 0.63 0.94 3.04 0 0 0.74 1.02 0.0 1.51 
21 4.18 0 3.17 0 4.31 8.74 2.5 5.93 0.95 2.31 3.08 0.83 3.58 2.03 3.29 0.6 3.04 0.22 0 1.13 1.51 0.0 

;
