set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 41 43 44 39 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 44 42 47 43 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 46 39 40 42 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 39 42 43 41 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 43 41 42 42 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 46 44 44 44 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 45 41 41 44 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 40 40 42 41 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 39 44 45 44 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 46 42 42 48 
16 43 47 41 44 45 39 41 44 46 39 43 46 45 40 39 46 0 43 44 41 
17 45 46 41 40 43 47 43 42 39 42 41 44 41 40 44 42 43 0 39 44 
18 49 43 42 40 44 44 44 47 40 43 42 44 41 42 45 42 44 39 0 45 
19 40 41 40 43 43 39 39 43 42 41 42 44 44 41 44 48 41 44 45 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19:=
0 0.0 0 0 0 1.36 0.38 0 0 3.01 0.53 1.23 1.09 1.13 2.73 0.5 2.73 0.52 3.67 0 0 
1 0 0.0 0.2 1.79 0.43 0.4 0.47 0 1.88 1.02 0.12 0 0.99 0 0 0.28 0 0 0 1.69 
2 0 0.2 0.0 0 2.79 0 0 0.49 0 1.77 0 1.79 1.11 0 0.38 0.9 1.23 0.32 0 0.23 
3 0 1.79 0 0.0 0.35 0 0 0 0.89 1.48 1.13 1.54 0.85 0.28 0 1.41 0.53 1.27 1.52 1.79 
4 1.36 0.43 2.79 0.35 0.0 1.37 0.9 3.67 0.43 3.39 0.2 0.27 1.65 0.5 4.14 0.35 3.86 1.91 4.05 1.17 
5 0.38 0.4 0 0 1.37 0.0 0.74 0.13 2.35 1.22 2.45 0.72 3.29 0.63 0 0 0.55 0 0.62 0 
6 0 0.47 0 0 0.9 0.74 0.0 0 0.37 1.88 1.51 0 1.02 0.28 1.29 0 0 0.48 0.58 0.1 
7 0 0 0.49 0 3.67 0.13 0 0.0 2.15 1.27 1.11 3.39 0 0.35 0 2.92 0 1.48 0 0 
8 3.01 1.88 0 0.89 0.43 2.35 0.37 2.15 0.0 0.99 0 0 0.99 0.39 0.52 0 0 0.27 0.47 2.35 
9 0.53 1.02 1.77 1.48 3.39 1.22 1.88 1.27 0.99 0.0 0.98 1.68 0.52 0 0.92 2.22 0.35 2.66 1.06 2.28 
10 1.23 0.12 0 1.13 0.2 2.45 1.51 1.11 0 0.98 0.0 0.3 0.94 0 0 0.51 0 0.33 0.94 2.07 
11 1.09 0 1.79 1.54 0.27 0.72 0 3.39 0 1.68 0.3 0.0 0.63 1.41 1.99 0 6.08 0.58 4.56 3.48 
12 1.13 0.99 1.11 0.85 1.65 3.29 1.02 0 0.99 0.52 0.94 0.63 0.0 0 1.64 0.37 1.49 1.17 2.53 1.25 
13 2.73 0 0 0.28 0.5 0.63 0.28 0.35 0.39 0 0 1.41 0 0.0 1.29 3.67 0.92 0.25 1.29 1.69 
14 0.5 0 0.38 0 4.14 0 1.29 0 0.52 0.92 0 1.99 1.64 1.29 0.0 2.83 0.23 0 2.59 0 
15 2.73 0.28 0.9 1.41 0.35 0 0 2.92 0 2.22 0.51 0 0.37 3.67 2.83 0.0 0 0.98 1.6 0 
16 0.52 0 1.23 0.53 3.86 0.55 0 0 0 0.35 0 6.08 1.49 0.92 0.23 0 0.0 1.85 1.41 0.99 
17 3.67 0 0.32 1.27 1.91 0 0.48 1.48 0.27 2.66 0.33 0.58 1.17 0.25 0 0.98 1.85 0.0 0.76 1.25 
18 0 0 0 1.52 4.05 0.62 0.58 0 0.47 1.06 0.94 4.56 2.53 1.29 2.59 1.6 1.41 0.76 0.0 3.58 
19 0 1.69 0.23 1.79 1.17 0 0.1 0 2.35 2.28 2.07 3.48 1.25 1.69 0 0 0.99 1.25 3.58 0.0 

;
