set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20;
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 42 44 40 40 43 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 41 45 43 44 43 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 41 43 43 44 39 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 39 41 43 44 39 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 44 40 46 47 39 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 46 42 39 40 46 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 42 39 42 43 41 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 40 43 41 42 42 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 42 46 44 44 44 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 42 45 41 41 44 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 41 40 40 42 41 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 43 39 44 49 40 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 42 46 42 46 44 
16 40 43 40 42 41 41 39 44 46 42 40 42 42 41 43 42 0 42 43 44 44 
17 43 47 41 44 45 43 41 40 42 39 43 46 45 40 39 46 42 0 43 44 41 
18 49 43 41 40 43 43 43 46 39 42 41 44 41 40 44 42 43 43 0 39 44 
19 46 43 42 40 44 44 44 47 40 43 42 44 41 42 49 46 44 44 39 0 45 
20 40 41 40 43 43 39 39 39 46 41 42 44 44 41 40 44 44 41 44 45 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20:=
0 0.0 0 0 0 1.36 0.9 0 0 4.05 1.25 1.88 1.09 1.79 3.67 1.17 3.67 0.39 3.93 0 0.72 0.59 
1 0 0.0 0 2.41 0 0.94 0.47 0 2.53 0 0 0 0.99 0 0 0.28 0 0 0 2.92 0.3 
2 0 0 0.0 0 1.36 0 0 0.49 0 0.86 0 0.48 1.69 0 0.38 1.42 0.68 0.33 0 0.4 0.86 
3 0 2.41 0 0.0 0.35 0 0.98 0 0.89 0.4 1.52 1.54 0.55 0 0 0.92 1.36 4.05 1.27 0.74 1.13 
4 1.36 0 1.36 0.35 0.0 0 0.38 1.79 0.43 1.41 0 0 1.22 0 1.72 0.15 0.66 0.68 1.91 0 2.82 
5 0.9 0.94 0 0 0 0.0 1.13 0.13 2.35 0.51 3.29 0 3.29 0 0.31 0 2.41 0 0.52 0.62 0.66 
6 0 0.47 0 0.98 0.38 1.13 0.0 0 1.36 0.78 1.51 0 1.6 0 1.98 0 0.1 0.78 1.13 1.37 0 
7 0 0 0.49 0 1.79 0.13 0 0.0 1.05 0.62 0.7 1.41 0 0 0 2.92 0 0.2 0 0 0.55 
8 4.05 2.53 0 0.89 0.43 2.35 1.36 1.05 0.0 0.27 0.25 0 0.63 0 1.91 0 0 0.98 0.27 1.13 0 
9 1.25 0 0.86 0.4 1.41 0.51 0.78 0.62 0.27 0.0 0 0 0 0 0.92 1.41 0.94 0.55 0 1.66 0 
10 1.88 0 0 1.52 0 3.29 1.51 0.7 0.25 0 0.0 0 0.94 0 1.33 0.51 0 1.17 0.78 2.26 0.86 
11 1.09 0 0.48 1.54 0 0 0 1.41 0 0 0 0.0 0.27 0 0 0 1.48 0 2.16 1.41 3.48 
12 1.79 0.99 1.69 0.55 1.22 3.29 1.6 0 0.63 0 0.94 0.27 0.0 0 2.59 0.37 1.29 1.49 1.79 0.78 0 
13 3.67 0 0 0 0 0 0 0 0 0 0 0 0 0.0 1.29 2.73 1.23 0 0.25 0.82 0.3 
14 1.17 0 0.38 0 1.72 0.31 1.98 0 1.91 0.92 1.33 0 2.59 1.29 0.0 4.33 2.54 0.23 4.56 0 0.25 
15 3.67 0.28 1.42 0.92 0.15 0 0 2.92 0 1.41 0.51 0 0.37 2.73 4.33 0.0 0.38 0.72 0.98 0 3.2 
16 0.39 0 0.68 1.36 0.66 2.41 0.1 0 0 0.94 0 1.48 1.29 1.23 2.54 0.38 0.0 3.29 1.79 3.11 0 
17 3.93 0 0.33 4.05 0.68 0 0.78 0.2 0.98 0.55 1.17 0 1.49 0 0.23 0.72 3.29 0.0 3.8 1.41 0 
18 0 0 0 1.27 1.91 0.52 1.13 0 0.27 0 0.78 2.16 1.79 0.25 4.56 0.98 1.79 3.8 0.0 0.37 3.01 
19 0.72 2.92 0.4 0.74 0 0.62 1.37 0 1.13 1.66 2.26 1.41 0.78 0.82 0 0 3.11 1.41 0.37 0.0 0.63 
20 0.59 0.3 0.86 1.13 2.82 0.66 0 0.55 0 0 0.86 3.48 0 0.3 0.25 3.2 0 0 3.01 0.63 0.0 

;
