set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44;
15 8666 16 51 44 6 4 9 13960 13 17 11 9 18 7106 9772 0 13 4 14 5 10214 14 14 25 25 10 14519 12 18 15 8666 16 10832 8 10832 11769 13 2 8 33 9 5773 14 15915 7 
16 10 6 2889 10 51 5777 11 15 8 12 9 3611 32 10880 45 13 0 10832 39 10658 4 3611 6 16 16 50 10 8305 8 3 5416 35 20 45 4333 21 13 19 13 10 14 12 12 18776 14 
17 6138 11 25 10658 4 4 13 23 14 9388 11 9 5 5 8 4 10832 0 3909 5 11 16 41 11 9493 6980 13 10 26 18 11 26 9 9 16 11769 16 1 7583 12 6 5 3109 13 2 
18 5 11 11 12844 1954 7 8 8 11 12 20 9388 3909 8 2792 14 39 3909 0 22 13123 13 9 6701 23 3 10 7 47 48 11448 11448 9 21 25 19 65 6 10 14 32 4747 6 10 6143 
19 12 16248 22 28 4 8 19 11 58 9548 13721 58 12 12 8 5 10658 5 22 0 17 50 16 10 8660 14 31 13721 19 25 12 17 16 24 13 16 17 5 34 21 9 1 2 11 3775 
20 14 9 2665 2 10658 7106 11 8882 6 7 16 7944 9 27 16 10214 4 11 13123 17 0 14 4 9104 14 14798 6883 10110 14 4 8 10 7944 22 22 2 3 38 22 10 65 28 13 11546 14 
21 11554 9 6 5 32 9027 14 71 11 6 17 8 46 26 13960 14 3611 16 13 50 14 0 9 22 22 31 48 46 9 3 6 11 9 12638 3250 4663 7 14 6499 9749 17 13 13 22 19 
22 14 3 2792 3 10610 7539 7 6980 7 7259 13360 5777 8 27 9214 14 6 41 9 16 4 9 0 7259 11 11 5 5416 3 10 9493 7 16 21 34 6 7 40 7 20 70 14 28 21 15 
23 10 30 24 9 9 20 3071 1332 4188 19 18054 22 9 7 5 25 16 11 6701 10 9104 22 7259 0 2 12 5 5777 10 15165 18415 6701 17 22 74 10214 13 13 26 22 13 36 42 6 49 
24 9 21 14804 12 10 21 4 3 8 17 19137 13 8376 6 11 25 16 9493 23 8660 14 22 11 2 0 4 13 7944 10610 23 20 12 14 25 20 12213 25 21 14443 45 41 10 38 11 13 
25 33 11915 13 14 6 10 5 8 37 16 26 16 6701 7 2 10 50 6980 3 14 14798 31 11 12 4 0 10 10 14 14240 15 24 14 27 15077 34 22 8097 13 16 8935 12 10 8 11 
26 11 6499 8 5551 11727 22 7 3 8 12006 21 11 20 13402 8 14519 10 13 10 31 6883 48 5 5 13 10 0 9 4467 40 14240 3 10 44 13 31 10 51 41 88 18149 18 32 6143 14798 
27 12 4 6860 9749 8666 8 4 27 5 9 15 6 5777 11915 6 12 8305 10 7 13721 10110 46 5416 5777 7944 10 9 0 8305 10110 16 7944 4 19 12277 25 14082 9388 7 62 17 14 16 13 24 
28 10471 7 20 1998 13123 41 10 29 4 12 16609 38 10 63 44 18 8 26 47 19 14 9 3 10 10610 14 4467 8305 0 27 23 1675 8 26 12 17 4 14 11 24 22 18 19 13 14798 
29 12 8 13 3775 15526 36 10331 19 8 5777 39 7 11193 13 13 15 3 18 48 25 4 3 10 15165 23 14240 40 10110 27 0 30 8 14 16 22 3331 5 14 6 13 30 51 15 79 17 
30 14 13 8 8 14 6499 11727 19498 12285 4 13 7583 10 12 15 8666 5416 11 11448 12 8 6 9493 18415 20 15 14240 16 23 30 0 13 39 7 9 32 37 19 11 17 14 12 18 26 43 
31 21 7 8 7 12844 14 8 6 3 10889 23 20 13 15077 10051 16 35 26 11448 17 10 11 7 6701 12 24 3 7944 1675 8 13 0 17 85 13 22 7 15 38 23 19545 32 21 36 19 
32 7 3 4 32 10 23 6 39 6138 6860 10110 9 7 16 38 10832 20 9 9 16 7944 9 16 17 14 14 10 4 8 14 39 17 0 13 19 10 13 11 5 13360 74 14 18 13360 23 
33 12277 15165 14082 48 11 7222 12285 87 39 33 17 11193 19 19 12844 8 45 9 21 24 22 12638 21 22 25 27 44 19 26 16 7 85 13 0 11 12 13545 6499 10 9 14804 12999 9027 24 6 
34 22 10832 14 28 14804 15 23 21 46 6 7 7222 43 16 13681 10832 4333 16 25 13 22 3250 34 74 20 15077 13 12277 12 22 9 13 19 11 0 8 10 12 23 26 14 24 41 92 25 
35 14082 11 4219 4 12 10 15 40 28 8 12 10471 19 19 60 11769 21 11769 19 16 2 4663 6 10214 12213 34 31 25 17 3331 32 22 10 12 8 0 5 22 7 10658 71 61 19 12657 13 
36 15526 11193 7 2665 17 40 13 10214 9 10 11 14 11 32 15915 13 13 16 65 17 3 7 7 13 25 22 10 14082 4 5 37 7 13 13545 10 5 0 16 8438 48 19 21 16 52 14 
37 6499 10832 14 13 3 3 7539 12006 14 7944 27 9 3 24 8 2 19 1 6 5 38 14 40 13 21 8097 51 9388 14 14 19 15 11 6499 12 22 16 0 6499 12 14 6 4 15 8 
38 22 13 5055 8 9388 3 9 28 8 2528 5416 3 10 18 10 8 13 7583 10 34 22 6499 7 26 14443 13 41 7 11 6 11 38 5 10 23 7 8438 6499 0 11 10880 10 7550 17693 36 
39 17 17 14 12 14443 10 27 23 19498 6860 3611 45 12 22 19 33 10 12 14 21 10 9749 20 22 45 16 88 62 24 13 17 23 13360 9 26 10658 48 12 11 0 19 35 13721 29 42 
40 61 20220 14 18 22 9326 25 12879 34 11991 19 36 9 4219 10 9 14 6 32 9 65 17 70 13 41 8935 18149 17 22 30 14 19545 74 14804 14 71 19 14 10880 19 0 2665 4 26 7 
41 22 32 14 17 2887 28 9 13 17 39 30 18 22 4 9 5773 12 5 4747 1 28 13 14 36 10 12 18 14 18 51 12 32 14 12999 24 61 21 6 10 35 2665 0 3 13 9 
42 11193 20 43 55 4 5995 10331 13 29 9 22 17 21 6 37 14 12 3109 6 2 13 13 28 42 38 10 32 16 19 15 18 21 18 9027 41 19 16 4 7550 13721 4 3 0 12 2 
43 15 12277 18 10436 22 27 6 3 15 25 22 31 11448 35 26 15915 18776 13 10 11 11546 22 21 6 11 8 6143 13 13 79 26 36 13360 24 92 12657 52 15 17693 29 26 13 12 0 19 
44 10 13360 55 11769 4 6 9 13681 16 10110 15 40 6 23 36 7 14 2 6143 3775 14 19 15 49 13 11 14798 24 14798 17 43 19 23 6 25 13 14 8 36 42 7 9 2 19 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44:=
0 0 44 45 47 41 40 44 46 42 42 43 40 39 43 41 42 42 41 44 43 44 44 41 42 46 42 43 39 43 43 43 43 40 44 43 45 46 41 40 45 45 43 43 44 42 
1 44 0 40 41 43 42 41 46 40 42 44 44 41 49 46 44 45 47 43 46 41 46 43 42 43 44 41 39 41 45 44 41 39 45 43 43 43 43 41 46 48 46 46 44 44 
2 45 40 0 44 44 42 47 44 42 41 47 40 42 51 44 44 39 44 44 47 40 40 40 44 45 46 47 41 41 39 46 42 44 45 41 41 42 43 40 44 53 47 46 46 45 
3 47 41 44 0 47 48 44 48 42 43 46 42 45 49 50 47 42 46 46 49 39 46 44 44 46 51 42 43 39 41 48 40 42 47 44 40 40 46 43 47 51 49 49 46 47 
4 41 43 44 47 0 41 42 44 44 44 43 42 40 40 41 41 44 39 39 40 46 46 45 47 43 41 45 42 46 46 48 46 42 47 45 51 49 44 42 45 42 40 44 45 44 
5 40 42 42 48 41 0 42 45 44 40 40 40 39 44 43 40 41 44 42 43 44 42 43 44 45 44 45 41 44 42 41 45 41 41 42 45 46 44 43 42 45 44 43 46 41 
6 44 41 47 44 42 42 0 41 41 44 45 45 41 43 40 48 43 42 40 44 44 45 42 40 40 41 42 39 43 44 45 46 45 46 45 46 50 43 42 47 46 47 44 46 48 
7 46 46 44 48 44 45 41 0 40 46 47 44 44 45 42 47 49 45 47 51 45 47 42 39 40 42 44 41 42 46 47 45 43 49 47 46 46 46 45 53 48 46 47 40 47 
8 42 40 42 42 44 44 41 40 0 44 46 46 43 46 43 50 47 45 44 47 46 44 40 40 42 44 39 44 44 47 46 39 41 47 45 43 44 45 47 47 49 47 47 42 46 
9 42 42 41 43 44 40 44 46 44 0 40 40 42 50 45 42 39 42 44 46 42 40 42 46 50 46 46 46 44 41 39 45 41 42 39 43 44 42 39 41 47 46 45 48 43 
10 43 44 47 46 43 40 45 47 46 40 0 42 42 50 46 40 41 42 44 45 44 42 44 47 47 46 47 44 46 43 39 47 43 40 40 46 50 41 40 40 46 45 43 53 42 
11 40 44 40 42 42 40 45 44 46 40 42 0 40 45 43 46 40 42 42 45 42 41 41 43 48 44 47 40 42 41 42 43 39 43 41 43 44 42 39 43 47 45 44 46 43 
12 39 41 42 45 40 39 41 44 43 42 42 40 0 46 42 41 42 39 40 42 44 44 43 43 43 42 44 41 48 43 46 44 40 42 43 46 50 43 40 47 44 42 42 45 41 
13 43 49 51 49 40 44 43 45 46 50 50 45 46 0 41 44 47 42 40 40 49 48 46 48 46 40 46 44 48 52 51 47 45 46 48 50 51 43 45 47 41 39 42 45 42 
14 41 46 44 50 41 43 40 42 43 45 46 43 42 41 0 44 45 42 40 47 46 47 44 40 40 43 47 45 45 50 46 44 42 46 47 47 48 47 44 47 48 42 44 42 44 
15 42 44 44 47 41 40 48 47 50 42 40 46 41 44 44 0 43 40 42 46 46 44 45 46 46 48 47 47 47 45 42 47 43 40 43 47 52 39 45 42 44 42 41 48 39 
16 42 45 39 42 44 41 43 49 47 39 41 40 42 47 45 43 0 43 44 46 45 40 41 45 50 46 48 42 46 43 40 43 40 43 40 42 43 43 39 42 48 46 46 47 44 
17 41 47 44 46 39 44 42 45 45 42 42 42 39 42 42 40 43 0 40 41 46 45 44 44 44 42 50 42 46 45 47 46 46 42 44 47 48 42 42 47 46 41 40 50 39 
18 44 43 44 46 39 42 40 47 44 44 44 42 40 40 40 42 44 40 0 41 46 50 48 42 42 44 48 45 45 46 45 45 46 44 46 47 48 41 43 46 43 41 46 44 42 
19 43 46 47 49 40 43 44 51 47 46 45 45 42 40 47 46 46 41 41 0 49 48 47 49 45 42 48 45 49 48 46 52 45 44 47 54 55 42 45 46 40 39 43 51 41 
20 44 41 40 39 46 44 44 45 46 42 44 42 44 49 46 46 45 46 46 49 0 41 40 45 47 47 43 43 41 40 43 42 42 47 42 43 40 46 42 49 51 49 52 47 47 
21 44 46 40 46 46 42 45 47 44 40 42 41 44 48 47 44 40 45 50 48 41 0 42 46 47 48 46 44 47 43 40 44 46 44 39 42 43 44 41 43 50 52 47 53 45 
22 41 43 40 44 45 43 42 42 40 42 44 41 43 46 44 45 41 44 48 47 40 42 0 42 44 49 45 40 40 41 44 40 40 46 43 41 42 44 42 46 49 51 47 44 46 
23 42 42 44 44 47 44 40 39 40 46 47 43 43 48 40 46 45 44 42 49 45 46 42 0 43 42 40 41 43 45 47 42 42 48 47 46 46 45 44 52 47 45 46 40 46 
24 46 43 45 46 43 45 40 40 42 50 47 48 43 46 40 46 50 44 42 45 47 47 44 43 0 40 42 42 45 47 51 44 43 48 52 48 48 45 45 49 46 44 46 40 46 
25 42 44 46 51 41 44 41 42 44 46 46 44 42 40 43 48 46 42 44 42 47 48 49 42 40 0 48 42 46 47 51 46 44 46 47 49 49 43 45 52 44 42 43 42 44 
26 43 41 47 42 45 45 42 44 39 46 47 47 44 46 47 47 48 50 48 48 43 46 45 40 42 48 0 41 41 44 47 40 42 49 50 44 44 46 44 49 49 47 48 42 47 
27 39 39 41 43 42 41 39 41 44 46 44 40 41 44 45 47 42 42 45 45 43 44 40 41 42 42 41 0 42 43 44 42 39 45 44 44 45 42 45 46 50 44 45 43 44 
28 43 41 41 39 46 44 43 42 44 44 46 42 48 48 45 47 46 46 45 49 41 47 40 43 45 46 41 42 0 42 45 39 42 48 45 41 45 46 44 47 51 48 49 45 47 
29 43 45 39 41 46 42 44 46 47 41 43 41 43 52 50 45 43 45 46 48 40 43 41 45 47 47 44 43 42 0 42 47 41 45 40 40 42 44 45 44 50 48 47 48 46 
30 43 44 46 48 48 41 45 47 46 39 39 42 46 51 46 42 40 47 45 46 43 40 44 47 51 51 47 44 45 42 0 50 43 45 39 44 45 42 40 40 48 47 45 49 43 
31 43 41 42 40 46 45 46 45 39 45 47 43 44 47 44 47 43 46 45 52 42 44 40 42 44 46 40 42 39 47 50 0 42 48 46 42 42 46 44 48 50 48 49 44 47 
32 40 39 44 42 42 41 45 43 41 41 43 39 40 45 42 43 40 46 46 45 42 46 40 42 43 44 42 39 42 41 43 42 0 48 42 47 44 42 44 44 47 49 45 44 44 
33 44 45 45 47 47 41 46 49 47 42 40 43 42 46 46 40 43 42 44 44 47 44 46 48 48 46 49 45 48 45 45 48 48 0 43 51 49 41 42 40 45 44 42 54 41 
34 43 43 41 44 45 42 45 47 45 39 40 41 43 48 47 43 40 44 46 47 42 39 43 47 52 47 50 44 45 40 39 46 42 43 0 43 44 43 41 41 53 47 46 49 44 
35 45 43 41 40 51 45 46 46 43 43 46 43 46 50 47 47 42 47 47 54 43 42 41 46 48 49 44 44 41 40 44 42 47 51 43 0 39 47 47 46 52 50 50 48 52 
36 46 43 42 40 49 46 50 46 44 44 50 44 50 51 48 52 43 48 48 55 40 43 42 46 48 49 44 45 45 42 45 42 44 49 44 39 0 48 45 47 57 51 55 48 53 
37 41 43 43 46 44 44 43 46 45 42 41 42 43 43 47 39 43 42 41 42 46 44 44 45 45 43 46 42 46 44 42 46 42 41 43 47 48 0 41 43 43 42 41 47 39 
38 40 41 40 43 42 43 42 45 47 39 40 39 40 45 44 45 39 42 43 45 42 41 42 44 45 45 44 45 44 45 40 44 44 42 41 47 45 41 0 42 47 45 44 47 42 
39 45 46 44 47 45 42 47 53 47 41 40 43 47 47 47 42 42 47 46 46 49 43 46 52 49 52 49 46 47 44 40 48 44 40 41 46 47 43 42 0 51 47 45 51 43 
40 45 48 53 51 42 45 46 48 49 47 46 47 44 41 48 44 48 46 43 40 51 50 49 47 46 44 49 50 51 50 48 50 47 45 53 52 57 43 47 51 0 40 41 48 42 
41 43 46 47 49 40 44 47 46 47 46 45 45 42 39 42 42 46 41 41 39 49 52 51 45 44 42 47 44 48 48 47 48 49 44 47 50 51 42 45 47 40 0 44 46 41 
42 43 46 46 49 44 43 44 47 47 45 43 44 42 42 44 41 46 40 46 43 52 47 47 46 46 43 48 45 49 47 45 49 45 42 46 50 55 41 44 45 41 44 0 52 40 
43 44 44 46 46 45 46 46 40 42 48 53 46 45 45 42 48 47 50 44 51 47 53 44 40 40 42 42 43 45 48 49 44 44 54 49 48 48 47 47 51 48 46 52 0 48 
44 42 44 45 47 44 41 48 47 46 43 42 43 41 42 44 39 44 39 42 41 47 45 46 46 46 44 47 44 47 46 43 47 44 41 44 52 53 39 42 43 42 41 40 48 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44:=
0 0.0 0 0 0 1.05 0.55 0 0 2.79 0.9 2.63 0.47 0.49 3.67 0.7 3.04 0.86 2.15 0 0.52 1.25 4.05 1.23 0.86 0 2.16 0.47 0.75 3.67 0.48 1.17 1.79 0.62 4.31 1.91 4.94 5.45 2.28 1.41 1.49 3.95 1.85 3.93 1.33 0.42 
1 0 0.0 0.47 2.41 1.21 0.86 0.99 0 1.39 0.94 1.33 0 1.88 0 0 1.41 0 0 0.45 5.7 0.78 0 0 1.98 1.79 4.18 2.28 0.31 0.63 0 0.53 0.28 0.23 5.32 3.8 0.45 3.93 3.8 1.11 0.72 7.1 2.71 1.72 4.31 4.69 
2 0 0.47 0.0 0 4.69 0.35 0 4.31 0.37 2.03 0 0.62 3.04 0 1.45 3.29 1.01 2.09 0 0.83 0.74 0.55 0.94 2.03 5.19 0 0 2.41 1.11 0.85 0 0.38 0 4.94 1.23 1.17 0 1.21 1.77 0.58 0 0 1.88 0.77 3.58 
3 0 2.41 0 0.0 0 0 0.58 0 1.29 0.52 2.65 1.54 1.49 0 0 1.96 0.38 2.96 4.33 1.07 0 0 0 0 0 0 1.54 3.42 0.55 1.05 0 0.25 2.07 2.11 1.25 0.17 0.74 0 0 0 0 0 2.42 2.9 3.26 
4 1.05 1.21 4.69 0 0.0 0.33 0.35 3.48 0 3.01 0.52 1.02 1.13 0 1.05 0.3 3.29 0.27 0.66 0 2.96 2.71 3.58 0 0.47 0.28 3.95 3.04 4.42 5.45 0 4.33 0.43 0 5.19 0 0 0 3.29 5.07 0.98 0.8 0 1.56 0 
5 0.55 0.86 0.35 0 0.33 0.0 2.35 1.56 2.03 1.13 1.77 0.18 0.85 0 0.5 0 2.03 0 0 0 1.97 3.17 2.54 1.41 1.49 0 1.56 0.33 2.28 2.35 2.28 0.65 1.51 2.53 1.29 0 1.76 0 0 0.4 2.59 1.25 1.66 1.88 0.3 
6 0 0.99 0 0.58 0.35 2.35 0.0 0 0.7 2.09 3.67 0 1.11 0 0.94 0 0.52 0.94 0.55 1.33 0 0.68 0 1.04 0 0 0.35 0.35 0.48 3.48 3.95 0 0 4.14 1.64 0.73 0 2.54 0.43 1.92 1.72 0 3.48 0 0 
7 0 0 4.31 0 3.48 1.56 0 0.0 1.32 5.83 5.08 3.11 0 0 0 4.71 0 1.6 0 0 2.46 4.61 2.35 0.37 0 0 0 1.79 1.6 1.68 6.84 0 2.54 5.65 0.89 1.76 2.83 4.05 2.4 0 3.57 0 0 0 4.61 
8 2.79 1.39 0.37 1.29 0 2.03 0.7 1.32 0.0 1.37 0.75 0 1.17 0.75 1.06 0 0 0.65 0.53 3.2 0 0 0.47 1.41 0 2.03 0.43 0 0 0 4.14 0 2.15 3.33 2.53 1.21 0 0.67 0 6.84 2.39 0.82 2.03 1.02 0.78 
9 0.9 0.94 2.03 0.52 3.01 1.13 2.09 5.83 1.37 0.0 0.47 0.47 0.35 0 3.86 1.42 0.75 3.29 0.58 2.65 0 0.51 2.45 1.68 0 0.75 4.05 0 0.58 2.03 0.31 3.67 2.41 2.16 0.55 0 0 2.79 0.89 2.41 3.33 1.72 0 2.19 3.55 
10 2.63 1.33 0 2.65 0.52 1.77 3.67 5.08 0.75 0.47 0.0 0.35 2.79 0 0.73 0.92 0.78 0.94 1.41 4.81 0.62 1.42 4.69 6.33 6.72 1.84 0.87 1.33 5.83 2.54 0.85 1.96 3.55 1.13 0.59 0 0 1.79 1.9 1.27 0.8 2.53 1.91 0 1.29 
11 0.47 0 0.62 1.54 1.02 0.18 0 3.11 0 0.47 0.35 0.0 0.55 1.56 1.17 0 1.27 0.38 3.29 3.76 2.79 0.33 2.03 1.85 0 1.37 0 0.51 2.45 0.28 2.66 1.72 0.56 3.93 2.53 3.67 0.58 0.82 0.23 2.92 3.08 1.56 1.45 2.65 2.63 
12 0.49 1.88 3.04 1.49 1.13 0.85 1.11 0 1.17 0.35 2.79 0.55 0.0 0 1.29 0.99 2.07 0.35 1.32 0.43 0 3.01 0 0 2.82 2.26 1.41 2.03 0 3.93 0 0.62 0.59 1.6 2.82 0.72 0 0 0.86 0 0 0.98 0.94 3.86 0.28 
13 3.67 0 0 0 0 0 0 0 0.75 0 0 1.56 0 0.0 1.69 1.97 3.02 0 0.55 0.55 1.02 0.99 1.88 0 0 0.51 4.52 4.18 3.45 0 0 5.08 0.65 1.68 0 0 1.2 1.06 0.68 0.9 1.17 0.15 0 1.52 1.02 
14 0.7 0 1.45 0 1.05 0.5 0.94 0 1.06 3.86 0.73 1.17 1.29 1.69 0.0 3.29 2.46 0.4 0.94 0 0.78 4.71 3.11 0.25 0.62 0 0 0 2.4 0 0 3.39 2.45 4.33 4.61 3.33 5.36 0 0 0.9 0 0.42 2.03 1.42 1.97 
15 3.04 1.41 3.29 1.96 0.3 0 0 4.71 0 1.42 0.92 0 0.99 1.97 3.29 0.0 1.13 0.18 0.98 0 2.83 0.6 0.68 1.76 1.76 0 4.89 0 0.85 0.63 3.04 0 3.8 0.68 3.8 3.26 0 0.12 0 2.16 0 1.6 0.63 5.36 0.37 
16 0.86 0 1.01 0.38 3.29 2.03 0.52 0 0 0.75 0.78 1.27 2.07 3.02 2.46 1.13 0.0 3.8 2.16 2.96 0 1.27 0.3 0.65 0 2.77 0 2.91 0 0 1.9 1.91 1.32 2.92 1.52 0.94 0.5 1.66 0.85 0.43 0 0 0 6.59 0.57 
17 2.15 0 2.09 2.96 0.27 0 0.94 1.6 0.65 3.29 0.94 0.38 0.35 0 0.4 0.18 3.8 0.0 1.32 0 0 0.65 2.28 0 3.2 2.35 0 0.42 1.8 1.52 0 1.84 0 0.38 1.37 3.26 0 0 2.66 0 0 0 0.86 0 0 
18 0 0.45 0 4.33 0.66 0 0.55 0 0.53 0.58 1.41 3.29 1.32 0.55 0.94 0.98 2.16 1.32 0.0 1.23 4.42 0 0 2.26 1.29 0 0 0 2.59 2.65 3.86 3.86 0 1.45 1.72 0.9 3.57 0 0.47 0 1.79 1.6 0 0 2.07 
19 0.52 5.7 0.83 1.07 0 0 1.33 0 3.2 2.65 4.81 3.76 0.43 0.55 0 0 2.96 0 1.23 0.0 0 2.19 0 0 2.4 0.98 2.19 4.81 0 0.95 0 0 0.68 2.03 0 0 0 0 1.49 1.8 0.39 0 0 0 1.05 
20 1.25 0.78 0.74 0 2.96 1.97 0 2.46 0 0 0.62 2.79 0 1.02 0.78 2.83 0 0 4.42 0 0.0 0.63 0 2.53 0 4.99 1.91 3.55 0.63 0.17 0 0.37 2.79 0.82 0.98 0 0 1.68 0.98 0 2.85 1.04 0 3.2 0 
21 4.05 0 0.55 0 2.71 3.17 0.68 4.61 0 0.51 1.42 0.33 3.01 0.99 4.71 0.6 1.27 0.65 0 2.19 0.63 0.0 0.42 1.88 0.9 2.15 2.65 3.01 0 0 0.25 0 0 4.43 1.14 1.29 0 0.6 2.28 3.42 0 0 0 0 1.6 
22 1.23 0 0.94 0 3.58 2.54 0 2.35 0.47 2.45 4.69 2.03 0 1.88 3.11 0.68 0.3 2.28 0 0 0 0.42 0.0 2.45 0 0 0 1.9 0 0.7 3.2 0.51 1.04 1.84 1.85 0 0 2.22 0 1.76 3.88 0 1.99 1.45 0.72 
23 0.86 1.98 2.03 0 0 1.41 1.04 0.37 1.41 1.68 6.33 1.85 0 0 0.25 1.76 0.65 0 2.26 0 2.53 1.88 2.45 0.0 0 0.82 0 2.03 0.47 5.32 6.46 2.26 1.48 0.92 4.8 2.83 0 0.63 2.22 0 0 1.56 1.84 0.22 2.71 
24 0 1.79 5.19 0 0.47 1.49 0 0 0 0 6.72 0 2.82 0 0.62 1.76 0 3.2 1.29 2.4 0 0.9 0 0 0.0 0 0.94 2.79 3.58 1.96 0 0.55 1.17 2.19 0 3.39 0.95 1.49 5.07 3.88 1.8 0 1.68 0.47 0 
25 2.16 4.18 0 0 0.28 0 0 0 2.03 0.75 1.84 1.37 2.26 0.51 0 0 2.77 2.35 0 0.98 4.99 2.15 0 0.82 0 0.0 0 0.42 0 4.8 0 1.68 1.25 1.88 5.08 2.35 1.07 2.73 0.63 0 3.01 0.82 0 0 0.53 
26 0.47 2.28 0 1.54 3.95 1.56 0.35 0 0.43 4.05 0.87 0 1.41 4.52 0 4.89 0 0 0 2.19 1.91 2.65 0 0 0.94 0 0.0 0.78 1.51 2.22 4.8 0.17 0.4 3.76 0 1.37 0 2.83 2.28 5.74 6.12 0.89 2.27 2.07 4.99 
27 0.75 0.31 2.41 3.42 3.04 0.33 0.35 1.79 0 0 1.33 0.51 2.03 4.18 0 0 2.91 0.42 0 4.81 3.55 3.01 1.9 2.03 2.79 0.42 0.78 0.0 2.91 3.55 1.37 2.79 0.31 1.6 4.31 2.16 4.94 3.29 0 4.05 0 0.6 0.65 1.13 2.03 
