set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
1 44 0 40 41 40 42 40 45 41 42 39 45 41 45 47 41 43 47 43 43 41 46 
2 45 40 0 44 42 41 43 39 40 40 43 43 41 43 42 42 40 41 41 42 40 40 
3 47 41 44 0 42 47 42 46 39 42 40 42 39 41 48 40 42 44 40 40 43 46 
4 42 40 42 42 0 44 42 43 42 44 40 39 40 43 46 39 41 45 43 44 43 44 
5 42 42 41 47 44 0 40 39 42 40 42 46 44 41 39 45 41 43 43 44 39 39 
6 44 40 43 42 42 40 0 40 42 41 41 47 42 41 42 47 39 41 43 44 39 40 
7 46 45 39 46 43 39 40 0 41 40 41 44 43 39 40 43 44 40 46 47 39 39 
8 44 41 40 39 42 42 42 41 0 41 40 47 41 40 43 46 46 42 39 40 46 42 
9 44 42 40 42 44 40 41 40 41 0 42 46 43 43 40 44 42 39 42 43 41 39 
10 41 39 43 40 40 42 41 41 40 42 0 41 40 45 44 40 40 43 41 42 42 42 
11 43 45 43 42 39 46 47 44 47 46 41 0 41 44 47 43 42 46 44 44 44 45 
12 43 41 41 39 40 44 42 43 41 43 40 41 0 46 45 39 42 45 41 41 44 44 
13 43 45 43 41 43 41 41 39 40 43 45 44 46 0 42 43 41 40 40 42 41 40 
14 43 47 42 48 46 39 42 40 43 40 44 47 45 42 0 46 43 39 44 49 40 40 
15 43 41 42 40 39 45 47 43 46 44 40 43 39 43 46 0 42 46 42 46 44 44 
16 40 43 40 42 41 41 39 44 46 42 40 42 42 41 43 42 0 42 43 44 44 41 
17 43 47 41 44 45 43 41 40 42 39 43 46 45 40 39 46 42 0 43 44 41 39 
18 49 43 41 40 43 43 43 46 39 42 41 44 41 40 44 42 43 43 0 39 44 46 
19 46 43 42 40 44 44 44 47 40 43 42 44 41 42 49 46 44 44 39 0 45 44 
20 40 41 40 43 43 39 39 39 46 41 42 44 44 41 40 44 44 41 44 45 0 40 
21 42 46 40 46 44 39 40 39 42 39 42 45 44 40 40 44 41 39 46 44 40 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0.0 0 0 0 0.37 0 0 0 1.97 0.53 1.23 0 1.79 2.73 1.17 3.67 0 3.93 0 0 0 1.6 
1 0 0.0 0.2 1.79 0.18 0.4 0.47 0 1.88 0.43 0.12 0 0.99 0 0 0.28 0 0 0 2.92 0.3 0 
2 0 0.2 0.0 0 2.07 0 0 0.75 0.2 1.32 0 1.13 2.28 0 1.42 2.16 1.04 1.23 0 0.4 1.32 0.22 
3 0 1.79 0 0.0 0.35 0 0 0 0.89 0.94 1.13 1.54 0.85 0 0 1.41 0.37 4.05 0.62 0.2 1.13 0 
4 0.37 0.18 2.07 0.35 0.0 0.58 0 2.73 0.43 2.22 0 0.12 1.65 0 4.14 0.35 0.66 2.53 1.91 0 2.82 1.37 
5 0 0.4 0 0 0.58 0.0 0.74 0.13 2.35 0.8 2.45 0 4.43 0.27 0.31 0.65 1.17 0 0 0 0.43 0.31 
6 0 0.47 0 0 0 0.74 0.0 0 0.37 1.23 1.51 0 2.45 0 2.66 0 0 1.23 0.48 0.58 0 0 
7 0 0 0.75 0 2.73 0.13 0 0.0 2.15 0.94 1.11 2.22 0.45 0.15 0.25 3.93 0 0.74 0 0 0.55 0.2 
8 1.97 1.88 0.2 0.89 0.43 2.35 0.37 2.15 0.0 0.63 0 0 0.99 0.17 1.91 0 0 0.98 0 0.47 0 0.35 
9 0.53 0.43 1.32 0.94 2.22 0.8 1.23 0.94 0.63 0.0 0.42 0.72 0.52 0 1.9 2.22 1.48 1.14 0 1.66 0.3 0.12 
10 1.23 0.12 0 1.13 0 2.45 1.51 1.11 0 0.42 0.0 0 0.94 0 1.33 0.51 0.18 1.17 0.78 2.26 0.86 0.94 
11 0 0 1.13 1.54 0.12 0 0 2.22 0 0.72 0 0.0 0.63 0.6 1.99 0 1.48 0.8 2.16 1.41 3.48 0 
12 1.79 0.99 2.28 0.85 1.65 4.43 2.45 0.45 0.99 0.52 0.94 0.63 0.0 0 3.95 0.56 1.98 2.34 1.17 0.33 0.53 3.01 
13 2.73 0 0 0 0 0.27 0 0.15 0.17 0 0 0.6 0 0.0 2.66 3.67 1.88 0.25 0.25 0.82 0.7 0.43 
14 1.17 0 1.42 0 4.14 0.31 2.66 0.25 1.91 1.9 1.33 1.99 3.95 2.66 0.0 5.83 2.54 0.23 4.56 0 0.59 1.27 
15 3.67 0.28 2.16 1.41 0.35 0.65 0 3.93 0 2.22 0.51 0 0.56 3.67 5.83 0.0 0.9 1.68 0.42 0 4.31 0.62 
16 0 0 1.04 0.37 0.66 1.17 0 0 0 1.48 0.18 1.48 1.98 1.88 2.54 0.9 0.0 3.29 1.13 2.03 0 1.23 
17 3.93 0 1.23 4.05 2.53 0 1.23 0.74 0.98 1.14 1.17 0.8 2.34 0.25 0.23 1.68 3.29 0.0 3.8 1.41 0.27 0.1 
18 0 0 0 0.62 1.91 0 0.48 0 0 0 0.78 2.16 1.17 0.25 4.56 0.42 1.13 3.8 0.0 0.23 1.97 0 
19 0 2.92 0.4 0.2 0 0 0.58 0 0.47 1.66 2.26 1.41 0.33 0.82 0 0 2.03 1.41 0.23 0.0 0 1.25 
20 0 0.3 1.32 1.13 2.82 0.43 0 0.55 0 0.3 0.86 3.48 0.53 0.7 0.59 4.31 0 0.27 1.97 0 0.0 0.43 
21 1.6 0 0.22 0 1.37 0.31 0 0.2 0.35 0.12 0.94 0 3.01 0.43 1.27 0.62 1.23 0.1 0 1.25 0.43 0.0 

;
