set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
11 42 49 46 42 42 45 46 44 44 44 41 0 43 41 43 49 43 45 47 45 47 47 
12 40 46 46 46 46 43 43 42 42 41 41 43 0 46 40 40 41 42 42 45 44 45 
13 41 51 51 45 45 46 44 45 43 49 46 41 46 0 41 44 40 43 45 42 45 44 
14 39 52 47 50 46 45 45 44 43 44 42 43 40 41 0 41 39 40 42 46 42 42 
15 41 48 47 48 48 45 49 44 48 43 43 49 40 44 41 0 42 42 40 49 42 44 
16 39 52 48 47 46 46 45 49 48 44 42 43 41 40 39 42 0 40 42 41 46 42 
17 42 54 50 49 49 52 47 47 46 46 45 45 42 43 40 42 40 0 41 41 40 40 
18 47 51 50 50 50 47 48 50 47 46 45 47 42 45 42 40 42 41 0 44 40 46 
19 43 52 52 49 49 50 48 53 47 48 46 45 45 42 46 49 41 41 44 0 42 40 
20 43 52 51 51 51 49 49 48 51 47 46 47 44 45 42 42 46 40 40 42 0 41 
21 44 56 52 55 50 50 49 49 48 48 47 47 45 44 42 44 42 40 46 40 41 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0.0 0 0 0 2.46 1.41 0 0 3.04 1.06 1.6 0.9 0.68 2.03 0.27 2.53 0.35 2.79 0 0.5 1.21 4.18 
1 0 0.0 0.13 2.16 0.42 0.33 0.7 0 2.45 0.5 0.53 0 2.9 0 0 0.95 0 0 0 7.34 1.32 0 
2 0 0.13 0.0 0 3.01 0 0 1.79 0.45 2.35 0 1.68 4.14 0 3.33 3.26 7.22 2.7 0 3.05 7.15 1.35 
3 0 2.16 0 0.0 0.03 0 0.66 0 2.41 0.62 3.55 1.42 4.23 0.67 0 5.36 3.02 7.98 8.74 4.0 2.85 0 
4 2.46 0.42 3.01 0.03 0.0 0 0.7 2.09 0.32 1.49 0.47 0.82 5.57 0.63 4.42 2.19 4.42 3.76 8.74 2.46 9.12 4.31 
5 1.41 0.33 0 0 0 0.0 1.05 0.08 0.86 0.43 1.29 0 1.85 0 1.64 0 5.83 0 0 0 3.82 4.25 
6 0 0.7 0 0.66 0.7 1.05 0.0 0 0.31 0.74 1.32 0 1.85 0 4.81 0 1.56 3.26 3.39 2.31 1.02 1.07 
7 0 0 1.79 0 2.09 0.08 0 0.0 1.17 0.37 0.63 1.33 0 0 0.62 2.09 0 0.83 0 0 3.51 2.46 
8 3.04 2.45 0.45 2.41 0.32 0.86 0.31 1.17 0.0 0.35 0 0 1.02 0 1.91 0 0 1.8 1.96 3.14 0 0 
9 1.06 0.5 2.35 0.62 1.49 0.43 0.74 0.37 0.35 0.0 0 0 0 0 4.05 0.47 3.48 2.77 0 3.57 0 0 
10 1.6 0.53 0 3.55 0.47 1.29 1.32 0.63 0 0 0.0 0 1.6 0 0.94 1.09 1.02 1.52 2.59 4.42 2.9 1.96 
11 0.9 0 1.68 1.42 0.82 0 0 1.33 0 0 0 0.0 0 0 1.13 0 3.55 0 3.2 2.59 3.26 0 
12 0.68 2.9 4.14 4.23 5.57 1.85 1.85 0 1.02 0 1.6 0 0.0 0 1.22 0.47 1.69 1.54 3.17 1.49 0.53 2.34 
13 2.03 0 0 0.67 0.63 0 0 0 0 0 0 0 0 0.0 2.28 2.16 1.77 0 0.67 1.54 0.63 1.29 
14 0.27 0 3.33 0 4.42 1.64 4.81 0.62 1.91 4.05 0.94 1.13 1.22 2.28 0.0 2.28 0.47 0.59 2.91 0 0.94 3.29 
15 2.53 0.95 3.26 5.36 2.19 0 0 2.09 0 0.47 1.09 0 0.47 2.16 2.28 0.0 0.9 0.86 0.92 0 3.04 0 
16 0.35 0 7.22 3.02 4.42 5.83 1.56 0 0 3.48 1.02 3.55 1.69 1.77 0.47 0.9 0.0 1.77 2.45 2.53 0 3.04 
17 2.79 0 2.7 7.98 3.76 0 3.26 0.83 1.8 2.77 1.52 0 1.54 0 0.59 0.86 1.77 0.0 2.15 0.3 0.18 0 
18 0 0 0 8.74 8.74 0 3.39 0 1.96 0 2.59 3.2 3.17 0.67 2.91 0.92 2.45 2.15 0.0 2.16 1.52 0 
19 0.5 7.34 3.05 4.0 2.46 0 2.31 0 3.14 3.57 4.42 2.59 1.49 1.54 0 0 2.53 0.3 2.16 0.0 0.43 0.74 
20 1.21 1.32 7.15 2.85 9.12 3.82 1.02 3.51 0 0 2.9 3.26 0.53 0.63 0.94 3.04 0 0.18 1.52 0.43 0.0 0.99 
21 4.18 0 1.35 0 4.31 4.25 1.07 2.46 0 0 1.96 0 2.34 1.29 3.29 0 3.04 0 0 0.74 0.99 0.0 

;
