set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
4 49 52 53 55 0 38 49 44 41 44 45 47 48 45 57 58 56 60 52 56 58 48 64 
5 49 52 53 58 38 0 49 44 41 44 45 47 49 46 57 58 56 64 52 56 58 49 64 
6 48 40 45 43 49 49 0 46 47 44 42 45 43 42 46 50 45 49 48 51 50 54 55 
7 46 52 48 54 44 44 46 0 41 41 42 42 42 42 51 53 55 54 49 53 52 46 57 
8 46 49 51 52 41 41 47 41 0 41 42 48 45 43 54 59 57 57 49 53 59 47 60 
9 44 46 47 49 44 44 44 41 41 0 39 41 43 43 51 52 50 54 48 52 53 49 59 
10 44 45 50 47 45 45 42 42 42 39 0 40 43 42 50 51 49 53 48 52 52 50 58 
11 42 48 44 46 47 47 45 42 48 41 40 0 40 40 48 53 47 51 46 49 50 50 55 
12 39 45 44 46 48 49 43 42 45 43 43 40 0 46 46 49 47 49 43 47 47 49 53 
13 43 48 49 47 45 46 42 42 43 43 42 40 46 0 49 51 49 52 47 51 52 50 57 
14 47 49 43 46 57 57 46 51 54 51 50 48 46 49 0 42 41 41 47 52 44 57 47 
15 49 45 43 42 58 58 50 53 59 52 51 53 49 51 42 0 40 43 51 56 48 60 51 
16 47 47 41 40 56 56 45 55 57 50 49 47 47 49 41 40 0 43 49 51 51 58 51 
17 49 52 46 45 60 64 49 54 57 54 53 51 49 52 41 43 43 0 49 49 44 60 46 
18 46 49 48 49 52 52 48 49 49 48 48 46 43 47 47 51 49 49 0 42 44 52 54 
19 46 53 50 51 56 56 51 53 53 52 52 49 47 51 52 56 51 49 42 0 43 51 47 
20 47 51 48 48 58 58 50 52 59 53 52 50 47 52 44 48 51 44 44 43 0 55 43 
21 49 60 56 61 48 49 54 46 47 49 50 50 49 50 57 60 58 60 52 51 55 0 60 
22 52 59 52 56 64 64 55 57 60 59 58 55 53 57 47 51 51 46 54 47 43 60 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0.0 0 0 0 3.82 2.5 0 0 5.7 1.45 3.11 0.86 0.43 3.8 1.92 8.24 2.11 7.98 0 0.72 1.96 7.6 4.93 
1 0 0.0 0 1.11 0 0 0.22 0 4.0 0.77 0.65 0 3.86 0 0 0 0 0 0 5.05 1.19 0 0 
2 0 0 0.0 0 5.24 0 0 5.55 0 4.89 0 1.41 4.69 0 0.47 1.09 1.11 0.73 0 1.17 3.51 0 4.93 
3 0 1.11 0 0.0 0 0 0 0 4.87 2.35 4.99 1.72 4.23 0 0 0.82 0.2 2.53 3.88 1.27 0 0 0 
4 3.82 0 5.24 0 0.0 0 0 3.29 0 1.97 0 0.83 7.48 0 6.53 0 4.03 4.77 9.88 3.91 10.54 3.51 13.46 
5 2.5 0 0 0 0 0.0 3.94 1.45 0.78 1.97 3.67 0 7.6 0.72 1.77 0 6.34 0 1.35 1.72 10.73 7.73 13.64 
6 0 0.22 0 0 0 3.94 0.0 0 0.87 2.03 2.45 0 2.73 0 2.9 0 0 1.05 0.94 1.25 0 3.48 0 
7 0 0 5.55 0 3.29 1.45 0 0.0 1.6 1.88 1.36 1.48 0.42 0.38 0 8.19 0 3.52 0 0 7.25 2.83 10.16 
8 5.7 4.0 0 4.87 0 0.78 0.87 1.6 0.0 0.74 0 0 2.59 0.48 3.48 0 0 1.77 2.39 7.81 0 0.83 4.89 
9 1.45 0.77 4.89 2.35 1.97 1.97 2.03 1.88 0.74 0.0 0.12 0.32 0.52 0 6.96 3.17 4.31 8.56 0.95 7.53 1.44 1.09 10.92 
10 3.11 0.65 0 4.99 0 3.67 2.45 1.36 0 0.12 0.0 0 3.42 0 1.14 2.89 1.05 1.4 2.15 7.25 3.17 2.7 10.35 
11 0.86 0 1.41 1.72 0.83 0 0 1.48 0 0.32 0 0.0 0.59 0.17 0.92 0 4.99 0 4.14 4.0 6.3 0 9.13 
12 0.43 3.86 4.69 4.23 7.48 7.6 2.73 0.42 2.59 0.52 3.42 0.59 0.0 0 4.52 5.83 4.8 3.94 3.67 3.08 0.9 6.02 1.4 
13 3.8 0 0 0 0 0.72 0 0.38 0.48 0 0 0.17 0 0.0 6.02 6.68 5.65 0 2.03 4.56 3.01 2.74 4.18 
14 1.92 0 0.47 0 6.53 1.77 2.9 0 3.48 6.96 1.14 0.92 4.52 6.02 0.0 1.42 0.74 0.27 6.59 0 0.57 13.68 4.99 
15 8.24 0 1.09 0.82 0 0 0 8.19 0 3.17 2.89 0 5.83 6.68 1.42 0.0 0 0 1.22 0 3.51 0 0 
16 2.11 0 1.11 0.2 4.03 6.34 0 0 0 4.31 1.05 4.99 4.8 5.65 0.74 0 0.0 1.85 2.5 4.5 0 7.08 0 
17 7.98 0 0.73 2.53 4.77 0 1.05 3.52 1.77 8.56 1.4 0 3.94 0 0.27 0 1.85 0.0 7.86 2.42 0 2.02 2.65 
18 0 0 0 3.88 9.88 1.35 0.94 0 2.39 0.95 2.15 4.14 3.67 2.03 6.59 1.22 2.5 7.86 0.0 2.07 3.48 0 0 
19 0.72 5.05 1.17 1.27 3.91 1.72 1.25 0 7.81 7.53 7.25 4.0 3.08 4.56 0 0 4.5 2.42 2.07 0.0 0.48 6.68 0 
20 1.96 1.19 3.51 0 10.54 10.73 0 7.25 0 1.44 3.17 6.3 0.9 3.01 0.57 3.51 0 0 3.48 0.48 0.0 9.03 0 
21 7.6 0 0 0 3.51 7.73 3.48 2.83 0.83 1.09 2.7 0 6.02 2.74 13.68 0 7.08 2.02 0 6.68 9.03 0.0 4.81 
22 4.93 0 4.93 0 13.46 13.64 0 10.16 4.89 10.92 10.35 9.13 1.4 4.18 4.99 0 0 2.65 0 0 0 4.81 0.0 

;
