set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;
21 22427 13 17 15 44 11448 14 44 11 12 17 11 50 24 12999 13 22026 10 2 9 10 0 4 9 9 19 55 61 18 21 19 15 10 
22 46 13 18415 25 23174 16248 17 15526 29 14443 12999 14804 19 25 12277 14 24 33 5 5 3 4 0 5777 6 7 12 12638 17 38 20942 33 56 
23 33 74 48 35 28 44 21303 21303 19859 25 18415 41 26 18 21 31 21 14 10471 10 5416 9 5777 0 3 22 16 14082 21 21665 25275 21665 40 
24 25 32 22748 37 34 43 23 23 22 19 18054 19 21665 16 58 26 16 10110 39 9388 9 9 6 3 0 8 22 10832 13721 23 23 24 24 
25 134 9027 18 23 37 18 17 18 59 19 27 17 15526 19 7 6 55 2889 7 14 10110 19 7 22 8 0 4 6 10 11915 15 23 18 
26 22 9027 17 13767 24291 35 22 18 69 17693 18 15 32 10471 6 6138 11 5 12 22 14443 55 12 16 22 4 0 4 4694 29 9214 10 18 
27 85 15 19498 15543 26525 23 25 82 20 20 24 23 19137 13360 9 9 8305 8 13 12638 15165 61 12638 14082 10832 6 4 0 2889 7583 14 10051 23 
28 21317 17 84 15987 27362 90 28 90 22 28 21303 78 21 61 42 14 7 19 64 17 72 18 17 21 13721 10 4694 2889 0 20 21 10610 23 
29 21 13 78 14433 26246 88 22026 28 22 22387 87 22 19498 15 10 13 11 15 74 36 44 21 38 21665 23 11915 29 7583 20 0 31 9 42 
30 16 10 9 11 19 12006 12285 12564 12844 16 52 10331 9 10 10 10110 15915 13 13681 15 26 19 20942 25275 23 15 9214 14 21 31 0 4 47 
31 27 4 7 19 17032 10 9 9 10 9493 12 13 8 5416 4694 7 64 18 10051 10 38 15 33 21665 24 23 10 10051 10610 9 4 0 16 
32 30 9 4 29 14 7 1 6 1117 1396 1396 6 4 6 40 9749 108 11 7 8 15165 10 56 40 24 18 18 23 23 42 47 16 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32:=
0 0 54 51 48 46 49 53 53 50 50 51 49 48 50 51 52 58 53 58 54 57 56 56 59 62 55 54 55 55 53 48 49 50 
1 54 0 42 45 49 42 42 46 42 42 42 45 41 43 43 39 52 45 42 42 45 48 48 47 46 42 42 44 44 48 42 40 42 
2 51 42 0 45 45 40 44 40 41 41 45 40 38 45 43 43 52 44 45 45 48 46 47 50 49 46 50 47 48 47 47 42 44 
3 48 45 45 0 43 47 43 47 44 44 45 43 42 44 50 46 54 47 48 48 51 54 54 53 53 53 49 50 51 49 49 44 44 
4 46 49 45 43 0 45 45 45 46 46 46 46 45 48 50 50 59 51 51 51 53 52 53 59 55 53 53 55 55 55 54 49 46 
5 49 42 40 47 45 0 38 38 39 39 40 39 39 41 44 43 52 48 44 44 46 45 46 49 48 46 47 48 49 49 46 43 39 
6 53 42 44 43 45 38 0 38 38 39 39 43 40 41 44 47 52 44 43 43 46 45 46 48 48 46 47 48 49 49 46 47 42 
7 53 46 40 47 45 38 38 0 38 38 39 39 40 41 44 44 56 44 47 47 46 45 46 48 48 46 50 48 49 49 46 47 39 
8 50 42 41 44 46 39 38 38 0 38 38 43 40 41 44 47 56 44 43 43 49 44 45 48 47 45 46 51 53 53 46 44 38 
9 50 42 41 44 46 39 39 38 38 0 38 40 40 45 44 43 52 44 43 43 45 44 45 48 51 45 47 52 49 49 46 44 39 
10 51 42 45 45 46 40 39 39 38 38 0 40 41 45 43 43 51 44 42 42 45 43 44 47 47 45 46 47 48 49 46 44 39 
11 49 45 40 43 46 39 43 39 43 40 40 0 39 40 42 46 51 43 43 43 46 44 45 48 51 45 49 47 47 47 44 42 39 
12 48 41 38 42 45 39 40 40 40 40 41 39 0 44 43 43 51 44 44 44 47 46 46 49 49 46 46 47 52 47 48 42 40 
13 50 43 45 44 48 41 41 41 41 45 45 40 44 0 40 40 49 41 42 42 45 44 44 50 50 42 43 44 45 49 47 40 41 
14 51 43 43 50 50 44 44 44 44 44 43 42 43 40 0 38 46 40 42 46 45 44 44 46 45 45 45 46 43 47 42 40 43 
15 52 39 43 46 50 43 47 44 47 43 43 46 43 40 38 0 46 39 42 45 44 44 43 46 44 44 41 46 43 44 43 41 43 
16 58 52 52 54 59 52 52 56 56 52 51 51 51 49 46 46 0 46 48 48 52 49 47 47 49 45 47 42 45 47 48 48 51 
17 53 45 44 47 51 48 44 44 44 44 44 43 44 41 40 39 46 0 41 41 43 42 42 44 43 39 44 42 43 44 48 42 47 
18 58 42 45 48 51 44 43 47 43 43 42 43 44 42 42 42 48 41 0 38 41 43 44 43 43 45 47 48 46 47 47 44 46 
19 54 42 45 48 51 44 43 47 43 43 42 43 44 42 46 45 48 41 38 0 41 40 40 47 42 41 43 44 46 47 47 48 43 
20 57 45 48 51 53 46 46 46 49 45 45 46 47 45 45 44 52 43 41 41 0 39 39 40 41 43 45 45 47 49 49 47 45 
21 56 48 46 54 52 45 45 45 44 44 43 44 46 44 44 44 49 42 43 40 39 0 39 42 42 42 45 45 51 52 49 46 48 
22 56 48 47 54 53 46 46 46 45 45 44 45 46 44 44 43 47 42 44 40 39 39 0 41 40 45 48 44 46 47 48 46 45 
23 59 47 50 53 59 49 48 48 48 48 47 48 49 50 46 46 47 44 43 47 40 42 41 0 43 43 45 45 46 49 50 49 48 
24 62 46 49 53 55 48 48 48 47 51 47 51 49 50 45 44 49 43 43 42 41 42 40 43 0 42 43 43 45 47 53 47 47 
25 55 42 46 53 53 46 46 46 45 45 45 45 46 42 45 44 45 39 45 41 43 42 45 43 42 0 44 41 42 44 49 44 45 
26 54 42 50 49 53 47 47 50 46 47 46 49 46 43 45 41 47 44 47 43 45 45 48 45 43 44 0 39 40 41 44 43 46 
27 55 44 47 50 55 48 48 48 51 52 47 47 47 44 46 46 42 42 48 44 45 45 44 45 43 41 39 0 39 42 45 44 47 
28 55 44 48 51 55 49 49 49 53 49 48 47 52 45 43 43 45 43 46 46 47 51 46 46 45 42 40 39 0 40 45 45 48 
29 53 48 47 49 55 49 49 49 53 49 49 47 47 49 47 44 47 44 47 47 49 52 47 49 47 44 41 42 40 0 43 47 48 
30 48 42 47 49 54 46 46 46 46 46 46 44 48 47 42 43 48 48 47 47 49 49 48 50 53 49 44 45 45 43 0 44 45 
31 49 40 42 44 49 43 47 47 44 44 44 42 42 40 40 41 48 42 44 48 47 46 46 49 47 44 43 44 45 47 44 0 43 
32 50 42 44 44 46 39 42 39 38 39 39 39 40 41 43 43 51 47 46 43 45 48 45 48 47 45 46 47 48 48 45 43 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32:=
0 0.0 0 0 0 1.88 0 0 0 4.25 0 2.82 0 0.94 8.74 2.89 9.76 0 10.77 0 0 0 6.22 1.72 0 0 8.75 0 3.75 5.91 0 0 1.02 1.12 
1 0 0.0 0.82 4.81 2.39 0.98 1.54 0 3.17 1.02 0.98 0 1.79 0 0 0.35 0 0 0.43 3.29 1.64 0 0 4.8 2.77 3.17 3.17 1.29 1.45 0 0.4 0.17 0.82 
2 0 0.82 0.0 0 3.76 0 0 1.41 0.3 1.79 0 0.43 0.28 0 1.72 2.73 9.76 2.28 0 1.52 6.97 0.8 6.46 4.13 7.98 0.75 0 6.84 5.46 5.08 0 0.35 0 
3 0 4.81 0 0.0 0 0 0 0 2.09 0.58 2.34 0.48 0.86 0.62 0 4.42 1.54 6.84 3.51 0.97 2.89 0 0 1.44 3.21 0 3.82 4.31 4.44 4.0 0 1.33 1.29 
4 1.88 2.39 3.76 0 0.0 0.65 0.67 3.76 0 2.65 0 0.75 3.86 0.95 6.49 2.7 7.21 4.62 6.68 1.2 8.0 3.05 7.81 0 1.64 3.25 8.19 8.94 9.22 8.85 0 5.74 0 
5 0 0.98 0 0 0.65 0.0 0.19 0.08 0.37 0.43 0.94 0 0.85 0.78 1.25 0.52 10.14 0 0 0 6.08 3.86 5.7 3.76 3.63 0.73 3.02 0.95 5.83 5.74 4.05 0.5 0.37 
6 0 1.54 0 0 0.67 0.19 0.0 0 0.16 0.31 0.75 0 0.68 0.32 4.05 0 3.13 2.22 1.17 1.21 0.77 0.65 0.72 7.48 0.95 0.72 1.92 2.19 2.39 7.73 4.14 0 0 
7 0 0 1.41 0 3.76 0.08 0 0.0 0.38 0.38 0.49 0.49 0 0.78 0.55 4.05 0 2.22 0 0 5.83 2.4 5.45 7.48 0.95 0.73 0 5.36 5.83 2.42 4.23 0 0.31 
8 4.25 3.17 0.3 2.09 0 0.37 0.16 0.38 0.0 0.04 0 0 0.59 0.74 1.97 0 0 1.33 0.45 1.72 0 0 2.46 6.97 0.9 3.86 4.52 0 0 0 4.33 0 0.38 
9 0 1.02 1.79 0.58 2.65 0.43 0.31 0.38 0.04 0.0 0.07 0.17 0 0 4.18 1.91 7.43 4.43 0.45 2.63 1.64 0.58 5.07 2.19 0 1.64 6.21 0 2.39 7.86 0.78 3.2 0.47 
10 2.82 0.98 0 2.34 0 0.94 0.75 0.49 0 0.07 0.0 0 1.6 0 1.21 1.79 2.97 1.25 0.9 2.26 2.34 1.21 4.56 6.46 6.33 2.34 0.77 2.07 7.48 5.65 2.9 0.55 0.47 
11 0 0 0.43 0.48 0.75 0 0 0.49 0 0.17 0 0.0 0.12 0.47 0.98 0 9.25 0.5 2.63 1.79 5.57 0 5.19 3.51 0 1.49 0 1.96 5.08 0.9 3.48 0.94 0.31 
12 0.94 1.79 0.28 0.86 3.86 0.85 0.68 0 0.59 0 1.6 0.12 0.0 0 2.54 2.63 7.15 2.09 3.29 1.41 0.85 2.77 0.8 1.07 7.6 5.45 2.77 6.72 0 6.84 0 0.37 0.2 
13 8.74 0 0 0.62 0.95 0.78 0.32 0.78 0.74 0 0 0.47 0 0.0 1.52 1.52 7.6 0.3 1.36 2.16 2.4 2.03 2.09 0 0 1.6 3.67 4.69 3.95 0 0 1.9 0.27 
14 2.89 0 1.72 0 6.49 1.25 4.05 0.55 1.97 4.18 1.21 0.98 2.54 1.52 0.0 0.51 4.52 0.43 3.29 0 1.6 4.56 4.31 1.84 3.76 0 0 0 2.73 0 0.4 1.65 2.63 
15 9.76 0.35 2.73 4.42 2.7 0.52 0 4.05 0 1.91 1.79 0 2.63 1.52 0.51 0.0 1.88 0.31 1.29 0 4.56 0.53 1.17 2.65 2.22 0 2.15 0 1.17 0.53 3.55 0.28 3.42 
16 0 0 9.76 1.54 7.21 10.14 3.13 0 0 7.43 2.97 9.25 7.15 7.6 4.52 1.88 0.0 5.57 5.46 7.22 0 7.73 2.07 0.87 0 3.58 0 2.91 0 0 5.36 3.51 7.06 
17 10.77 0 2.28 6.84 4.62 0 2.22 2.22 1.33 4.43 1.25 0.5 2.09 0.3 0.43 0.31 5.57 0.0 2.28 0.66 0.5 0.43 2.16 0.58 3.55 1.01 0 0.35 1.66 1.29 0 1.54 0 
18 0 0.43 0 3.51 6.68 0 1.17 0 0.45 0.45 0.9 2.63 3.29 1.36 3.29 1.29 5.46 2.28 0.0 0.04 2.15 0 0 3.67 2.54 0 0 0 4.14 4.8 4.61 3.39 0 
19 0 3.29 1.52 0.97 1.2 0 1.21 0 1.72 2.63 2.26 1.79 1.41 2.16 0 0 7.22 0.66 0.04 0.0 0.63 0.39 0.2 0 3.29 1.17 1.91 4.43 0.72 3.08 0 0 0 
20 0 1.64 6.97 2.89 8.0 6.08 0.77 5.83 0 1.64 2.34 5.57 0.85 2.4 1.6 4.56 0 0.5 2.15 0.63 0.0 0.66 0.12 1.9 0.74 3.55 5.07 5.32 4.71 3.76 1.09 3.26 5.32 
21 6.22 0 0.8 0 3.05 3.86 0.65 2.4 0 0.58 1.21 0 2.77 2.03 4.56 0.53 7.73 0.43 0 0.39 0.66 0.0 0.31 0.82 0.38 1.6 3.58 3.95 0 0 0 0 0 
22 1.72 0 6.46 0 7.81 5.7 0.72 5.45 2.46 5.07 4.56 5.19 0.8 2.09 4.31 1.17 2.07 2.16 0 0.2 0.12 0.31 0.0 2.03 0.25 0 0 4.43 0.72 3.26 7.35 2.83 3.67 
23 0 4.8 4.13 1.44 0 3.76 7.48 7.48 6.97 2.19 6.46 3.51 1.07 0 1.84 2.65 0.87 0.58 3.67 0 1.9 0.82 2.03 0.0 0 1.85 0.68 4.94 1.84 7.6 8.87 7.6 3.39 
24 0 2.77 7.98 3.21 1.64 3.63 0.95 0.95 0.9 0 6.33 0 7.6 0 3.76 2.22 0 3.55 2.54 3.29 0.74 0.38 0.25 0 0.0 0.35 1.91 3.8 4.81 1.99 0 2.07 2.07 
25 8.75 3.17 0.75 0 3.25 0.73 0.72 0.73 3.86 1.64 2.34 1.49 5.45 1.6 0 0 3.58 1.01 0 1.17 3.55 1.6 0 1.85 0.35 0.0 0 0.27 0.4 4.18 0 1.97 1.52 
26 0 3.17 0 3.82 8.19 3.02 1.92 0 4.52 6.21 0.77 0 2.77 3.67 0 2.15 0 0 0 1.91 5.07 3.58 0 0.68 1.91 0 0.0 0.31 1.65 1.88 3.11 0.47 0.75 
27 3.75 1.29 6.84 4.31 8.94 0.95 2.19 5.36 0 0 2.07 1.96 6.72 4.69 0 0 2.91 0.35 0 4.43 5.32 3.95 4.43 4.94 3.8 0.27 0.31 0.0 1.01 2.66 0.67 3.39 2.03 
28 5.91 1.45 5.46 4.44 9.22 5.83 2.39 5.83 0 2.39 7.48 5.08 0 3.95 2.73 1.17 0 1.66 4.14 0.72 4.71 0 0.72 1.84 4.81 0.4 1.65 1.01 0.0 1.32 1.49 3.58 0.95 
29 0 0 5.08 4.0 8.85 5.74 7.73 2.42 0 7.86 5.65 0.9 6.84 0 0 0.53 0 1.29 4.8 3.08 3.76 0 3.26 7.6 1.99 4.18 1.88 2.66 1.32 0.0 1.72 0 3.57 
30 0 0.4 0 0 0 4.05 4.14 4.23 4.33 0.78 2.9 3.48 0 0 0.4 3.55 5.36 0 4.61 0 1.09 0 7.35 8.87 0 0 3.11 0.67 1.49 1.72 0.0 0 2.59 
31 1.02 0.17 0.35 1.33 5.74 0.5 0 0 0 3.2 0.55 0.94 0.37 1.9 1.65 0.28 3.51 1.54 3.39 0 3.26 0 2.83 7.6 2.07 1.97 0.47 3.39 3.58 0 0 0.0 1.13 
32 1.12 0.82 0 1.29 0 0.37 0 0.31 0.38 0.47 0.47 0.31 0.2 0.27 2.63 3.42 7.06 0 0 0 5.32 0 3.67 3.39 2.07 1.52 0.75 2.03 0.95 3.57 2.59 1.13 0.0 

;
