set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22;
4 49 52 53 55 0 38 49 44 41 44 45 47 48 45 57 58 56 60 52 56 58 48 64 
5 49 52 53 58 38 0 49 44 41 44 45 47 49 46 57 58 56 64 52 56 58 49 64 
6 48 40 45 43 49 49 0 46 47 44 42 45 43 42 46 50 45 49 48 51 50 54 55 
7 46 52 48 54 44 44 46 0 41 41 42 42 42 42 51 53 55 54 49 53 52 46 57 
8 46 49 51 52 41 41 47 41 0 41 42 48 45 43 54 59 57 57 49 53 59 47 60 
9 44 46 47 49 44 44 44 41 41 0 39 41 43 43 51 52 50 54 48 52 53 49 59 
10 44 45 50 47 45 45 42 42 42 39 0 40 43 42 50 51 49 53 48 52 52 50 58 
11 42 48 44 46 47 47 45 42 48 41 40 0 40 40 48 53 47 51 46 49 50 50 55 
12 39 45 44 46 48 49 43 42 45 43 43 40 0 46 46 49 47 49 43 47 47 49 53 
13 43 48 49 47 45 46 42 42 43 43 42 40 46 0 49 51 49 52 47 51 52 50 57 
14 47 49 43 46 57 57 46 51 54 51 50 48 46 49 0 42 41 41 47 52 44 57 47 
15 49 45 43 42 58 58 50 53 59 52 51 53 49 51 42 0 40 43 51 56 48 60 51 
16 47 47 41 40 56 56 45 55 57 50 49 47 47 49 41 40 0 43 49 51 51 58 51 
17 49 52 46 45 60 64 49 54 57 54 53 51 49 52 41 43 43 0 49 49 44 60 46 
18 46 49 48 49 52 52 48 49 49 48 48 46 43 47 47 51 49 49 0 42 44 52 54 
19 46 53 50 51 56 56 51 53 53 52 52 49 47 51 52 56 51 49 42 0 43 51 47 
20 47 51 48 48 58 58 50 52 59 53 52 50 47 52 44 48 51 44 44 43 0 55 43 
21 49 60 56 61 48 49 54 46 47 49 50 50 49 50 57 60 58 60 52 51 55 0 60 
22 52 59 52 56 64 64 55 57 60 59 58 55 53 57 47 51 51 46 54 47 43 60 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22:=
0 0.0 0 0 0 3.82 2.5 0 0 5.7 1.45 3.11 0.86 0.43 3.8 1.92 8.24 2.11 7.98 0 0.72 1.96 7.6 4.93 
1 0 0.0 0.25 1.69 3.05 3.01 0.51 0 8.24 0.77 0.65 0 3.86 0 0 0.65 0 0 0 7.72 0 0 0 
2 0 0.25 0.0 0 10.77 1.42 0 5.55 2.78 4.89 0 1.41 4.69 0 1.09 1.72 1.69 1.72 0 2.74 3.51 1.69 4.93 
3 0 1.69 0 0.0 0 0 0.45 0 7.43 2.35 4.99 1.72 4.23 0 0 1.29 0.47 3.86 5.93 2.97 0.99 0 0 
4 3.82 3.05 10.77 0 0.0 0.16 2.54 4.43 0.28 3.01 0.65 1.96 7.48 0.7 9.97 1.9 6.34 7.52 9.88 3.91 6.9 3.51 8.81 
5 2.5 3.01 1.42 0 0.16 0.0 8.11 2.28 1.88 3.01 4.94 0.85 7.6 1.68 4.14 0 9.69 0 1.35 1.72 7.02 7.73 8.93 
6 0 0.51 0 0.45 2.54 8.11 0.0 0 3.2 2.03 2.45 0 2.73 0 4.42 0 0.65 2.46 2.19 2.93 0 1.49 0 
7 0 0 5.55 0 4.43 2.28 0 0.0 2.15 1.88 1.36 1.48 0.42 0.38 0 8.19 0 3.52 0 0 4.74 1.8 6.65 
8 5.7 8.24 2.78 7.43 0.28 1.88 3.2 2.15 0.0 1.17 0.43 0 2.59 1.13 5.48 0 0 4.14 2.39 7.81 0 0.83 2.09 
9 1.45 0.77 4.89 2.35 3.01 3.01 2.03 1.88 1.17 0.0 0.12 0.32 0.52 0 6.96 3.17 4.31 8.56 2.23 10.14 0 0 7.15 
10 3.11 0.65 0 4.99 0.65 4.94 2.45 1.36 0.43 0.12 0.0 0 3.42 0 1.14 2.89 1.05 1.4 3.39 9.76 1.35 1.15 6.78 
11 0.86 0 1.41 1.72 1.96 0.85 0 1.48 0 0.32 0 0.0 0.59 0.17 0.92 0 4.99 0 5.57 6.12 4.13 0 5.98 
12 0.43 3.86 4.69 4.23 7.48 7.6 2.73 0.42 2.59 0.52 3.42 0.59 0.0 0 4.52 5.83 4.8 3.94 3.67 3.08 0.9 6.02 1.4 
13 3.8 0 0 0 0.7 1.68 0 0.38 1.13 0 0 0.17 0 0.0 6.02 6.68 5.65 0 3.2 6.96 1.29 1.17 1.79 
14 1.92 0 1.09 0 9.97 4.14 4.42 0 5.48 6.96 1.14 0.92 4.52 6.02 0.0 2.16 1.17 0 6.59 0 0 6.65 3.26 
15 8.24 0.65 1.72 1.29 1.9 0 0 8.19 0 3.17 2.89 0 5.83 6.68 2.16 0.0 0.18 0.47 2.85 0 5.36 0 1.19 
16 2.11 0 1.69 0.47 6.34 9.69 0.65 0 0 4.31 1.05 4.99 4.8 5.65 1.17 0.18 0.0 2.82 3.94 6.87 0 10.82 1.19 
17 7.98 0 1.72 3.86 7.52 0 2.46 3.52 4.14 8.56 1.4 0 3.94 0 0 0.47 2.82 0.0 7.86 2.42 0 0 1.68 
18 0 0 0 5.93 9.88 1.35 2.19 0 2.39 2.23 3.39 5.57 3.67 3.2 6.59 2.85 3.94 7.86 0.0 2.07 2.28 0 0 
19 0.72 7.72 2.74 2.97 3.91 1.72 2.93 0 7.81 10.14 9.76 6.12 3.08 6.96 0 0 6.87 2.42 2.07 0.0 0 2.78 0 
20 1.96 0 3.51 0.99 6.9 7.02 0 4.74 0 0 1.35 4.13 0.9 1.29 0 5.36 0 0 2.28 0 0.0 3.75 0 
21 7.6 0 1.69 0 3.51 7.73 1.49 1.8 0.83 0 1.15 0 6.02 1.17 6.65 0 10.82 0 0 2.78 3.75 0.0 0 
22 4.93 0 4.93 0 8.81 8.93 0 6.65 2.09 7.15 6.78 5.98 1.4 1.79 3.26 1.19 1.19 1.68 0 0 0 0 0.0 

;
