set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;
21 36469 13 13 19 35 9104 11 35 9 10 14 9 40 24 12999 13 17032 10 3 11 8 0 3 9 9 19 42 47 14 16 19 15 8 
22 74 13 11324 20 18430 9992 11 9548 18 8882 7994 9104 12 25 12277 14 18 33 4 4 2 3 0 5777 6 7 9 9772 13 30 16194 26 35 
23 53 74 48 35 36 44 21303 21303 19859 25 18415 41 26 18 21 31 21 14 10471 10 5416 9 5777 0 3 22 16 14082 21 21665 25275 21665 40 
24 41 32 22748 37 44 43 23 23 22 19 18054 19 21665 16 58 26 16 10110 39 9388 9 9 6 3 0 8 22 10832 13721 23 23 24 24 
25 134 9027 18 18 23 18 17 18 59 19 27 17 15526 19 7 6 55 2889 7 14 10110 19 7 22 8 0 4 6 10 11915 15 23 18 
26 28 9027 13 17311 19318 27 17 14 54 13681 14 12 25 10471 6 6138 9 5 9 17 11168 42 9 16 22 4 0 3 3630 22 9214 10 14 
27 107 15 15077 19545 21094 18 20 64 15 16 18 17 14798 13360 9 9 6422 8 10 9772 11727 47 9772 14082 10832 6 3 0 2234 5863 14 10051 18 
28 26804 17 65 20103 21761 69 21 69 17 21 16473 60 16 61 42 14 5 19 49 13 56 14 13 21 13721 10 3630 2234 0 16 21 10610 18 
29 26 13 60 18149 20872 68 17032 22 17 17311 67 17 15077 15 10 13 8 15 57 28 34 16 30 21665 23 11915 22 5863 16 0 31 9 32 
30 26 10 7 11 15 9548 9770 9992 10214 13 42 8216 8 10 10 10110 15915 13 13681 15 20 19 16194 25275 23 15 9214 14 21 31 0 3 37 
31 44 4 6 19 13545 8 7 7 8 7550 9 11 6 5416 4694 7 64 18 10051 10 30 15 26 21665 24 23 10 10051 10610 9 3 0 13 
32 30 9 3 37 11 5 1 4 888 1110 1110 4 3 6 40 9749 84 11 6 7 9326 8 35 40 24 18 14 18 18 32 37 13 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32:=
0 0 54 51 48 46 49 53 53 50 50 51 49 48 50 51 52 58 53 58 54 57 56 56 59 62 55 54 55 55 53 48 49 50 
1 54 0 42 45 49 42 42 46 42 42 42 45 41 43 43 39 52 45 42 42 45 48 48 47 46 42 42 44 44 48 42 40 42 
2 51 42 0 45 45 40 44 40 41 41 45 40 38 45 43 43 52 44 45 45 48 46 47 50 49 46 50 47 48 47 47 42 44 
3 48 45 45 0 43 47 43 47 44 44 45 43 42 44 50 46 54 47 48 48 51 54 54 53 53 53 49 50 51 49 49 44 44 
4 46 49 45 43 0 45 45 45 46 46 46 46 45 48 50 50 59 51 51 51 53 52 53 59 55 53 53 55 55 55 54 49 46 
5 49 42 40 47 45 0 38 38 39 39 40 39 39 41 44 43 52 48 44 44 46 45 46 49 48 46 47 48 49 49 46 43 39 
6 53 42 44 43 45 38 0 38 38 39 39 43 40 41 44 47 52 44 43 43 46 45 46 48 48 46 47 48 49 49 46 47 42 
7 53 46 40 47 45 38 38 0 38 38 39 39 40 41 44 44 56 44 47 47 46 45 46 48 48 46 50 48 49 49 46 47 39 
8 50 42 41 44 46 39 38 38 0 38 38 43 40 41 44 47 56 44 43 43 49 44 45 48 47 45 46 51 53 53 46 44 38 
9 50 42 41 44 46 39 39 38 38 0 38 40 40 45 44 43 52 44 43 43 45 44 45 48 51 45 47 52 49 49 46 44 39 
10 51 42 45 45 46 40 39 39 38 38 0 40 41 45 43 43 51 44 42 42 45 43 44 47 47 45 46 47 48 49 46 44 39 
11 49 45 40 43 46 39 43 39 43 40 40 0 39 40 42 46 51 43 43 43 46 44 45 48 51 45 49 47 47 47 44 42 39 
12 48 41 38 42 45 39 40 40 40 40 41 39 0 44 43 43 51 44 44 44 47 46 46 49 49 46 46 47 52 47 48 42 40 
13 50 43 45 44 48 41 41 41 41 45 45 40 44 0 40 40 49 41 42 42 45 44 44 50 50 42 43 44 45 49 47 40 41 
14 51 43 43 50 50 44 44 44 44 44 43 42 43 40 0 38 46 40 42 46 45 44 44 46 45 45 45 46 43 47 42 40 43 
15 52 39 43 46 50 43 47 44 47 43 43 46 43 40 38 0 46 39 42 45 44 44 43 46 44 44 41 46 43 44 43 41 43 
16 58 52 52 54 59 52 52 56 56 52 51 51 51 49 46 46 0 46 48 48 52 49 47 47 49 45 47 42 45 47 48 48 51 
17 53 45 44 47 51 48 44 44 44 44 44 43 44 41 40 39 46 0 41 41 43 42 42 44 43 39 44 42 43 44 48 42 47 
18 58 42 45 48 51 44 43 47 43 43 42 43 44 42 42 42 48 41 0 38 41 43 44 43 43 45 47 48 46 47 47 44 46 
19 54 42 45 48 51 44 43 47 43 43 42 43 44 42 46 45 48 41 38 0 41 40 40 47 42 41 43 44 46 47 47 48 43 
20 57 45 48 51 53 46 46 46 49 45 45 46 47 45 45 44 52 43 41 41 0 39 39 40 41 43 45 45 47 49 49 47 45 
21 56 48 46 54 52 45 45 45 44 44 43 44 46 44 44 44 49 42 43 40 39 0 39 42 42 42 45 45 51 52 49 46 48 
22 56 48 47 54 53 46 46 46 45 45 44 45 46 44 44 43 47 42 44 40 39 39 0 41 40 45 48 44 46 47 48 46 45 
23 59 47 50 53 59 49 48 48 48 48 47 48 49 50 46 46 47 44 43 47 40 42 41 0 43 43 45 45 46 49 50 49 48 
24 62 46 49 53 55 48 48 48 47 51 47 51 49 50 45 44 49 43 43 42 41 42 40 43 0 42 43 43 45 47 53 47 47 
25 55 42 46 53 53 46 46 46 45 45 45 45 46 42 45 44 45 39 45 41 43 42 45 43 42 0 44 41 42 44 49 44 45 
26 54 42 50 49 53 47 47 50 46 47 46 49 46 43 45 41 47 44 47 43 45 45 48 45 43 44 0 39 40 41 44 43 46 
27 55 44 47 50 55 48 48 48 51 52 47 47 47 44 46 46 42 42 48 44 45 45 44 45 43 41 39 0 39 42 45 44 47 
28 55 44 48 51 55 49 49 49 53 49 48 47 52 45 43 43 45 43 46 46 47 51 46 46 45 42 40 39 0 40 45 45 48 
29 53 48 47 49 55 49 49 49 53 49 49 47 47 49 47 44 47 44 47 47 49 52 47 49 47 44 41 42 40 0 43 47 48 
30 48 42 47 49 54 46 46 46 46 46 46 44 48 47 42 43 48 48 47 47 49 49 48 50 53 49 44 45 45 43 0 44 45 
31 49 40 42 44 49 43 47 47 44 44 44 42 42 40 40 41 48 42 44 48 47 46 46 49 47 44 43 44 45 47 44 0 43 
32 50 42 44 44 46 39 42 39 38 39 39 39 40 41 43 43 51 47 46 43 45 48 45 48 47 45 46 47 48 48 45 43 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32:=
0 0.0 0 0 0 0.8 0 0 0 4.25 0 2.82 0 0.94 8.74 2.89 9.76 1.92 10.77 0 1.52 4.18 12.8 6.34 4.61 0 8.75 0 5.91 9.03 0 2.23 3.76 1.12 
1 0 0.0 0.82 3.58 0 0.98 1.54 0 3.17 1.02 0.98 0 1.79 0 0 0.35 0 0 0.43 3.29 1.64 0 0 4.8 2.77 3.17 3.17 1.29 1.45 0 0.4 0.17 0.82 
2 0 0.82 0.0 0 2.46 0 0 0.92 0 1.17 0 0.18 0.18 0 1.72 2.73 7.25 2.28 0 0.65 3.39 0 3.14 4.13 7.98 0.75 0 5.08 3.57 3.33 0 0 0 
3 0 3.58 0 0.0 0 0 0.5 0 3.2 1.37 3.58 1.13 1.36 0 0 2.9 3.6 5.08 5.36 2.27 1.24 0 0 1.44 3.21 0 5.83 6.59 6.78 6.12 0 1.33 2.03 
4 0.8 0 2.46 0 0.0 0 0 2.46 0 1.68 0 0 2.53 0 2.7 0 4.57 1.25 4.37 0 5.24 1.3 5.11 0 3.83 0 5.36 5.85 6.04 5.79 0 3.76 0 
5 0 0.98 0 0 0 0.0 0.12 0.03 0.23 0.27 0.62 0 0.55 0.78 1.25 0.52 7.53 0 0 0 2.96 2.53 2.77 3.76 3.63 0.73 1.92 0 3.82 3.76 2.65 0 0.23 
6 0 1.54 0 0.5 0 0.12 0.0 0 0.07 0.2 0.49 0 0.43 0.32 4.05 0 1.34 2.22 0.5 0.52 0 0 0 7.48 0.95 0.72 0.82 0.94 1.02 5.74 2.71 0 0 
7 0 0 0.92 0 2.46 0.03 0 0.0 0.25 0.25 0.31 0.31 0 0.78 0.55 4.05 0 2.22 0 0 2.83 1.52 2.65 7.48 0.95 0.73 0 3.51 3.82 1.04 2.77 0 0.2 
8 4.25 3.17 0 3.2 0 0.23 0.07 0.25 0.0 0.02 0 0 0.25 0.74 1.97 0 0 1.33 0 1.09 0 0 0.67 6.97 0.9 3.86 2.96 0 0 0 2.83 0 0.25 
9 0 1.02 1.17 1.37 1.68 0.27 0.2 0.25 0.02 0.0 0 0 0 0 4.18 1.91 4.87 4.43 0 1.72 0 0 2.46 2.19 0 1.64 4.61 0 1.02 5.83 0 2.09 0.31 
10 2.82 0.98 0 3.58 0 0.62 0.49 0.31 0 0 0.0 0 1.05 0 1.21 1.79 1.27 1.25 0.38 1.48 0.63 0.52 2.22 6.46 6.33 2.34 0 0.89 5.55 3.7 1.84 0 0.31 
11 0 0 0.18 1.13 0 0 0 0.31 0 0 0 0.0 0 0.47 0.98 0 6.87 0.5 1.72 1.13 2.71 0 2.53 3.51 0 1.49 0 0.83 3.33 0 2.28 0.4 0.2 
12 0.94 1.79 0.18 1.36 2.53 0.55 0.43 0 0.25 0 1.05 0 0.0 0 2.54 2.63 4.68 2.09 2.16 0.6 0 1.76 0 1.07 7.6 5.45 1.76 4.99 0 5.08 0 0 0 
13 8.74 0 0 0 0 0.78 0.32 0.78 0.74 0 0 0.47 0 0.0 1.52 1.52 7.6 0.3 1.36 2.16 2.4 2.03 2.09 0 0 1.6 3.67 4.69 3.95 0 0 1.9 0.27 
14 2.89 0 1.72 0 2.7 1.25 4.05 0.55 1.97 4.18 1.21 0.98 2.54 1.52 0.0 0.51 4.52 0.43 3.29 0 1.6 4.56 4.31 1.84 3.76 0 0 0 2.73 0 0.4 1.65 2.63 
15 9.76 0.35 2.73 2.9 0 0.52 0 4.05 0 1.91 1.79 0 2.63 1.52 0.51 0.0 1.88 0.31 1.29 0 4.56 0.53 1.17 2.65 2.22 0 2.15 0 1.17 0.53 3.55 0.28 3.42 
16 1.92 0 7.25 3.6 4.57 7.53 1.34 0 0 4.87 1.27 6.87 4.68 7.6 4.52 1.88 0.0 5.57 3.57 5.36 0 5.74 0.89 0.87 0 3.58 0 2.16 0 0 5.36 3.51 4.62 
17 10.77 0 2.28 5.08 1.25 0 2.22 2.22 1.33 4.43 1.25 0.5 2.09 0.3 0.43 0.31 5.57 0.0 2.28 0.66 0.5 0.43 2.16 0.58 3.55 1.01 0 0.35 1.66 1.29 0 1.54 0 
18 0 0.43 0 5.36 4.37 0 0.5 0 0 0 0.38 1.72 2.16 1.36 3.29 1.29 3.57 2.28 0.0 0.06 1.6 0 0 3.67 2.54 0 0 0 2.71 3.14 4.61 3.39 0 
19 1.52 3.29 0.65 2.27 0 0 0.52 0 1.09 1.72 1.48 1.13 0.6 2.16 0 0 5.36 0.66 0.06 0.0 0.27 0.62 0 0 3.29 1.17 1.21 3.29 0 1.96 0 0 0 
20 4.18 1.64 3.39 1.24 5.24 2.96 0 2.83 0 0 0.63 2.71 0 2.4 1.6 4.56 0 0.5 1.6 0.27 0.0 0.43 0 1.9 0.74 3.55 3.76 3.95 3.08 2.39 0 2.07 2.59 
21 12.8 0 0 0 1.3 2.53 0 1.52 0 0 0.52 0 1.76 2.03 4.56 0.53 5.74 0.43 0 0.62 0.43 0.0 0.13 0.82 0.38 1.6 2.34 2.59 0 0 0 0 0 
22 6.34 0 3.14 0 5.11 2.77 0 2.65 0.67 2.46 2.22 2.53 0 2.09 4.31 1.17 0.89 2.16 0 0 0 0.13 0.0 2.03 0.25 0 0 3.29 0 2.07 5.46 1.8 1.52 
23 4.61 4.8 4.13 1.44 0 3.76 7.48 7.48 6.97 2.19 6.46 3.51 1.07 0 1.84 2.65 0.87 0.58 3.67 0 1.9 0.82 2.03 0.0 0 1.85 0.68 4.94 1.84 7.6 8.87 7.6 3.39 
24 0 2.77 7.98 3.21 3.83 3.63 0.95 0.95 0.9 0 6.33 0 7.6 0 3.76 2.22 0 3.55 2.54 3.29 0.74 0.38 0.25 0 0.0 0.35 1.91 3.8 4.81 1.99 0 2.07 2.07 
25 8.75 3.17 0.75 0 0 0.73 0.72 0.73 3.86 1.64 2.34 1.49 5.45 1.6 0 0 3.58 1.01 0 1.17 3.55 1.6 0 1.85 0.35 0.0 0 0.27 0.4 4.18 0 1.97 1.52 
26 0 3.17 0 5.83 5.36 1.92 0.82 0 2.96 4.61 0 0 1.76 3.67 0 2.15 0 0 0 1.21 3.76 2.34 0 0.68 1.91 0 0.0 0.13 1.22 1.23 3.11 0.47 0 
27 5.91 1.29 5.08 6.59 5.85 0 0.94 3.51 0 0 0.89 0.83 4.99 4.69 0 0 2.16 0.35 0 3.29 3.95 2.59 3.29 4.94 3.8 0.27 0.13 0.0 0.75 1.98 0.67 3.39 0.87 
28 9.03 1.45 3.57 6.78 6.04 3.82 1.02 3.82 0 1.02 5.55 3.33 0 3.95 2.73 1.17 0 1.66 2.71 0 3.08 0 0 1.84 4.81 0.4 1.22 0.75 0.0 0.86 1.49 3.58 0 
29 0 0 3.33 6.12 5.79 3.76 5.74 1.04 0 5.83 3.7 0 5.08 0 0 0.53 0 1.29 3.14 1.96 2.39 0 2.07 7.6 1.99 4.18 1.23 1.98 0.86 0.0 1.72 0 2.27 
30 2.23 0.4 0 0 0 2.65 2.71 2.77 2.83 0 1.84 2.28 0 0 0.4 3.55 5.36 0 4.61 0 0 0 5.46 8.87 0 0 3.11 0.67 1.49 1.72 0.0 0 1.64 
31 3.76 0.17 0 1.33 3.76 0 0 0 0 2.09 0 0.4 0 1.9 1.65 0.28 3.51 1.54 3.39 0 2.07 0 1.8 7.6 2.07 1.97 0.47 3.39 3.58 0 0 0.0 0.48 
32 1.12 0.82 0 2.03 0 0.23 0 0.2 0.25 0.31 0.31 0.2 0 0.27 2.63 3.42 4.62 0 0 0 2.59 0 1.52 3.39 2.07 1.52 0 0.87 0 2.27 1.64 0.48 0.0 

;
