set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
11 42 49 46 42 42 45 46 44 44 44 41 0 43 41 43 49 43 45 47 45 47 47 
12 40 46 46 46 46 43 43 42 42 41 41 43 0 46 40 40 41 42 42 45 44 45 
13 41 51 51 45 45 46 44 45 43 49 46 41 46 0 41 44 40 43 45 42 45 44 
14 39 52 47 50 46 45 45 44 43 44 42 43 40 41 0 41 39 40 42 46 42 42 
15 41 48 47 48 48 45 49 44 48 43 43 49 40 44 41 0 42 42 40 49 42 44 
16 39 52 48 47 46 46 45 49 48 44 42 43 41 40 39 42 0 40 42 41 46 42 
17 42 54 50 49 49 52 47 47 46 46 45 45 42 43 40 42 40 0 41 41 40 40 
18 47 51 50 50 50 47 48 50 47 46 45 47 42 45 42 40 42 41 0 44 40 46 
19 43 52 52 49 49 50 48 53 47 48 46 45 45 42 46 49 41 41 44 0 42 40 
20 43 52 51 51 51 49 49 48 51 47 46 47 44 45 42 42 46 40 40 42 0 41 
21 44 56 52 55 50 50 49 49 48 48 47 47 45 44 42 44 42 40 46 40 41 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21:=
0 0.0 0 0 0 2.46 1.41 0 0 1.48 1.06 0.66 0.9 0.68 2.03 0.27 2.53 0.35 2.79 0 0.5 1.21 4.18 
1 0 0.0 0.13 2.16 0.42 0.33 0.7 0 2.45 0.5 0.53 0 2.9 0 0 0.95 0 0 0 7.34 1.32 0 
2 0 0.13 0.0 0 3.01 0 0 1.79 0.45 2.35 0 2.65 4.14 0 2.11 3.26 5.36 2.7 0 3.05 7.15 1.35 
3 0 2.16 0 0.0 0 0 0 0 1.17 0.62 1.72 1.42 4.23 0.67 0 5.36 3.02 5.93 6.49 2.54 1.22 0 
4 2.46 0.42 3.01 0 0.0 0 0 2.09 0 1.49 0 0.82 5.57 0.63 4.42 2.19 4.42 2.39 6.49 1.05 6.78 2.74 
5 1.41 0.33 0 0 0 0.0 1.05 0.08 0.86 0.43 1.29 0.63 1.85 1.84 1.64 0 5.83 0 0 0 3.82 6.49 
6 0 0.7 0 0 0 1.05 0.0 0 0.13 0.74 0.86 0 1.17 0.6 2.34 0 0 0.89 0.92 0.99 0 0 
7 0 0 1.79 0 2.09 0.08 0 0.0 1.17 0.37 0.63 3.2 0 1.64 0.62 2.09 0 0.83 0 0 3.51 3.88 
8 1.48 2.45 0.45 1.17 0 0.86 0.13 1.17 0.0 0.35 0 0 0.43 1.09 0.52 0 0 0 0 1.99 0 0 
9 1.06 0.5 2.35 0.62 1.49 0.43 0.74 0.37 0.35 0.0 0 1.37 0 0 4.05 0.47 3.48 2.77 0 5.46 0 0.99 
10 0.66 0.53 0 1.72 0 1.29 0.86 0.63 0 0 0.0 0.33 1.05 0 0 0.47 0 0 0.7 2.9 0.78 0.83 
11 0.9 0 2.65 1.42 0.82 0.63 0 3.2 0 1.37 0.33 0.0 1.21 0.66 1.13 0 3.55 0.7 6.59 3.95 6.72 0.83 
12 0.68 2.9 4.14 4.23 5.57 1.85 1.17 0 0.43 0 1.05 1.21 0.0 0 1.22 1.13 1.69 1.54 3.17 1.49 0.53 2.34 
13 2.03 0 0 0.67 0.63 1.84 0.6 1.64 1.09 0 0 0.66 0 0.0 2.28 4.43 1.77 0.45 2.46 2.35 2.34 2.03 
14 0.27 0 2.11 0 4.42 1.64 2.34 0.62 0.52 4.05 0 1.13 1.22 2.28 0.0 2.28 0.47 0.59 2.91 0 0.94 3.29 
15 2.53 0.95 3.26 5.36 2.19 0 0 2.09 0 0.47 0.47 0 1.13 4.43 2.28 0.0 0.9 0.86 0.92 0 3.04 0 
16 0.35 0 5.36 3.02 4.42 5.83 0 0 0 3.48 0 3.55 1.69 1.77 0.47 0.9 0.0 1.77 2.45 2.53 0 3.04 
17 2.79 0 2.7 5.93 2.39 0 0.89 0.83 0 2.77 0 0.7 1.54 0.45 0.59 0.86 1.77 0.0 1.6 0.3 0 0 
18 0 0 0 6.49 6.49 0 0.92 0 0 0 0.7 6.59 3.17 2.46 2.91 0.92 2.45 1.6 0.0 2.16 1.13 0 
19 0.5 7.34 3.05 2.54 1.05 0 0.99 0 1.99 5.46 2.9 3.95 1.49 2.35 0 0 2.53 0.3 2.16 0.0 0.43 0.74 
20 1.21 1.32 7.15 1.22 6.78 3.82 0 3.51 0 0 0.78 6.72 0.53 2.34 0.94 3.04 0 0 1.13 0.43 0.0 0.99 
21 4.18 0 1.35 0 2.74 6.49 0 3.88 0 0.99 0.83 0.83 2.34 2.03 3.29 0 3.04 0 0 0.74 0.99 0.0 

;
