set O:= 0;
set N:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
21 5107 28 22 16 38 20941 32 66 10 14 19 11 41 27 9214 13 13123 14 4 39 39 0 13 5 32 59 76 129 23 28 
22 12 14 10832 6 10471 13721 13 30330 36 19824 16473 17311 20 52 18149 28 31 83 8 6 3 13 0 7994 16 16 8 18776 13 28 
23 3 65 29 13 14 33 14655 10658 7818 12 6422 15 8 8 10 12 8 11 444 6 6661 5 7994 0 16 54 14 28525 19 24914 
24 14 5 11193 10 8 15 3 47 32 30 26246 27 27642 38 116 69 36 30713 64 16971 20 32 16 16 0 2 19 6499 13360 4 
25 92 4694 14 9 10 10 5 46 147 48 68 44 35746 74 38 34 144 39718 26 35 16609 59 16 54 2 0 9 5 13 1805 
26 11 11193 10 5773 7550 19 11 20 92 24291 23 21 44 17986 23 16209 17 25 12 14 7328 76 8 14 19 9 0 10 3775 27 
27 98 12 17693 12999 12638 16 11 166 38 40 43 45 36469 37552 39 35 36108 45 28 19137 19137 129 18776 28525 6499 5 10 0 8305 5055 
28 13323 20 55 9548 10880 50 17 86 26 33 22895 95 24 77 105 22 18 54 59 12 44 23 13 19 13360 13 3775 8305 0 42 
29 23 5 51 7944 7944 39 3611 49 35 36830 129 37 33941 35 36 36 34 47 97 31 30 28 28 24914 4 1805 27 5055 42 0 

;param cto[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29:=
0 0 53 52 49 47 49 51 52 45 46 44 44 44 46 45 44 46 46 43 40 41 42 42 40 53 49 46 50 49 48 
1 53 0 42 41 40 40 39 63 56 57 55 59 56 60 60 55 60 61 51 46 46 55 49 51 39 40 43 42 46 44 
2 52 42 0 45 40 40 46 58 55 56 58 54 55 60 55 55 56 57 49 46 45 49 43 50 43 44 50 47 49 44 
3 49 41 45 0 40 46 40 59 52 53 51 52 52 53 56 52 53 54 47 42 42 52 45 47 42 46 42 44 46 42 
4 47 40 40 40 0 40 40 58 55 56 53 54 54 56 55 54 55 56 49 45 44 50 43 53 41 42 44 44 47 42 
5 49 40 40 46 40 0 41 60 56 57 55 56 56 57 57 56 57 62 51 47 46 51 45 51 42 42 45 45 48 43 
6 51 39 46 40 40 41 0 57 55 56 53 58 54 55 55 58 55 56 49 45 44 51 44 50 39 40 42 42 45 40 
7 52 63 58 59 58 60 57 0 43 41 42 42 42 40 43 42 44 41 50 54 51 48 53 46 59 58 58 58 55 57 
8 45 56 55 52 55 56 55 43 0 39 40 43 39 41 38 45 45 40 43 48 52 44 49 43 56 56 53 60 58 59 
9 46 57 56 53 56 57 56 41 39 0 40 39 39 44 39 41 41 38 44 49 49 45 51 44 61 57 53 61 55 56 
10 44 55 58 51 53 55 53 42 40 40 0 38 39 44 40 39 40 41 42 46 47 44 48 42 55 55 51 55 53 54 
11 44 59 54 52 54 56 58 42 43 39 38 0 38 40 40 43 40 40 43 47 48 44 49 42 59 55 55 56 53 54 
12 44 56 55 52 54 56 54 42 39 39 39 38 0 44 40 39 40 40 43 47 48 44 49 43 56 56 52 56 57 55 
13 46 60 60 53 56 57 55 40 41 44 44 40 44 0 42 39 38 40 44 48 49 47 51 48 60 56 52 57 53 59 
14 45 60 55 56 55 57 55 43 38 39 40 40 40 42 0 41 42 40 43 52 48 44 49 43 57 60 57 61 55 59 
15 44 55 55 52 54 56 58 42 45 41 39 43 39 39 41 0 39 41 43 51 48 45 49 43 55 59 51 59 52 54 
16 46 60 56 53 55 57 55 44 45 41 40 40 40 38 42 39 0 41 44 48 53 46 50 44 60 56 55 56 57 59 
17 46 61 57 54 56 62 56 41 40 38 41 40 40 40 40 41 41 0 45 49 50 46 51 44 58 58 58 58 55 57 
18 43 51 49 47 49 51 49 50 43 44 42 43 43 44 43 43 44 45 0 42 43 45 48 38 51 55 51 55 50 50 
19 40 46 46 42 45 47 45 54 48 49 46 47 47 48 52 51 48 49 42 0 39 44 40 46 46 46 44 47 46 46 
20 41 46 45 42 44 46 44 51 52 49 47 48 48 49 48 48 53 50 43 39 0 44 39 43 46 46 44 47 47 45 
21 42 55 49 52 50 51 51 48 44 45 44 44 44 47 44 45 46 46 45 44 44 0 45 41 52 53 50 54 56 55 
22 42 49 43 45 43 45 44 53 49 51 48 49 49 51 49 49 50 51 48 40 39 45 0 44 45 49 48 47 47 45 
23 40 51 50 47 53 51 50 46 43 44 42 42 43 48 43 43 44 44 38 46 43 41 44 0 55 51 48 52 50 50 
24 53 39 43 42 41 42 39 59 56 61 55 59 56 60 57 55 60 58 51 46 46 52 45 55 0 39 43 41 44 39 
25 49 40 44 46 42 42 40 58 56 57 55 55 56 56 60 59 56 58 55 46 46 53 49 51 39 0 46 40 44 39 
26 46 43 50 42 44 45 42 58 53 53 51 55 52 52 57 51 55 58 51 44 44 50 48 48 43 46 0 42 41 41 
27 50 42 47 44 44 45 42 58 60 61 55 56 56 57 61 59 56 58 55 47 47 54 47 52 41 40 42 0 42 40 
28 49 46 49 46 47 48 45 55 58 55 53 53 57 53 55 52 57 55 50 46 47 56 47 50 44 44 41 42 0 43 
29 48 44 44 42 42 43 40 57 59 56 54 54 55 59 59 54 59 57 50 46 45 55 45 50 39 39 41 40 43 0 

;param d[*,*]
: 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29:=
0 0.0 0 0 0 0.9 0 0 0 3.67 0.75 2.03 0.6 1.45 2.83 0.67 2.28 0 4.52 0 0 0 1.42 0.43 0 0 6.02 0 6.4 3.7 0.97 
1 0 0.0 0.94 2.53 0.43 0.51 0.49 0 9.5 1.79 1.57 0 6.1 0 0 3.75 0 0 0 5.95 1.68 0 0 2.85 0.43 1.65 3.93 1.02 1.72 0 
2 0 0.94 0.0 0 1.22 0 0 10.73 1.57 9.41 0 3.6 8.75 0 3.68 5.73 9.32 4.07 0 2.65 4.81 1.07 3.8 1.1 3.93 0.6 0 6.21 2.42 3.29 
3 0 2.53 0 0.0 0 0 0.59 0 7.62 3.4 7.06 3.05 4.87 0 0 4.74 3.25 8.47 3.14 1.6 0.9 0 0 0 0.9 0 1.6 4.56 2.65 2.79 
4 0.9 0.43 1.22 0 0.0 0.17 0.43 10.45 0 6.1 0 1.52 8.66 0 5.85 1.5 5.91 4.03 3.94 1.52 4.43 2.66 3.67 0 0.7 0.9 2.09 4.43 3.02 2.79 
5 0 0.51 0 0 0.17 0.0 2.28 4.73 6.34 6.71 9.13 0 9.5 1.82 1.74 0 9.88 0 0 0.82 5.7 7.06 4.81 1.25 1.29 0.43 0.7 0.65 2.19 2.54 
6 0 0.49 0 0.59 0.43 2.28 0.0 1.82 3.68 6.16 8.19 0 5.67 1.62 9.03 0 3.68 4.03 1.07 2.4 0.62 2.82 0.55 4.07 0.13 0.2 0.94 0.94 1.49 1.27 
7 0 0 10.73 0 10.45 4.73 1.82 0.0 2.54 1.88 1.54 1.42 0 0 0 1.29 0 0.66 0 0 9.63 3.63 10.64 2.96 1.94 1.92 0 10.82 3.79 4.26 
8 3.67 9.5 1.57 7.62 0 6.34 3.68 2.54 0.0 0.27 0 0 0.31 0.32 0.12 0 0 0.18 0.48 3.39 0 0 2.5 2.63 0 9.6 5.05 0 0 0 
9 0.75 1.79 9.41 3.4 6.1 6.71 6.16 1.88 0.27 0.0 0.22 0.15 0 0 0.75 0.63 1.05 0.38 0.58 5.65 1.07 0.68 6.68 0.57 0 4.18 8.19 0 1.59 12.92 
10 2.03 1.57 0 7.06 0 9.13 8.19 1.54 0 0.22 0.0 0 0.47 0 0.23 0.27 0.2 0.27 0.94 4.52 2.03 1.33 5.55 2.16 8.85 5.79 0 3.75 7.72 8.37 
11 0.6 0 3.6 3.05 1.52 0 0 1.42 0 0.15 0 0.0 0.02 0.2 0.2 0 1.13 0 2.54 3.14 5.18 0 5.83 1.02 0 3.83 0 3.91 5.24 1.54 
12 1.45 6.1 8.75 4.87 8.66 9.5 5.67 0 0.31 0 0.47 0.02 0.0 0 0.68 0.55 0.74 0.43 2.63 2.03 0 2.28 0 0 9.32 12.54 3.05 12.8 0 11.91 
13 2.83 0 0 0 0 1.82 1.62 0 0.32 0 0 0.2 0 0.0 2.07 0.55 0.18 0 0.62 5.55 3.94 1.92 4.44 0 0 6.34 4.99 13.18 3.4 0 
14 0.67 0 3.68 0 5.85 1.74 9.03 0 0.12 0.75 0.23 0.2 0.68 2.07 0.0 1.88 1.42 0.2 2.92 0 0.99 3.11 6.12 0.48 6.41 0 0 0 5.79 0 
15 2.28 3.75 5.73 4.74 1.5 0 0 1.29 0 0.63 0.27 0 0.55 0.55 1.88 0.0 0 0.28 0.47 0 6.97 0 2.46 0.45 5.91 0 4.5 0 0 1.49 
16 0 0 9.32 3.25 5.91 9.88 3.68 0 0 1.05 0.2 1.13 0.74 0.18 1.42 0 0.0 1.51 1.33 7.1 0 4.42 2.7 0 0 9.41 0 12.67 0 0 
17 4.52 0 4.07 8.47 4.03 0 4.03 0.66 0.18 0.38 0.27 0 0.43 0 0.2 0.28 1.51 0.0 3.67 1.05 0 0 4.56 0 10.35 13.94 0 1.87 3.79 4.11 
18 0 0 0 3.14 3.94 0 1.07 0 0.48 0.58 0.94 2.54 2.63 0.62 2.92 0.47 1.33 3.67 0.0 0.98 1.72 0 0 0.12 2.82 0 0 0 2.58 6.3 
19 0 5.95 2.65 1.6 1.52 0.82 2.4 0 3.39 5.65 4.52 3.14 2.03 5.55 0 0 7.1 1.05 0.98 0.0 0.2 2.16 0.23 0 5.95 2.96 0.53 6.72 0 2.65 
20 0 1.68 4.81 0.9 4.43 5.7 0.62 9.63 0 1.07 2.03 5.18 0 3.94 0.99 6.97 0 0 1.72 0.2 0.0 2.16 0.13 1.85 1.76 5.83 2.03 6.72 1.96 2.53 
21 1.42 0 1.07 0 2.66 7.06 2.82 3.63 0 0.68 1.33 0 2.28 1.92 3.11 0 4.42 0 0 2.16 2.16 0.0 0.63 0 1.34 5.05 4.19 8.37 0 0 
22 0.43 0 3.8 0 3.67 4.81 0.55 10.64 2.5 6.68 5.55 5.83 0 4.44 6.12 2.46 2.7 4.56 0 0.23 0.13 0.63 0.0 2.22 0.68 0 0 6.59 0 2.4 
23 0 2.85 1.1 0 0 1.25 4.07 2.96 2.63 0.57 2.16 1.02 0 0 0.48 0.45 0 0 0.12 0 1.85 0 2.22 0.0 0 4.62 0 10.01 0 8.74 
24 0 0.43 3.93 0.9 0.7 1.29 0.13 1.94 0 0 8.85 0 9.32 0 6.41 5.91 0 10.35 2.82 5.95 1.76 1.34 0.68 0 0.0 0.08 1.66 2.28 4.69 0.31 
25 6.02 1.65 0.6 0 0.9 0.43 0.2 1.92 9.6 4.18 5.79 3.83 12.54 6.34 0 0 9.41 13.94 0 2.96 5.83 5.05 0 4.62 0.08 0.0 0 0.22 0.53 0.63 
26 0 3.93 0 1.6 2.09 0.7 0.94 0 5.05 8.19 0 0 3.05 4.99 0 4.5 0 0 0 0.53 2.03 4.19 0 0 1.66 0 0.0 0.9 1.05 1.79 
27 6.4 1.02 6.21 4.56 4.43 0.65 0.94 10.82 0 0 3.75 3.91 12.8 13.18 0 0 12.67 1.87 0 6.72 6.72 8.37 6.59 10.01 2.28 0.22 0.9 0.0 2.91 1.77 
28 3.7 1.72 2.42 2.65 3.02 2.19 1.49 3.79 0 1.59 7.72 5.24 0 3.4 5.79 0 0 3.79 2.58 0 1.96 0 0 0 4.69 0.53 1.05 2.91 0.0 2.73 
29 0.97 0 3.29 2.79 2.79 2.54 1.27 4.26 0 12.92 8.37 1.54 11.91 0 0 1.49 0 4.11 6.3 2.65 2.53 0 2.4 8.74 0.31 0.63 1.79 1.77 2.73 0.0 

;
